la,ld,nd,ns,ent,nrev,rtime,hcmt,self,ndev,age,app,asexp,rsexp,asawr,rsawr
16,0,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,16,1,1,0.9111827630289002,1.0,0.10591435185185184,3.0,0,0.0,0.0,1.0,3.0,1.0,0.0327868852459016,0.0163934426229508
182,0,1,11,0.302923846673601,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,17,2,1,0.9967828263127352,1.0,2.2632291666666666,6.0,0,2.0,10.131743827160493,3.0,6.0,13.0,0.056910569105691,0.1138211382113821
154,13,2,2,0.573503150147612,2.0,0.1488773148148148,0.0,1,1.0,0.11657738095238095,1.0,5.0,5.0,0.0422535211267605,0.0422535211267605
40,18,1,1,0.612317691790032,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
876,0,2,2,0.8287492879958117,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,152,2,1,0.8197734147457508,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,12,3,2,0.9411763975446988,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,47,2,1,0.6626939803568686,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2,2,2,0.7918583525674836,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,119,3,1,0.7348230585128187,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,0.0,1.0,0.05815972222222222,0.0,1,2.0,1.7238773148148148,1.0,9.0,9.0,0.08,0.08
10,4,1,1,0.8699155297736259,1.0,0.1940509259259259,0.0,1,1.0,3.674540895061728,1.0,10.0,10.0,0.0873015873015873,0.0873015873015873
2,2,1,1,0.0,1.0,0.09143518518518519,3.0,0,2.0,18.799976851851852,1.0,11.0,7.0,0.0944881889763779,0.0629921259842519
15,7,1,1,0.767131690427388,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5,1,1,0.8699155297736259,1.0,0.10710648148148148,5.0,0,4.0,10.370590277777778,2.0,7.0,11.0,0.0625,0.09375
