dataset,inst,f2imprt,error,tau,rbo
openstack,la = 16.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND self = 0.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND app = 7.0 AND rrexp = 2810.0 AND asawr = 0.0053342816500711 AND rsawr = 0.3890469416785206,"{0: 0.17353717462617188, 1: 0.014312868812322558, 3: 0.010036333631657046, 4: 0.11052385730768058, 10: 0.05344600322600295, 11: 3.819807972917308e-05, 2: 0.01588120401091586, 5: 0.040498524938431764, 6: 0.0017998553853726576, 7: 0.005487689261402419, 8: 0.062326495035115566, 9: 0.056392040847076906, 12: 0.000644766810227906}",9.193227974663255,-0.38461538461538464,0.5484450791439731
qt,la = 8.0 AND ld = 9.0 AND nd = 3.0 AND ns = 2.0 AND ent = 0.8960975968412322 AND nrev = 7.0 AND rtime = 7.113877314814815 AND hcmt = 6.0 AND self = 0.0 AND ndev = 9.0 AND age = 104.42428819444444 AND app = 2.0 AND asexp = 1361.0 AND rsexp = 1457.0 AND asawr = 0.097585440997349 AND rsawr = 0.1044637099663251,"{0: 0.2379609459699616, 4: 0.0007750474653478065, 5: 0.04216465072985734, 7: 0.029852796454069873, 9: 0.03201856407366723, 1: 0.015388967045411813, 2: 0.01711085705405073, 3: 0.00334918571348387, 6: 0.014953878606804777, 8: 0.0009629593249980643, 10: 0.0951881854964567, 11: 0.0009763882960594121, 12: 0.002655241193420475, 13: 0.03507977181058065, 14: 4.756122130080179e-05, 15: 9.219239322487237e-05}",3.5468493950138367,-0.11666666666666667,0.4361664642425541
openstack,la = 89.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rtime = 105.23778935185186 AND self = 0.0 AND ndev = 9.0 AND age = 21.841915509259263 AND app = 3.0 AND rrexp = 632.0 AND asawr = 0.2359550561797752 AND rsawr = 0.8202247191011236,"{0: 0.17166703290059795, 1: 0.01422112031865499, 3: 0.010179804047381022, 4: 0.10999762643230777, 10: 0.05387075640425284, 2: 0.016834046960654356, 5: 0.038989744722475295, 6: 0.0015580934383046105, 7: 0.005331866948661224, 8: 0.061349351728321906, 9: 0.056172374101792114, 11: 0.0004075717944236218, 12: 0.001526191709656337}",3.259634399449779,0.15384615384615385,0.5373886482970589
qt,la = 17.0 AND ld = 17.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.4305518670104394 AND nrev = 1.0 AND rtime = 0.0143518518518518 AND hcmt = 2.0 AND self = 0.0 AND ndev = 14.0 AND age = 0.9988773148148148 AND app = 1.0 AND asexp = 1705.0 AND rsexp = 579.0 AND asawr = 0.1225222637173226 AND rsawr = 0.0416546969261706,"{0: 0.2416731869346629, 4: 0.000875201844898814, 5: 0.043931323026581266, 7: 0.028965398086001973, 9: 0.033282885119893496, 14: 0.001341571469878806, 1: 0.01411834022689869, 2: 0.018472105916938385, 3: 0.005197579730373203, 6: 0.014669992612134574, 8: 0.000883410185161761, 10: 0.09535452079788745, 11: 0.0008203311075991938, 12: 0.001555171780776975, 13: 0.03599346283408066, 15: 0.000152497559300601}",11.776803516981277,-0.1,0.42984742501340556
openstack,la = 68.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND self = 0.0 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 AND rsawr = 0.2477341389728096,"{0: 0.17380175509292803, 1: 0.014915637208486574, 3: 0.010176527207905267, 4: 0.11129188356665926, 10: 0.05398065553122673, 2: 0.016348840096556426, 5: 0.03973693931045717, 6: 0.0014465507149819198, 7: 0.005825076354889056, 8: 0.061141241282651734, 9: 0.05663226223520508, 11: 0.0001996958032062744, 12: 0.0007810094338788232}",6.363990182798145,0.15384615384615385,0.4371129126334637
qt,la = 12.0 AND ld = 5.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 0.6524884259259259 AND hcmt = 2.0 AND self = 0.0 AND ndev = 13.0 AND age = 0.0364004629629629 AND app = 1.0 AND asexp = 593.0 AND rsexp = 1719.0 AND asawr = 0.0425898042589804 AND rsawr = 0.1233240123324012,"{0: 0.24060292175231976, 5: 0.042237052866848944, 7: 0.03070635206552389, 9: 0.032601551792906434, 1: 0.014483042743687594, 2: 0.018825597103510026, 3: 0.004445282239974023, 4: 0.00018509936233283166, 6: 0.015329258561028165, 8: 0.000540364573766432, 10: 0.09509306309728804, 11: 0.001100794541908518, 12: 0.0008609876215104485, 13: 0.035143396975253156, 14: 0.0003199724225897667, 15: 0.00023070281647126546}",4.044578890835648,-0.15,0.4361664642425541
openstack,la = 97.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rtime = 70.74902777777778 AND self = 0.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595,"{0: 0.17340306527909208, 1: 0.014573924058202814, 3: 0.00977744273708622, 4: 0.11015916671454626, 10: 0.053421742179396284, 2: 0.01633374480873756, 5: 0.03935843274872599, 6: 0.001722678542376802, 7: 0.005322430891445758, 8: 0.06096150522011241, 9: 0.057063044251998964, 11: 0.0010704465786359114, 12: 0.0005594284360853939}",6.884930783969569,0.20512820512820512,0.6764721510993382
qt,la = 93.0 AND ld = 8.0 AND nd = 3.0 AND ns = 2.0 AND ent = 0.4383996853718843 AND nrev = 4.0 AND rtime = 0.8437268518518519 AND hcmt = 4.0 AND self = 0.0 AND ndev = 37.0 AND age = 31.663003472222226 AND app = 2.0 AND asexp = 17.0 AND rsexp = 735.0 AND asawr = 0.0011030763573967 AND rsawr = 0.0451035666135555,"{0: 0.23880768360821084, 4: 0.00208314615392378, 5: 0.04293723900056357, 7: 0.029898682674946733, 9: 0.032023040110361424, 15: 0.00023837051498462242, 1: 0.013228802354695748, 2: 0.018068103365468876, 3: 0.004059990689533231, 6: 0.015343939791537713, 8: 0.0005565645803736325, 10: 0.09518314208545697, 11: 0.001053520319669668, 12: 0.0013524100376200773, 13: 0.03555844004598351, 14: 0.0006185454924506825}",8.814512000546738,0.016666666666666666,0.49294266310864365
openstack,la = 37.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND rtime = 8.346678240740742 AND self = 0.0 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068,"{0: 0.17263890462427048, 1: 0.014214083222156197, 3: 0.009956513367512443, 4: 0.11088646949305454, 10: 0.05353863644503685, 2: 0.016758890729345964, 5: 0.03994821301873354, 6: 0.002060368144032052, 7: 0.00534512241065262, 8: 0.06216139159522092, 9: 0.05748118277593692, 11: 0.0006003557080623065, 12: 0.0006642776409161616}",7.027522623689399,-0.07692307692307693,0.3843327739870056
qt,la = 2.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 10.024907407407406 AND hcmt = 5.0 AND self = 0.0 AND ndev = 30.0 AND age = 17.88607638888889 AND app = 2.0 AND asexp = 183.0 AND rsexp = 232.0 AND asawr = 0.0131805157593123 AND rsawr = 0.0166905444126074,"{0: 0.23961444222313236, 4: 0.002317116046346737, 5: 0.042627501829660394, 7: 0.02978305080825021, 9: 0.03336975472227422, 11: 0.00016850199400902214, 1: 0.01407759787319314, 2: 0.016982653253488827, 3: 0.00372887097794255, 6: 0.016114608276482943, 8: 0.0016618452897194337, 10: 0.0947573533213216, 12: 0.002568345735350888, 13: 0.03460863851072426, 14: 0.000560117213086599, 15: 0.0006606720492897019}",9.042425059508732,-0.13333333333333333,0.4035186085961157
