dataset,inst,f2imprt,error,tau,rbo
openstack,la = 16.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND self = 0.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND app = 7.0 AND rrexp = 2810.0 AND asawr = 0.0053342816500711 AND rsawr = 0.3890469416785206,"{0: 0.08993206830378016, 4: 0.048533405756297804, 7: 0.006781794872096446, 8: 0.023492387013639697, 10: 0.0007527004360648249, 11: 0.01884154285857239, 12: 0.008342733105080304, 1: 0.012012783544960314, 2: 0.021633300578932015, 3: 0.013968526929380106, 5: 0.02066134905823224, 6: 0.004999193283422089, 9: 0.027959172652018974}",5.168481031989011,0.3333333333333333,0.4210508676827139
qt,la = 8.0 AND ld = 9.0 AND nd = 3.0 AND ns = 2.0 AND ent = 0.8960975968412322 AND nrev = 7.0 AND rtime = 7.113877314814815 AND hcmt = 6.0 AND self = 0.0 AND ndev = 9.0 AND age = 104.42428819444444 AND app = 2.0 AND asexp = 1361.0 AND rsexp = 1457.0 AND asawr = 0.097585440997349 AND rsawr = 0.1044637099663251,"{0: 0.05621883873920517, 2: 0.0028049927630232185, 5: 0.0027963712836120863, 6: 0.009330818454845801, 8: 0.0022604722575114682, 9: 0.006418087181457, 10: 0.005251373267430982, 12: 0.009191567759001436, 14: 0.018396676217336632, 1: 0.020889797091724737, 3: 0.011236620624724835, 4: 0.005693231024819343, 7: 0.02225619659348374, 11: 0.00646834408532814, 13: 0.0032125820679704616, 15: 0.004260478259005807}",7.606826451013186,0.13333333333333333,0.594845655694545
openstack,la = 89.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rtime = 105.23778935185186 AND self = 0.0 AND ndev = 9.0 AND age = 21.841915509259263 AND app = 3.0 AND rrexp = 632.0 AND asawr = 0.2359550561797752 AND rsawr = 0.8202247191011236,"{0: 0.08624713539306178, 4: 0.059950636687452395, 7: 0.008440412211094952, 8: 0.01693677632808087, 10: 0.009954978360637747, 11: 0.01742310550144137, 12: 0.008309766729685005, 1: 0.0012191505300666987, 2: 0.021345207989864844, 3: 0.005802895596406398, 5: 0.01702532882131616, 6: 0.000490652884607171, 9: 0.011203631701890438}",5.9299521746932395,0.358974358974359,0.4909387889675619
qt,la = 17.0 AND ld = 17.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.4305518670104394 AND nrev = 1.0 AND rtime = 0.0143518518518518 AND hcmt = 2.0 AND self = 0.0 AND ndev = 14.0 AND age = 0.9988773148148148 AND app = 1.0 AND asexp = 1705.0 AND rsexp = 579.0 AND asawr = 0.1225222637173226 AND rsawr = 0.0416546969261706,"{0: 0.06036536849926264, 2: 0.0012459012119121248, 4: 0.00222980125595147, 5: 0.010278634229743323, 6: 0.014726270272828707, 8: 0.006123325453098702, 10: 0.009759836706212135, 14: 0.016158328088048537, 1: 0.018129329383425555, 3: 0.005800363195370628, 7: 0.023049892384655466, 9: 0.0003000968978654014, 11: 0.003561974494023677, 12: 0.001326363274426051, 13: 0.007722144465616775, 15: 0.0017686467721736506}",8.70324949801265,0.16666666666666666,0.25244628246445777
openstack,la = 68.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND self = 0.0 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 AND rsawr = 0.2477341389728096,"{0: 0.0831028393557902, 3: 0.0018513714854111643, 4: 0.05364964672405884, 7: 0.009355725835650188, 8: 0.02503606505832656, 9: 0.00340950343436622, 10: 0.011642732709418532, 11: 0.02332338517145332, 12: 0.006324358512275153, 1: 0.0029970083766506115, 2: 0.017685173877789326, 5: 0.01794764060255207, 6: 0.0014475733793105927}",6.3586037286996895,-0.07692307692307693,0.6184710315627632
qt,la = 12.0 AND ld = 5.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 0.6524884259259259 AND hcmt = 2.0 AND self = 0.0 AND ndev = 13.0 AND age = 0.0364004629629629 AND app = 1.0 AND asexp = 593.0 AND rsexp = 1719.0 AND asawr = 0.0425898042589804 AND rsawr = 0.1233240123324012,"{0: 0.060116781305013564, 2: 0.0001974797244736177, 4: 0.008326296422856937, 5: 0.007806975638792001, 6: 0.014751690675706027, 8: 0.001847049780541258, 10: 0.010245680679548853, 12: 0.003784532455826018, 14: 0.015540072460560744, 15: 0.000568240290007249, 1: 0.0183443655055323, 3: 0.00030584295976842534, 7: 0.021927929784564947, 9: 0.0017646844302115934, 11: 0.0026400845692819684, 13: 0.010527610799328539}",7.9896923525199846,0.18333333333333332,0.4433973160063425
openstack,la = 97.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rtime = 70.74902777777778 AND self = 0.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595,"{0: 0.08895947308850093, 4: 0.053512956474769065, 6: 0.0002887956452401305, 7: 0.0033360609183075833, 8: 0.01922610381920664, 10: 0.0036745092450052785, 11: 0.022118473244411067, 12: 0.004179917968652961, 1: 0.008583716334293126, 2: 0.0185486387515519, 3: 0.005753937781310541, 5: 0.015532646845724564, 9: 0.016247410425850276}",6.001246758418881,0.3333333333333333,0.7590164180635807
qt,la = 93.0 AND ld = 8.0 AND nd = 3.0 AND ns = 2.0 AND ent = 0.4383996853718843 AND nrev = 4.0 AND rtime = 0.8437268518518519 AND hcmt = 4.0 AND self = 0.0 AND ndev = 37.0 AND age = 31.663003472222226 AND app = 2.0 AND asexp = 17.0 AND rsexp = 735.0 AND asawr = 0.0011030763573967 AND rsawr = 0.0451035666135555,"{0: 0.056000434173720956, 4: 0.003341845814859151, 5: 0.000809343598213602, 6: 0.0138791944079604, 8: 9.667044473333365e-05, 9: 0.0018439384788802257, 10: 0.0055767951397379025, 12: 0.007095873014581743, 14: 0.01570060514719178, 15: 0.000495082533986011, 1: 0.02104206200347223, 2: 0.0010344984171163718, 3: 0.011641206109704844, 7: 0.02016745329087033, 11: 0.00853526199098641, 13: 0.003697247811159617}",9.092665493018963,0.2833333333333333,0.7252751140004052
openstack,la = 37.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND rtime = 8.346678240740742 AND self = 0.0 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068,"{0: 0.07928903397721117, 4: 0.04683986325117916, 7: 0.008703521625906742, 8: 0.025515444935118755, 10: 0.005755146190845338, 11: 0.017539399473421386, 12: 0.008772900921113307, 1: 0.004544022053159661, 2: 0.021188311798131635, 3: 0.0015156054104385967, 5: 0.013235841832160328, 6: 0.0026862009023773084, 9: 0.0019455182435159037}",6.606456079814172,-0.358974358974359,0.3131324898960965
qt,la = 2.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 10.024907407407406 AND hcmt = 5.0 AND self = 0.0 AND ndev = 30.0 AND age = 17.88607638888889 AND app = 2.0 AND asexp = 183.0 AND rsexp = 232.0 AND asawr = 0.0131805157593123 AND rsawr = 0.0166905444126074,"{0: 0.05499438590280227, 2: 0.004946872618057293, 4: 0.00868020846016934, 5: 0.0019608753532102162, 6: 0.012920503443530466, 8: 1.9716333834399512e-05, 9: 0.004206334069334978, 10: 0.006653205245494244, 12: 0.010079642153570711, 14: 0.016523135816599373, 15: 0.0024210258019651426, 1: 0.0233926766680577, 3: 0.010303660259575454, 7: 0.02294561821419272, 11: 0.005062188858502684, 13: 0.005649097964778716}",7.306014607650075,-0.06666666666666667,0.31781228922562865
