dataset,inst,f2imprt,error,tau,rbo
openstack,la = 16.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND self = 0.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND app = 7.0 AND rrexp = 2810.0 AND asawr = 0.0053342816500711 AND rsawr = 0.3890469416785206,"{2: 0.0180896231475855, 3: 0.0669570972996774, 4: 0.28045429724318316, 6: 0.0009339256458811051, 8: 0.1306868908383171, 10: 0.7722277416905416, 11: 0.0011670381364885997, 12: 0.0013337517098950345, 0: 0.038494661012650117, 1: 0.00828485271794844, 5: 0.22235468855235976, 7: 0.06963111679394188, 9: 0.7299801648407621}",8.63570089935914,-0.20512820512820512,0.44844507914397325
qt,la = 8.0 AND ld = 9.0 AND nd = 3.0 AND ns = 2.0 AND ent = 0.8960975968412322 AND nrev = 7.0 AND rtime = 7.113877314814815 AND hcmt = 6.0 AND self = 0.0 AND ndev = 9.0 AND age = 104.42428819444444 AND app = 2.0 AND asexp = 1361.0 AND rsexp = 1457.0 AND asawr = 0.097585440997349 AND rsawr = 0.1044637099663251,"{0: 0.008493990583500687, 2: 0.005082862255489679, 3: 0.014014643362165517, 9: 0.030958459369047845, 10: 1.5801705039184097, 11: 0.00043478251988415156, 12: 0.03906189101982739, 13: 0.32845883638296697, 14: 0.00010553489370743322, 1: 3.612044053321669e-05, 4: 0.004579799401043124, 5: 0.42699817728659534, 6: 0.007171398495541071, 7: 0.07556714594315728, 8: 0.0008889861963331942, 15: 6.790157681698583e-05}",3.9100634923347926,-0.18333333333333332,0.4361664642425541
openstack,la = 89.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rtime = 105.23778935185186 AND self = 0.0 AND ndev = 9.0 AND age = 21.841915509259263 AND app = 3.0 AND rrexp = 632.0 AND asawr = 0.2359550561797752 AND rsawr = 0.8202247191011236,"{1: 0.00828485271794844, 4: 0.06295912795255129, 5: 0.2776762130172328, 8: 0.15811694724836758, 10: 0.14545078198211028, 11: 0.001121411900967301, 12: 0.0038856694659753503, 0: 0.02986121964712752, 2: 0.0180896231475855, 3: 0.06786591519864342, 6: 0.0009339256458811051, 7: 0.02090204144635664, 9: 0.009240255251148854}",4.054449375906579,0.0,0.5373886482970589
qt,la = 17.0 AND ld = 17.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.4305518670104394 AND nrev = 1.0 AND rtime = 0.0143518518518518 AND hcmt = 2.0 AND self = 0.0 AND ndev = 14.0 AND age = 0.9988773148148148 AND app = 1.0 AND asexp = 1705.0 AND rsexp = 579.0 AND asawr = 0.1225222637173226 AND rsawr = 0.0416546969261706,"{2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.02424805984023716, 8: 0.0008889861963331942, 9: 0.048831384365611574, 10: 0.21720716673632015, 11: 0.0026708069078597903, 15: 0.0003460749260161737, 0: 0.007055414835448255, 1: 0.00032062465115287385, 4: 0.0004655974848956824, 5: 0.10343434108184607, 7: 0.060589873774243214, 12: 0.05090571363588379, 13: 0.017214169718913895, 14: 0.0002055979368345825}",10.145207864910136,-0.1,0.5131807583467389
openstack,la = 68.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND self = 0.0 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 AND rsawr = 0.2477341389728096,"{0: 0.010197199183355871, 2: 0.0180896231475855, 3: 0.024950341223178008, 4: 0.39492543897509463, 6: 0.0009339256458811051, 7: 0.02725524553339513, 8: 0.05145473009402651, 9: 0.37885046529710437, 10: 0.13979639915948078, 11: 0.0007332547169608807, 12: 0.0030443478340103987, 1: 0.02391665029898324, 5: 0.16390936293291666}",5.265598672275195,0.28205128205128205,0.4497314952227494
qt,la = 12.0 AND ld = 5.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 0.6524884259259259 AND hcmt = 2.0 AND self = 0.0 AND ndev = 13.0 AND age = 0.0364004629629629 AND app = 1.0 AND asexp = 593.0 AND rsexp = 1719.0 AND asawr = 0.0425898042589804 AND rsawr = 0.1233240123324012,"{0: 0.007854623584366272, 4: 0.0051317449970620065, 5: 0.015028921353772502, 7: 0.060589873774243214, 12: 0.012619868435143346, 13: 0.4213359464808963, 15: 1.5628369318716854e-05, 1: 0.00021449298637626194, 2: 0.0022836047814518857, 3: 0.011011505498844332, 6: 0.02271313441121002, 8: 0.0008889861963331942, 9: 0.03287341561867969, 10: 0.23393356296068651, 11: 0.0026708069078597903, 14: 0.0001151440128458328}",4.415942780790046,-0.21666666666666667,0.4361664642425541
openstack,la = 97.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rtime = 70.74902777777778 AND self = 0.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595,"{0: 0.03735227506189767, 2: 0.0180896231475855, 3: 0.06831024837413598, 4: 0.05151201377936018, 6: 0.0009339256458811051, 7: 0.012166385826678713, 8: 0.08777670923041693, 10: 0.7583235216348955, 11: 0.0010965498124647748, 12: 0.0011134095428446068, 1: 0.00828485271794844, 5: 0.19860792503818442, 9: 0.1755648497718289}",7.378592547776223,0.38461538461538464,0.5098054844326715
qt,la = 93.0 AND ld = 8.0 AND nd = 3.0 AND ns = 2.0 AND ent = 0.4383996853718843 AND nrev = 4.0 AND rtime = 0.8437268518518519 AND hcmt = 4.0 AND self = 0.0 AND ndev = 37.0 AND age = 31.663003472222226 AND app = 2.0 AND asexp = 17.0 AND rsexp = 735.0 AND asawr = 0.0011030763573967 AND rsawr = 0.0451035666135555,"{0: 0.005092558148105605, 1: 8.0713576993978e-05, 5: 0.16178191810237463, 6: 0.0222531439720368, 7: 0.007488636084457033, 8: 0.0008889861963331942, 9: 0.4158646655450449, 12: 0.007211648503369688, 14: 0.0002816162330575693, 15: 0.00033080030880035987, 2: 0.005082862255489679, 3: 0.014014643362165517, 4: 0.00038054599417179863, 10: 0.3156891029203567, 11: 0.00043478251988415156, 13: 0.07251504443371148}",6.560328699660219,0.08333333333333333,0.3840140916800723
openstack,la = 37.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND rtime = 8.346678240740742 AND self = 0.0 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068,"{2: 0.0180896231475855, 3: 0.04662140094278497, 4: 0.5093965807070061, 6: 0.0009339256458811051, 8: 0.08713734158858245, 9: 0.1940453602741266, 11: 0.0011970777566545421, 12: 0.005065752717798541, 0: 0.01883064054887847, 1: 0.00828485271794844, 5: 0.05554546878945953, 7: 0.033100193293470546, 10: 0.21960662227889025}",6.653562505664356,-0.1282051282051282,0.40350891035064196
qt,la = 2.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 10.024907407407406 AND hcmt = 5.0 AND self = 0.0 AND ndev = 30.0 AND age = 17.88607638888889 AND app = 2.0 AND asexp = 183.0 AND rsexp = 232.0 AND asawr = 0.0131805157593123 AND rsawr = 0.0166905444126074,"{1: 0.0003928655322193072, 2: 0.0022836047814518857, 3: 0.011011505498844332, 5: 0.07337649837430107, 6: 0.00016942698142294172, 7: 0.041527891013807154, 8: 0.0008889861963331942, 9: 0.3041588843165217, 12: 0.0014963154967843344, 13: 0.1057948272428474, 14: 0.0002331535498476735, 15: 0.0004566380694009867, 0: 0.009453041082202306, 4: 0.0051317449970620065, 10: 0.07626688647259147, 11: 0.00043478251988415156}",7.264499950169007,-0.2,0.35664360859611577
