dataset,inst,f2imprt,error,tau,rbo
openstack,la = 16.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND self = 0.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND app = 7.0 AND rrexp = 2810.0 AND asawr = 0.0053342816500711 AND rsawr = 0.3890469416785206,"{2: 0.007391944356495515, 4: 0.019979344148669042, 6: 0.0002226070321557927, 7: 0.019561618026264115, 9: 0.019921936483078752, 12: 0.0045986536004238585, 0: 0.020288779641959992, 1: 0.01115199706610838, 3: 0.005184546334239712, 5: 0.014582432507359045, 8: 0.009409548088697192, 10: 0.004212866212728841, 11: 0.019512592699775268}",2.7164760083805226,0.5128205128205128,0.7179258676827137
qt,la = 8.0 AND ld = 9.0 AND nd = 3.0 AND ns = 2.0 AND ent = 0.8960975968412322 AND nrev = 7.0 AND rtime = 7.113877314814815 AND hcmt = 6.0 AND self = 0.0 AND ndev = 9.0 AND age = 104.42428819444444 AND app = 2.0 AND asexp = 1361.0 AND rsexp = 1457.0 AND asawr = 0.097585440997349 AND rsawr = 0.1044637099663251,"{2: 0.004417901553379125, 4: 0.009784586463092637, 5: 0.03766023015808969, 6: 0.008806432146730003, 7: 0.011848415565887081, 8: 0.0031001436471706258, 9: 0.007642627075074415, 11: 0.005751868097950137, 12: 0.011389109411741174, 14: 0.00985374265090968, 0: 0.011133803753937173, 1: 0.0018092820399283483, 3: 0.007849427608443876, 10: 0.0075443346135466525, 13: 0.004244555116431456, 15: 0.0006736467485700359}",6.90432184652488,0.31666666666666665,0.3097637077269681
openstack,la = 89.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rtime = 105.23778935185186 AND self = 0.0 AND ndev = 9.0 AND age = 21.841915509259263 AND app = 3.0 AND rrexp = 632.0 AND asawr = 0.2359550561797752 AND rsawr = 0.8202247191011236,"{0: 0.08391308467198541, 2: 0.006937699367335881, 11: 0.00573569071334532, 12: 0.014203296452587893, 1: 0.006929257026567939, 3: 0.04941801578712329, 4: 0.02584896772459615, 5: 0.02328203688492067, 6: 1.0990866576321423e-05, 7: 0.010743808157512831, 8: 0.021605978701336424, 9: 0.015009814955847104, 10: 0.003940897762959139}",5.711229856241639,0.5897435897435898,0.47725991021147735
qt,la = 17.0 AND ld = 17.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.4305518670104394 AND nrev = 1.0 AND rtime = 0.0143518518518518 AND hcmt = 2.0 AND self = 0.0 AND ndev = 14.0 AND age = 0.9988773148148148 AND app = 1.0 AND asexp = 1705.0 AND rsexp = 579.0 AND asawr = 0.1225222637173226 AND rsawr = 0.0416546969261706,"{0: 0.012509517316941584, 2: 0.008276371723713965, 3: 0.010525486178121355, 4: 0.06569127139620833, 8: 0.004034584339806315, 9: 0.018050676391940215, 15: 0.0022429209141137108, 1: 0.01560686399822771, 5: 0.022213886775189165, 6: 0.04168730192755902, 7: 0.045556374332354606, 10: 0.0036106501299036607, 11: 0.03421262641653811, 12: 0.0251973645302769, 13: 0.01612124587080416, 14: 0.00679118142182233}",6.796673098638747,0.35,0.360969873692815
openstack,la = 68.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND self = 0.0 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 AND rsawr = 0.2477341389728096,"{0: 0.013968509212245407, 1: 0.08134920402015268, 2: 0.012875398163014324, 3: 0.14061641053985113, 4: 0.06571587056118006, 5: 0.03366930401091849, 6: 0.0008750000479631126, 8: 0.003497607450663054, 10: 0.026967054062306487, 11: 0.01458054481156978, 7: 0.03279379833904386, 9: 0.05069498866449067, 12: 0.02329273938339611}",6.290462552615918,-0.1282051282051282,0.6184710315627632
qt,la = 12.0 AND ld = 5.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 2.0 AND rtime = 0.6524884259259259 AND hcmt = 2.0 AND self = 0.0 AND ndev = 13.0 AND age = 0.0364004629629629 AND app = 1.0 AND asexp = 593.0 AND rsexp = 1719.0 AND asawr = 0.0425898042589804 AND rsawr = 0.1233240123324012,"{0: 0.02970207825554553, 1: 0.007002286403325115, 2: 0.0003693131834393171, 3: 0.007075294827855032, 5: 0.0010576691805363225, 6: 0.02717009407612636, 8: 0.002595671189519635, 9: 0.011379268152218174, 10: 0.009218312032298854, 12: 0.004190966887330205, 14: 0.016410460538140798, 15: 0.01116001595310081, 4: 0.01564380852438262, 7: 0.004673650587485554, 11: 0.013695311048090844, 13: 0.016318650481409805}",5.753016509025811,0.13333333333333333,0.32464752841562206
openstack,la = 97.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rtime = 70.74902777777778 AND self = 0.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595,"{0: 0.08635808109080244, 1: 0.004860846959418268, 2: 0.00796310814876051, 4: 0.025502781133436656, 5: 0.015741535653705795, 6: 0.00017089949632463684, 7: 0.011519830194465612, 8: 0.016337964806716627, 9: 0.035611643340816956, 10: 0.04403294121670115, 12: 0.01505041025513492, 3: 0.005577114652005548, 11: 0.003572896372043033}",5.570582931307559,0.02564102564102564,0.6359713539967878
qt,la = 93.0 AND ld = 8.0 AND nd = 3.0 AND ns = 2.0 AND ent = 0.4383996853718843 AND nrev = 4.0 AND rtime = 0.8437268518518519 AND hcmt = 4.0 AND self = 0.0 AND ndev = 37.0 AND age = 31.663003472222226 AND app = 2.0 AND asexp = 17.0 AND rsexp = 735.0 AND asawr = 0.0011030763573967 AND rsawr = 0.0451035666135555,"{0: 0.046854431825158825, 1: 0.024362909914379997, 4: 0.07562609730751318, 5: 0.024648367164195405, 8: 0.002966908376911306, 9: 0.020164683062303082, 11: 0.005613961732110511, 15: 0.006813549215107742, 2: 0.0010975898066055833, 3: 0.04001831019586916, 6: 0.010417444809704648, 7: 0.02185199758177987, 10: 0.03272305090004011, 12: 0.0024274327469038324, 13: 0.015083116590885766, 14: 0.006431951245738219}",8.087974727284458,0.2833333333333333,0.45196458866763145
openstack,la = 37.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND rtime = 8.346678240740742 AND self = 0.0 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068,"{0: 0.009316694056324196, 2: 0.01006071557829273, 3: 0.07058707468504508, 4: 0.08610122542755562, 5: 0.02911338672438433, 6: 0.0005082010895421263, 7: 0.027450688206117776, 8: 0.019675687695380476, 9: 0.014586004110351497, 10: 0.00623547421550029, 11: 0.024037724183363026, 1: 0.016762146950313764, 12: 0.026910692157180165}",5.281029913876198,0.02564102564102564,0.5899554065627631
qt,la = 2.0 AND ld = 1.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 10.024907407407406 AND hcmt = 5.0 AND self = 0.0 AND ndev = 30.0 AND age = 17.88607638888889 AND app = 2.0 AND asexp = 183.0 AND rsexp = 232.0 AND asawr = 0.0131805157593123 AND rsawr = 0.0166905444126074,"{2: 0.003025577586897725, 3: 0.015855457059660693, 6: 0.006709220526772697, 7: 0.004423650146409272, 8: 0.0031493352575034804, 9: 0.014809573641232419, 10: 0.00475652687996444, 12: 0.001424944820150813, 13: 0.00657033117760875, 14: 0.003734255962622228, 0: 0.05197485670553761, 1: 0.011103668412388287, 4: 0.0609250473517659, 5: 0.010246059499359035, 11: 0.002622358227681616, 15: 0.017253560313929484}",7.038921106448933,0.2,0.3334358411416324
