dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,IF nd > 1.00 AND nrev > 4.00 AND age <= 9.98 AND rrexp > 1213.00 THEN defect = True,[1],IF ent > 0.63 AND nrev > 4.00 AND ndev > 44.00 AND age <= 2.98 AND rrexp > 1213.00 THEN defect = True,[1],False
openstack,IF nrev <= 4.00 AND rtime > 0.19 AND age > 9.98 THEN defect = False,[1],IF nrev <= 4.00 AND age > 9.98 AND app > 2.00 THEN defect = False,[1],False
openstack,IF la > 58.00 AND nrev > 4.00 AND app <= 3.00 AND rrexp > 703.50 THEN defect = True,[1],IF nrev > 4.00 AND app <= 3.00 AND rrexp > 1213.00 THEN defect = True,[1],False
openstack,IF la > 58.00 AND nrev > 2.00 AND rrexp > 1213.00 THEN defect = True,[1],IF la > 58.00 AND ent > 0.63 AND nrev > 2.00 AND age <= 9.98 AND rrexp > 1213.00 THEN defect = True,[1],False
openstack,IF nrev > 4.00 AND ndev > 44.00 AND app <= 2.00 THEN defect = True,[1],IF nrev > 4.00 AND ndev > 44.00 AND app <= 2.00 THEN defect = True,[1],True
openstack,IF ent <= 0.63 AND nrev <= 1.00 AND rrexp <= 1213.00 THEN defect = False,[1],IF nrev <= 1.00 AND rtime > 0.19 AND rrexp <= 1213.00 THEN defect = False,[1],False
openstack,IF la <= 17.00 AND nrev <= 1.00 THEN defect = False,[1],IF la <= 17.00 AND nrev <= 1.00 THEN defect = False,[1],True
openstack,IF nd <= 2.00 AND nrev <= 2.00 AND rrexp <= 1213.00 THEN defect = False,[1],IF nd <= 2.00 AND nrev <= 2.00 AND rrexp <= 1213.00 THEN defect = False,[1],True
openstack,IF la > 17.00 AND nd > 1.00 AND nrev > 2.00 AND ndev <= 44.00 AND age <= 2.98 AND rrexp > 1213.00 THEN defect = True,[1],IF la > 17.00 AND nd > 1.00 AND nrev > 2.00 AND age <= 2.98 AND rrexp > 1213.00 THEN defect = True,[1],False
openstack,IF ent <= 0.00 AND nrev <= 2.00 THEN defect = False,[1],IF ent <= 0.00 AND nrev <= 1.00 THEN defect = False,[1],False
openstack,IF la <= 58.00 AND age > 2.98 AND app > 3.00 THEN defect = False,[1],IF la <= 58.00 AND age > 2.98 AND app > 3.00 THEN defect = False,[1],True
openstack,IF nd <= 1.00 AND nrev <= 1.00 THEN defect = False,[1],IF nrev <= 1.00 AND app > 3.00 THEN defect = False,[1],False
openstack,IF la <= 4.00 AND age > 9.98 THEN defect = False,[1],IF la <= 4.00 AND nrev <= 4.00 AND age > 9.98 THEN defect = False,[1],False
openstack,IF nrev <= 1.00 AND app > 3.00 THEN defect = False,[1],IF ent <= 0.00 AND nrev <= 1.00 THEN defect = False,[1],False
openstack,IF ent <= 0.00 AND nrev <= 4.00 AND rrexp <= 1213.00 THEN defect = False,[1],IF ent <= 0.00 AND nrev <= 4.00 AND app > 2.00 THEN defect = False,[1],False
openstack,IF la <= 17.00 AND app > 3.00 THEN defect = False,[1],IF la <= 17.00 AND app > 3.00 THEN defect = False,[1],True
openstack,IF la > 58.00 AND nrev > 4.00 AND age <= 0.66 THEN defect = True,[1],IF la > 58.00 AND nrev > 4.00 AND app <= 2.00 AND rrexp > 703.50 THEN defect = True,[1],False
openstack,IF la <= 17.00 AND nrev <= 2.00 THEN defect = False,[1],IF la <= 17.00 AND nrev <= 2.00 AND app > 2.00 THEN defect = False,[1],False
openstack,IF la <= 17.00 AND nrev <= 4.00 AND rtime > 0.19 AND rrexp <= 1213.00 THEN defect = False,[1],IF la <= 17.00 AND rtime > 0.19 AND rrexp <= 703.50 THEN defect = False,[1],False
openstack,IF nrev > 4.00 AND app <= 2.00 AND rrexp > 1213.00 THEN defect = True,[1],IF nrev > 4.00 AND app <= 2.00 AND rrexp > 1213.00 THEN defect = True,[1],True
openstack,IF nrev > 4.00 AND age <= 0.66 AND app <= 2.00 AND rrexp > 703.50 THEN defect = True,[1],IF nrev > 4.00 AND age <= 0.66 AND app <= 2.00 THEN defect = True,[1],False
openstack,IF nrev > 4.00 AND age <= 2.98 AND app <= 3.00 AND rrexp > 703.50 THEN defect = True,[1],IF la > 17.00 AND nrev > 4.00 AND age <= 2.98 AND app <= 3.00 AND rrexp > 703.50 THEN defect = True,[1],False
openstack,IF la <= 4.00 AND nrev <= 4.00 AND rrexp <= 1213.00 THEN defect = False,[1],IF la <= 4.00 AND nrev <= 4.00 AND rrexp <= 1213.00 THEN defect = False,[1],True
