dataset,axp0,axp1,axpsame,cxp0,cxp1,cxpsame
openstack,IF la = 16.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND self = 0.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND app = 7.0 AND rrexp = 2810.0 THEN defect = True,IF la = 16.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND self = 0.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND app = 7.0 AND rrexp = 2810.0 THEN defect = True,True,IF ns != 1.0 THEN defect != True,IF ns != 1.0 THEN defect != True,True
openstack,IF la = 16.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND self = 0.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND app = 7.0 AND rrexp = 2810.0 THEN defect = True,IF la = 16.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND self = 0.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND app = 7.0 AND rrexp = 2810.0 THEN defect = True,True,IF ns != 1.0 THEN defect != True,IF ns != 1.0 THEN defect != True,True
openstack,IF la = 89.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 105.23778935185186 AND app = 3.0 AND rrexp = 632.0 THEN defect = False,IF la = 89.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 105.23778935185186 AND app = 3.0 AND rrexp = 632.0 THEN defect = False,True,IF la != 89.0 THEN defect != False,IF la != 89.0 THEN defect != False,True
openstack,IF la = 89.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 105.23778935185186 AND app = 3.0 AND rrexp = 632.0 THEN defect = False,IF la = 89.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 105.23778935185186 AND app = 3.0 AND rrexp = 632.0 THEN defect = False,True,IF la != 89.0 THEN defect != False,IF la != 89.0 THEN defect != False,True
openstack,IF ns = 1.0 AND nrev = 7.0 AND rtime = 55.61387731481482 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 THEN defect = True,IF ns = 1.0 AND nrev = 7.0 AND rtime = 55.61387731481482 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 THEN defect = True,True,IF ns != 1.0 THEN defect != True,IF ns != 1.0 THEN defect != True,True
openstack,IF ns = 1.0 AND nrev = 7.0 AND rtime = 55.61387731481482 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 THEN defect = True,IF ns = 1.0 AND nrev = 7.0 AND rtime = 55.61387731481482 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 THEN defect = True,True,IF ns != 1.0 THEN defect != True,IF ns != 1.0 THEN defect != True,True
openstack,IF ns = 1.0 AND nrev = 4.0 AND rtime = 70.74902777777778 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 THEN defect = True,IF ns = 1.0 AND nrev = 4.0 AND rtime = 70.74902777777778 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 THEN defect = True,True,IF ns != 1.0 THEN defect != True,IF ns != 1.0 THEN defect != True,True
openstack,IF ns = 1.0 AND nrev = 4.0 AND rtime = 70.74902777777778 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 THEN defect = True,IF ns = 1.0 AND nrev = 4.0 AND rtime = 70.74902777777778 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 THEN defect = True,True,IF ns != 1.0 THEN defect != True,IF ns != 1.0 THEN defect != True,True
openstack,IF ns = 1.0 AND nrev = 8.0 AND rtime = 8.346678240740742 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 THEN defect = True,IF ns = 1.0 AND nrev = 8.0 AND rtime = 8.346678240740742 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 THEN defect = True,True,IF ns != 1.0 THEN defect != True,IF ns != 1.0 THEN defect != True,True
openstack,IF ns = 1.0 AND nrev = 8.0 AND rtime = 8.346678240740742 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 THEN defect = True,IF ns = 1.0 AND nrev = 8.0 AND rtime = 8.346678240740742 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 THEN defect = True,True,IF ns != 1.0 THEN defect != True,IF ns != 1.0 THEN defect != True,True
