dataset,axp0,axp1,axpsame,cxp0,cxp1,cxpsame
openstack,IF la = 16.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND age = 0.3024074074074074 AND app = 7.0 AND asawr = 0.0053342816500711 THEN defect = False,IF la = 16.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND age = 0.3024074074074074 AND app = 7.0 AND asawr = 0.0053342816500711 THEN defect = False,True,IF nrev != 6.0 THEN defect != False,IF nrev != 6.0 THEN defect != False,True
openstack,IF la = 16.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND age = 0.3024074074074074 AND app = 7.0 AND asawr = 0.0053342816500711 THEN defect = False,IF la = 16.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rtime = 81.10711805555556 AND age = 0.3024074074074074 AND app = 7.0 AND asawr = 0.0053342816500711 THEN defect = False,True,IF nrev != 6.0 THEN defect != False,IF nrev != 6.0 THEN defect != False,True
openstack,IF la = 89.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rtime = 105.23778935185186 AND age = 21.841915509259263 AND app = 3.0 AND rrexp = 632.0 THEN defect = False,IF la = 89.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rtime = 105.23778935185186 AND age = 21.841915509259263 AND app = 3.0 AND rrexp = 632.0 THEN defect = False,True,IF rtime != 105.23778935185186 AND asawr != 0.2359550561797752 THEN defect != False,IF rtime != 105.23778935185186 AND asawr != 0.2359550561797752 THEN defect != False,True
openstack,IF la = 89.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rtime = 105.23778935185186 AND age = 21.841915509259263 AND app = 3.0 AND rrexp = 632.0 THEN defect = False,IF la = 89.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rtime = 105.23778935185186 AND age = 21.841915509259263 AND app = 3.0 AND rrexp = 632.0 THEN defect = False,True,IF rtime != 105.23778935185186 AND asawr != 0.2359550561797752 THEN defect != False,IF rtime != 105.23778935185186 AND asawr != 0.2359550561797752 THEN defect != False,True
openstack,IF la = 68.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND rsawr = 0.2477341389728096 THEN defect = False,IF la = 68.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND rsawr = 0.2477341389728096 THEN defect = False,True,IF la != 68.0 THEN defect != False,IF la != 68.0 THEN defect != False,True
openstack,IF la = 68.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND rsawr = 0.2477341389728096 THEN defect = False,IF la = 68.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND rsawr = 0.2477341389728096 THEN defect = False,True,IF la != 68.0 THEN defect != False,IF la != 68.0 THEN defect != False,True
openstack,IF la = 97.0 AND nd = 2.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rtime = 70.74902777777778 AND app = 4.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595 THEN defect = False,IF la = 97.0 AND nd = 2.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rtime = 70.74902777777778 AND app = 4.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595 THEN defect = False,True,IF ent != 0.9999798059716656 THEN defect != False,IF ent != 0.9999798059716656 THEN defect != False,True
openstack,IF la = 97.0 AND nd = 2.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rtime = 70.74902777777778 AND app = 4.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595 THEN defect = False,IF la = 97.0 AND nd = 2.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rtime = 70.74902777777778 AND app = 4.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595 THEN defect = False,True,IF ent != 0.9999798059716656 THEN defect != False,IF ent != 0.9999798059716656 THEN defect != False,True
openstack,IF la = 37.0 AND nd = 2.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068 THEN defect = False,IF la = 37.0 AND nd = 2.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068 THEN defect = False,True,IF la != 37.0 THEN defect != False,IF la != 37.0 THEN defect != False,True
openstack,IF la = 37.0 AND nd = 2.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068 THEN defect = False,IF la = 37.0 AND nd = 2.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068 THEN defect = False,True,IF la != 37.0 THEN defect != False,IF la != 37.0 THEN defect != False,True
openstack,IF la = 70.0 AND nd = 2.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND ndev = 5.0 AND app = 2.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511 THEN defect = False,IF la = 70.0 AND nd = 2.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND ndev = 5.0 AND app = 2.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511 THEN defect = False,True,IF nrev != 1.0 THEN defect != False,IF nrev != 1.0 THEN defect != False,True
openstack,IF la = 70.0 AND nd = 2.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND ndev = 5.0 AND app = 2.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511 THEN defect = False,IF la = 70.0 AND nd = 2.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND ndev = 5.0 AND app = 2.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511 THEN defect = False,True,IF nrev != 1.0 THEN defect != False,IF nrev != 1.0 THEN defect != False,True
openstack,IF la = 6.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND ndev = 7.0 AND rsawr = 0.4497354497354497 THEN defect = False,IF la = 6.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND ndev = 7.0 AND rsawr = 0.4497354497354497 THEN defect = False,True,IF nrev != 1.0 THEN defect != False,IF nrev != 1.0 THEN defect != False,True
openstack,IF la = 6.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND ndev = 7.0 AND rsawr = 0.4497354497354497 THEN defect = False,IF la = 6.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND ndev = 7.0 AND rsawr = 0.4497354497354497 THEN defect = False,True,IF nrev != 1.0 THEN defect != False,IF nrev != 1.0 THEN defect != False,True
openstack,IF la = 121.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND ndev = 11.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942 THEN defect = True,IF la = 121.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND ndev = 11.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942 THEN defect = True,True,IF la != 121.0 THEN defect != True,IF la != 121.0 THEN defect != True,True
openstack,IF la = 121.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND ndev = 11.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942 THEN defect = True,IF la = 121.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND ndev = 11.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942 THEN defect = True,True,IF la != 121.0 THEN defect != True,IF la != 121.0 THEN defect != True,True
openstack,IF la = 51.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 21.98613425925926 AND ndev = 25.0 AND age = 1.7360532407407403 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 THEN defect = False,IF la = 51.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 21.98613425925926 AND ndev = 25.0 AND age = 1.7360532407407403 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 THEN defect = False,True,IF nd != 2.0 THEN defect != False,IF nd != 2.0 THEN defect != False,True
openstack,IF la = 51.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 21.98613425925926 AND ndev = 25.0 AND age = 1.7360532407407403 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 THEN defect = False,IF la = 51.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 21.98613425925926 AND ndev = 25.0 AND age = 1.7360532407407403 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 THEN defect = False,True,IF nd != 2.0 THEN defect != False,IF nd != 2.0 THEN defect != False,True
openstack,IF la = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND age = 0.0291435185185185 AND rsawr = 0.5492227979274611 THEN defect = False,IF la = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND age = 0.0291435185185185 AND rsawr = 0.5492227979274611 THEN defect = False,True,IF ent != 0.0 THEN defect != False,IF ent != 0.0 THEN defect != False,True
openstack,IF la = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND age = 0.0291435185185185 AND rsawr = 0.5492227979274611 THEN defect = False,IF la = 1.0 AND ns = 1.0 AND ent = 0.0 AND nrev = 1.0 AND age = 0.0291435185185185 AND rsawr = 0.5492227979274611 THEN defect = False,True,IF ent != 0.0 THEN defect != False,IF ent != 0.0 THEN defect != False,True
openstack,IF la = 53.0 AND nd = 4.0 AND ent = 0.9877359431019634 AND nrev = 5.0 AND app = 5.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467 THEN defect = False,IF la = 53.0 AND nd = 4.0 AND ent = 0.9877359431019634 AND nrev = 5.0 AND app = 5.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467 THEN defect = False,True,IF la != 53.0 THEN defect != False,IF la != 53.0 THEN defect != False,True
openstack,IF la = 53.0 AND nd = 4.0 AND ent = 0.9877359431019634 AND nrev = 5.0 AND app = 5.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467 THEN defect = False,IF la = 53.0 AND nd = 4.0 AND ent = 0.9877359431019634 AND nrev = 5.0 AND app = 5.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467 THEN defect = False,True,IF la != 53.0 THEN defect != False,IF la != 53.0 THEN defect != False,True
openstack,IF la = 0.0 AND ent = 0.0 AND nrev = 1.0 AND age = 1.0854513888888888 AND app = 4.0 THEN defect = False,IF la = 0.0 AND ent = 0.0 AND nrev = 1.0 AND age = 1.0854513888888888 AND app = 4.0 THEN defect = False,True,IF la != 0.0 AND nrev != 1.0 THEN defect != False,IF la != 0.0 AND nrev != 1.0 THEN defect != False,True
openstack,IF la = 0.0 AND ent = 0.0 AND nrev = 1.0 AND age = 1.0854513888888888 AND app = 4.0 THEN defect = False,IF la = 0.0 AND ent = 0.0 AND nrev = 1.0 AND age = 1.0854513888888888 AND app = 4.0 THEN defect = False,True,IF la != 0.0 AND nrev != 1.0 THEN defect != False,IF la != 0.0 AND nrev != 1.0 THEN defect != False,True
openstack,IF la = 2.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 6.817581018518518 AND app = 3.0 AND rrexp = 370.0 THEN defect = False,IF la = 2.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 6.817581018518518 AND app = 3.0 AND rrexp = 370.0 THEN defect = False,True,IF la != 2.0 THEN defect != False,IF la != 2.0 THEN defect != False,True
openstack,IF la = 2.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 6.817581018518518 AND app = 3.0 AND rrexp = 370.0 THEN defect = False,IF la = 2.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 6.817581018518518 AND app = 3.0 AND rrexp = 370.0 THEN defect = False,True,IF la != 2.0 THEN defect != False,IF la != 2.0 THEN defect != False,True
