dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,IF la = 16.0 AND nd = 2.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rrexp = 2810.0 THEN defect = True,"[0.17273526317883503, 0.013691172337622452, 0.009433456838630491, 0.11030930232839208, 0.052582998975490285]",IF la = 16.0 AND nd = 2.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND rrexp = 2810.0 THEN defect = True,"[0.17360094190935144, 0.014815678679359122, 0.010146274354622568, 0.11098197754011821, 0.053551326517680665]",False
openstack,IF nd = 2.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rrexp = 632.0 THEN defect = False,"[0.013463264068003165, 0.010870704827917068, 0.11102075377390026, 0.05612735651573639]",IF nd = 2.0 AND ent = 0.9962756704778616 AND nrev = 3.0 AND rrexp = 632.0 AND asawr = 0.2359550561797752 THEN defect = False,"[0.01709700474513983, 0.014131482148958973, 0.10925125579741331, 0.05362650624957957, 0.0014204567619426245]",False
openstack,IF la = 68.0 AND nd = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rrexp = 1309.0 THEN defect = True,"[0.17241972897247898, 0.014360416298992009, 0.009121656466635228, 0.11120490598109956, 0.05325015404758616]",IF la = 68.0 AND nd = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rrexp = 1309.0 THEN defect = True,"[0.1732650304739475, 0.014001601879495713, 0.009963778117604146, 0.11153161613957768, 0.05369184569260332]",False
openstack,IF la = 97.0 AND nd = 2.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rrexp = 2777.0 THEN defect = True,"[0.17390092902155943, 0.01455620679047457, 0.010174188129478415, 0.1117723496352691, 0.05399334811503941]",IF la = 97.0 AND nd = 2.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND rrexp = 2777.0 THEN defect = True,"[0.17249070457387738, 0.014343227490240522, 0.009426045237735, 0.1100495512441843, 0.05305266759336262]",False
openstack,IF la = 37.0 AND nd = 2.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND rrexp = 456.0 THEN defect = True,"[0.17283765350514962, 0.013953243484736097, 0.009838899901535152, 0.11004572199491164, 0.05247256148019066]",IF la = 37.0 AND nd = 2.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND rrexp = 456.0 THEN defect = True,"[0.17323624789412295, 0.014749767760687751, 0.01040262116693889, 0.11070008597689188, 0.053086675809038815]",False
openstack,IF la = 70.0 AND nd = 2.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rrexp = 791.0 THEN defect = False,"[0.17185149373468547, 0.014467880834809233, 0.00927248165408068, 0.11068534140790688, 0.0534486629491742]",IF la = 70.0 AND nd = 2.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rrexp = 791.0 THEN defect = False,"[0.1720069565658284, 0.015447732607288905, 0.009322200290622348, 0.11074999438235275, 0.052848174816130224]",False
openstack,IF la = 6.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rrexp = 424.0 THEN defect = False,"[0.1728520132942301, 0.010060474019323407, 0.11006462878967518, 0.053283871029877805]",IF la = 6.0 AND ent = 0.9602297178607612 AND nrev = 1.0 AND rrexp = 424.0 THEN defect = False,"[0.17193723438229308, 0.008831541973402017, 0.1095271351618138, 0.05332161042880836]",False
openstack,IF la = 121.0 AND nd = 2.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rrexp = 812.0 THEN defect = False,"[0.17194976120546812, 0.014682246411435562, 0.009054776314352461, 0.11011976871275626, 0.05276784264114511]",IF la = 121.0 AND nd = 2.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND rrexp = 812.0 THEN defect = False,"[0.17371021646165102, 0.014861425567885955, 0.010084302849164917, 0.1119137764469453, 0.05296704188869584]",False
openstack,IF la = 51.0 AND nd = 2.0 AND ent = 0.3966277727783788 AND nrev = 3.0 AND rrexp = 3288.0 THEN defect = True,"[0.1727684224969342, 0.01370231204333002, 0.008921485877025813, 0.11039033913514298, 0.05300397590928336]",IF la = 51.0 AND nd = 2.0 AND ent = 0.3966277727783788 AND nrev = 3.0 AND rrexp = 3288.0 THEN defect = True,"[0.17360125191227227, 0.01436011492546856, 0.010023232094249324, 0.1118470131439377, 0.0543209981009558]",False
openstack,IF la = 1.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rrexp = 328.0 THEN defect = False,"[0.17221155754903306, 0.014951997426536332, 0.01073159117235585, 0.11051598745622486, 0.05285110996637171]",IF la = 1.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rrexp = 328.0 THEN defect = False,"[0.17107399275288393, 0.014277254085487051, 0.00959313790538757, 0.10944422957204833, 0.052273972253054295]",False
