dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,"{'0': 0.17353717462617188, '1': 0.014312868812322558, '3': 0.010036333631657046, '4': 0.11052385730768058, '10': 0.05344600322600295, '11': 3.819807972917308e-05, '2': 0.01588120401091586, '5': 0.040498524938431764, '6': 0.0017998553853726576, '7': 0.005487689261402419, '8': 0.062326495035115566, '9': 0.056392040847076906, '12': 0.000644766810227906}","[0.17353717462617188, 0.014312868812322558, 0.010036333631657046, 0.11052385730768058, 0.05344600322600295, 3.819807972917308e-05]","{'0': 0.17300942557560806, '1': 0.014599081679749205, '3': 0.009910261917992666, '4': 0.11042594304696841, '10': 0.05231257582144419, '11': 0.00018282030331392583, '2': 0.016023122395159288, '5': 0.03958369602428018, '6': 0.0008804921563583786, '7': 0.0046798140636701725, '8': 0.06144724092550184, '9': 0.05701855041745559, '12': 0.0007103128604863151}","[0.17300942557560806, 0.014599081679749205, 0.009910261917992666, 0.11042594304696841, 0.05231257582144419, 0.00018282030331392583]",True
openstack,"{'0': 0.17166703290059795, '1': 0.01422112031865499, '3': 0.010179804047381022, '4': 0.10999762643230777, '10': 0.05387075640425284, '2': 0.016834046960654356, '5': 0.038989744722475295, '6': 0.0015580934383046105, '7': 0.005331866948661224, '8': 0.061349351728321906, '9': 0.056172374101792114, '11': 0.0004075717944236218, '12': 0.001526191709656337}","[0.17166703290059795, 0.01422112031865499, 0.010179804047381022, 0.10999762643230777, 0.05387075640425284]","{'0': 0.17237606584403803, '1': 0.014306310655887992, '3': 0.009457128919899187, '4': 0.11108831030138544, '10': 0.05317914070973529, '2': 0.01674136927506489, '5': 0.03984833918315528, '6': 0.0018820288588408387, '7': 0.005800695178458608, '8': 0.06079765709484334, '9': 0.05723276743061212, '11': 0.00037113859232010504, '12': 9.374185703738948e-05}","[0.17237606584403803, 0.014306310655887992, 0.009457128919899187, 0.11108831030138544, 0.05317914070973529]",False
openstack,"{'0': 0.17380175509292803, '1': 0.014915637208486574, '3': 0.010176527207905267, '4': 0.11129188356665926, '10': 0.05398065553122673, '2': 0.016348840096556426, '5': 0.03973693931045717, '6': 0.0014465507149819198, '7': 0.005825076354889056, '8': 0.061141241282651734, '9': 0.05663226223520508, '11': 0.0001996958032062744, '12': 0.0007810094338788232}","[0.17380175509292803, 0.014915637208486574, 0.010176527207905267, 0.11129188356665926, 0.05398065553122673]","{'0': 0.17360185880467152, '1': 0.014745411484690305, '3': 0.0091899763580754, '4': 0.11170214900678738, '10': 0.05270127183993329, '11': 1.0231862691429372e-05, '2': 0.016520985001925628, '5': 0.03971077260591948, '6': 0.0020715459770929176, '7': 0.006474566865745552, '8': 0.06129045417540682, '9': 0.0566902829051472, '12': 0.00011224252579816186}","[0.17360185880467152, 0.014745411484690305, 0.0091899763580754, 0.11170214900678738, 0.05270127183993329, 1.0231862691429372e-05]",True
openstack,"{'0': 0.17340306527909208, '1': 0.014573924058202814, '3': 0.00977744273708622, '4': 0.11015916671454626, '10': 0.053421742179396284, '2': 0.01633374480873756, '5': 0.03935843274872599, '6': 0.001722678542376802, '7': 0.005322430891445758, '8': 0.06096150522011241, '9': 0.057063044251998964, '11': 0.0010704465786359114, '12': 0.0005594284360853939}","[0.17340306527909208, 0.014573924058202814, 0.00977744273708622, 0.11015916671454626, 0.053421742179396284]","{'0': 0.1734935714147405, '1': 0.013852030568580838, '3': 0.010062826132108071, '4': 0.11152338794857598, '10': 0.05363170643389316, '2': 0.016771814938578933, '5': 0.039942773696762454, '6': 0.0012548333540177217, '7': 0.005426169086031795, '8': 0.061501514727776686, '9': 0.05650718151370125, '11': 0.00038739714114491676, '12': 0.00038143434375541323}","[0.1734935714147405, 0.013852030568580838, 0.010062826132108071, 0.11152338794857598, 0.05363170643389316]",True
openstack,"{'0': 0.17263890462427048, '1': 0.014214083222156197, '3': 0.009956513367512443, '4': 0.11088646949305454, '10': 0.05353863644503685, '2': 0.016758890729345964, '5': 0.03994821301873354, '6': 0.002060368144032052, '7': 0.00534512241065262, '8': 0.06216139159522092, '9': 0.05748118277593692, '11': 0.0006003557080623065, '12': 0.0006642776409161616}","[0.17263890462427048, 0.014214083222156197, 0.009956513367512443, 0.11088646949305454, 0.05353863644503685]","{'0': 0.17357522079243745, '1': 0.014664139423385545, '3': 0.010220760908764486, '4': 0.11097012370551808, '10': 0.05365993811291166, '2': 0.01603948564873607, '5': 0.03990268242434351, '6': 0.0013563461756855208, '7': 0.006259717844208409, '8': 0.06248193359388021, '9': 0.05674924990450636, '11': 0.00016443855362806157, '12': 0.0002795161281459074}","[0.17357522079243745, 0.014664139423385545, 0.010220760908764486, 0.11097012370551808, 0.05365993811291166]",True
openstack,"{'0': 0.17340283581260496, '1': 0.014287705753251013, '3': 0.00899833143890904, '4': 0.11016685584913896, '10': 0.053392093683626726, '11': 0.00011961046328514378, '2': 0.0166427060044945, '5': 0.038812565072215845, '6': 0.001669347786001378, '7': 0.005446846702713892, '8': 0.06204144837989513, '9': 0.056642966174857846, '12': 0.001055947740728454}","[0.17340283581260496, 0.014287705753251013, 0.00899833143890904, 0.11016685584913896, 0.053392093683626726, 0.00011961046328514378]","{'0': 0.17208897880439133, '1': 0.014487499705511418, '3': 0.009544211713826911, '4': 0.1092066365408163, '10': 0.05219712520492634, '2': 0.015655632792763594, '5': 0.03982619576508581, '6': 0.0019047477451794004, '7': 0.0063830967355408596, '8': 0.06134042705119143, '9': 0.05609620709504355, '11': 0.0004556307479263928, '12': 0.0004560803545561058}","[0.17208897880439133, 0.014487499705511418, 0.009544211713826911, 0.1092066365408163, 0.05219712520492634]",True
openstack,"{'0': 0.17268411461020466, '1': 0.014220332888848816, '3': 0.009137456333025753, '4': 0.11103505909088911, '10': 0.05274602440630251, '2': 0.015911972599367, '5': 0.039429307190797826, '6': 0.0019983019328918394, '7': 0.0062885483124097774, '8': 0.06140410949071978, '9': 0.05733156516875145, '11': 0.0007058792987322714, '12': 0.0005169306513267283}","[0.17268411461020466, 0.014220332888848816, 0.009137456333025753, 0.11103505909088911, 0.05274602440630251]","{'0': 0.17353050308936765, '1': 0.014172541362181254, '3': 0.009635952757380065, '4': 0.11126886903865968, '10': 0.053526104362570014, '2': 0.01630673057564021, '5': 0.03938738459040914, '6': 0.001723394102558138, '7': 0.006745263948017467, '8': 0.06157361012747651, '9': 0.05743593094445807, '11': 0.0005114255825464467, '12': 0.0006890484797332022}","[0.17353050308936765, 0.014172541362181254, 0.009635952757380065, 0.11126886903865968, 0.053526104362570014]",False
openstack,"{'0': 0.1715437209657605, '1': 0.015071358015537606, '3': 0.00932456091002467, '4': 0.10947074679666888, '10': 0.05286904354548981, '2': 0.016741514644376385, '5': 0.03975022787531848, '6': 0.002316297947655434, '7': 0.005479003500203203, '8': 0.06119883908131792, '9': 0.056624430307403266, '11': 0.0003229912923634186, '12': 0.00038294879980311255}","[0.1715437209657605, 0.015071358015537606, 0.00932456091002467, 0.10947074679666888, 0.05286904354548981]","{'0': 0.17299427914129173, '1': 0.014115026067052464, '3': 0.010790846694271813, '4': 0.11081525176085642, '10': 0.05273192830394724, '11': 0.00017937523659013147, '2': 0.01739959548701182, '5': 0.03901679291282497, '6': 0.0010758861680745533, '7': 0.005581763854390965, '8': 0.06117767714898395, '9': 0.057277125175738575, '12': 0.001297619478104258}","[0.17299427914129173, 0.014115026067052464, 0.010790846694271813, 0.11081525176085642, 0.05273192830394724, 0.00017937523659013147]",False
openstack,"{'0': 0.1711839514701477, '1': 0.014717636723009072, '3': 0.009686458276987954, '4': 0.11042160308694239, '10': 0.05413580832620037, '2': 0.017672242138204432, '5': 0.039503517729180565, '6': 0.0009351917239180073, '7': 0.006617136803085888, '8': 0.06082462927458939, '9': 0.055673469949250834, '11': 0.000882152507392715, '12': 0.0002730451442225021}","[0.1711839514701477, 0.014717636723009072, 0.009686458276987954, 0.11042160308694239, 0.05413580832620037]","{'0': 0.17341692322128066, '1': 0.014527334710034126, '3': 0.00959744174575203, '4': 0.11126912003375275, '10': 0.05370048844652007, '2': 0.01599989295069166, '5': 0.03932582599485695, '6': 0.0010546804114767634, '7': 0.005028763134524218, '8': 0.062172761574764444, '9': 0.05691863489665885, '11': 0.0009934379495639238, '12': 0.001578086728884548}","[0.17341692322128066, 0.014527334710034126, 0.00959744174575203, 0.11126912003375275, 0.05370048844652007]",False
openstack,"{'0': 0.17154408731322063, '1': 0.01540061481871365, '3': 0.008772325818122163, '4': 0.10983574874245805, '10': 0.052312638127494274, '2': 0.017174949170321148, '5': 0.03861015614559276, '6': 0.002330712487484713, '7': 0.00610111468276131, '8': 0.06089429342963571, '9': 0.057079113885782254, '11': 0.0008658617526727225, '12': 0.0014265045182913585}","[0.17154408731322063, 0.01540061481871365, 0.008772325818122163, 0.10983574874245805, 0.052312638127494274]","{'0': 0.17375438499104665, '1': 0.014912146862117136, '3': 0.009900857166274946, '4': 0.11179879132554618, '10': 0.05418078949095379, '2': 0.015687811670668163, '5': 0.03936646826399329, '6': 0.0009036922305715063, '7': 0.00618465582239571, '8': 0.06177005619524723, '9': 0.057255667067738235, '11': 0.0004191912338986426, '12': 0.0001580272849751787}","[0.17375438499104665, 0.014912146862117136, 0.009900857166274946, 0.11179879132554618, 0.05418078949095379]",False
