dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,IF la = 16.0 AND nrev = 6.0 AND age = 0.3024074074074074 AND rrexp = 2810.0 AND asawr = 0.0053342816500711 THEN defect = False,"[0.08700326988818824, 0.05061336147427055, 0.015457713606297656, 0.0018064226363229692, 0.023225784495355596]",IF la = 16.0 AND nrev = 6.0 AND ndev = 123.0 AND age = 0.3024074074074074 AND rrexp = 2810.0 AND asawr = 0.0053342816500711 THEN defect = False,"[0.08363848664173625, 0.05089619590482952, 0.003260897918797854, 0.02089990077903635, 0.006190132399763673, 0.02132329597258519]",False
openstack,IF nrev = 3.0 AND self = 0.0 AND ndev = 9.0 AND age = 21.841915509259263 AND rrexp = 632.0 AND asawr = 0.2359550561797752 THEN defect = False,"[0.057454786952873683, 0.0041133243943621434, 0.006159324142612741, 0.01313539553780455, 0.010771963262931433, 0.0152679554765076]",IF nrev = 3.0 AND self = 0.0 AND ndev = 9.0 AND age = 21.841915509259263 AND rrexp = 632.0 AND asawr = 0.2359550561797752 THEN defect = False,"[0.05323554606290957, 0.0038840347978171064, 0.009077602913710082, 0.01822195213255733, 0.012211251808225314, 0.016000366113923945]",False
openstack,IF la = 68.0 AND nrev = 7.0 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 AND rsawr = 0.2477341389728096 THEN defect = False,"[0.08239311660137573, 0.04518259172617072, 0.010737223760142366, 0.020546860106152733, 0.0048904756411831535, 0.010913940930796258, 0.018480841780527654, 0.009912736539285509]",IF ent = 0.6385146263620961 AND nrev = 7.0 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 AND rsawr = 0.2477341389728096 THEN defect = False,"[0.006085430645161943, 0.046141619444421675, 0.010179689791300208, 0.01863635948297094, 0.00510342078799813, 0.010096647006039346, 0.015517860004743726, 0.006128273479334656]",False
openstack,IF la = 97.0 AND nrev = 4.0 AND age = 3.5027256944444445 AND rrexp = 2777.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595 THEN defect = False,"[0.08201148248510072, 0.051760037081050064, 0.0171369779460158, 0.0024398710787895566, 0.02022033351113405, 0.0044264206060468875]",IF nrev = 4.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND rrexp = 2777.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595 THEN defect = False,"[0.04879456213257072, 0.00541531083419364, 0.015540011057598693, 0.006165351062171683, 0.02022837191924528, 0.005742363294575345]",False
openstack,IF la = 37.0 AND nrev = 8.0 AND ndev = 77.0 AND age = 3.550410879629629 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068 THEN defect = False,"[0.07976875203645908, 0.045702446308561864, 0.006036341909446206, 0.019360906729763146, 0.016127894915668475, 0.01889286412099031, 0.009391342340818343]",IF la = 37.0 AND nrev = 8.0 AND ndev = 77.0 AND age = 3.550410879629629 AND rrexp = 456.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068 THEN defect = False,"[0.07977471787045355, 0.04609203708995133, 0.009391415525088204, 0.016145112916924557, 0.009405498379292573, 0.016611433470346267, 0.002387920711805963]",False
openstack,IF la = 70.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND ndev = 5.0 AND age = 0.2543287037037037 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511 THEN defect = False,"[0.0822993185886625, 0.006325397042663085, 0.059526234734112365, 0.006117675072564541, 0.018109122748164952, 0.013366833361962293, 0.006887942457051109]",IF la = 70.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND ndev = 5.0 AND age = 0.2543287037037037 AND rrexp = 791.0 AND asawr = 0.0192076830732292 AND rsawr = 0.8367346938775511 THEN defect = False,"[0.08539967766648505, 0.003281689842212063, 0.05647745313013571, 0.004356720954307646, 0.01637961755969265, 0.013967954086646608, 0.01297321242416308, 0.004720769708658964]",False
openstack,IF la = 6.0 AND nrev = 1.0 AND ndev = 7.0 AND age = 3.8489930555555554 AND rrexp = 424.0 AND asawr = 0.7671957671957672 THEN defect = False,"[0.08822489089874533, 0.056288339267971894, 0.007761996672371082, 0.019941547631153203, 0.013372742606125372, 0.0163003246629143]",IF la = 6.0 AND nrev = 1.0 AND ndev = 7.0 AND age = 3.8489930555555554 AND rrexp = 424.0 AND asawr = 0.7671957671957672 THEN defect = False,"[0.08080472618400063, 0.05610914561154558, 0.0114299314902934, 0.024611918125729406, 0.006559864014662331, 0.008766919722605179]",False
openstack,IF la = 121.0 AND nrev = 2.0 AND ndev = 11.0 AND age = 4.983553240740741 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942 THEN defect = True,"[0.08753936520836815, 0.05246394545697973, 0.010073961756482688, 0.019205086683129934, 0.015902918973017113, 0.009194694055066677]",IF la = 121.0 AND nd = 2.0 AND nrev = 2.0 AND ndev = 11.0 AND age = 4.983553240740741 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942 THEN defect = True,"[0.08797148221138007, 0.003030102238821721, 0.058596084591601316, 0.005688618860564167, 0.018125699848026526, 0.026249757004971865, 0.0008541944570013792]",False
openstack,IF la = 51.0 AND ent = 0.3966277727783788 AND nrev = 3.0 AND age = 1.7360532407407403 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 THEN defect = False,"[0.08406998836214426, 0.008092217448499462, 0.04933746726532491, 0.015828195014573557, 0.0030756004718665397, 0.02185465276848147]",IF la = 51.0 AND nrev = 3.0 AND ndev = 25.0 AND age = 1.7360532407407403 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 AND rsawr = 0.5031011873117136 THEN defect = False,"[0.08079953780071573, 0.05321747985746105, 0.012698915247924717, 0.020401441329840602, 0.0032155025474792033, 0.01901829273124729, 0.009971040753125247]",False
openstack,IF la = 1.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 4.0 AND age = 0.0291435185185185 AND rrexp = 328.0 AND asawr = 0.1968911917098445 THEN defect = False,"[0.08381525895688938, 0.012316028672117901, 0.053612689993183235, 0.007516147228335463, 0.019953205947969385, 0.005597882593489757, 0.020928806743130548]",IF la = 1.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 4.0 AND age = 0.0291435185185185 AND rrexp = 328.0 AND asawr = 0.1968911917098445 AND rsawr = 0.5492227979274611 THEN defect = False,"[0.08576079779021503, 0.017056040811257014, 0.05482292285400629, 0.009789874148580725, 0.016524170099149138, 0.011283187191076653, 0.01510202826654968, 0.010280462719813714]",False
openstack,IF la = 53.0 AND nrev = 5.0 AND ndev = 21.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467 THEN defect = False,"[0.08387975512615448, 0.050827004452287855, 0.011896271589713528, 0.008544942978817603, 0.0217405272732106, 0.00489181170274141]",IF la = 53.0 AND nrev = 5.0 AND rrexp = 1678.0 AND asawr = 0.0507425742574257 AND rsawr = 0.2966760961810467 THEN defect = False,"[0.08029398213032729, 0.0473948031690277, 0.010879901368777575, 0.020235849707403653, 0.005150812142620952]",False
openstack,IF la = 0.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 1.0 AND age = 1.0854513888888888 AND asawr = 0.1177170035671819 AND rsawr = 0.901307966706302 THEN defect = False,"[0.08656581419149523, 0.018243186140565918, 0.052271609553469475, 0.008642739670742923, 0.018478062126369727, 0.017805109355239972, 0.0057037300508123254]",IF la = 0.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 1.0 AND age = 1.0854513888888888 AND asawr = 0.1177170035671819 AND rsawr = 0.901307966706302 THEN defect = False,"[0.07799100019451788, 0.019204918074995442, 0.057424886994450086, 0.007717118653043803, 0.017088861687353147, 0.020523321640111364, 0.009127639156773639]",False
openstack,IF la = 2.0 AND ent = 0.0 AND nrev = 3.0 AND ndev = 5.0 AND age = 13.55564814814815 AND rrexp = 370.0 AND asawr = 0.0378250591016548 THEN defect = False,"[0.08205634695979998, 0.01723886007006716, 0.053900998004145294, 0.007150270101867848, 0.020738304031849036, 0.007181740271419192, 0.02133353730450719]",IF la = 2.0 AND ent = 0.0 AND nrev = 3.0 AND ndev = 5.0 AND age = 13.55564814814815 AND rrexp = 370.0 AND asawr = 0.0378250591016548 AND rsawr = 0.5508274231678487 THEN defect = False,"[0.08377118029877872, 0.017462421841889772, 0.053086765851230934, 0.011879073341500448, 0.023247241897757932, 0.011886086550417608, 0.01905163848150565, 0.006279439137156894]",False
openstack,IF la = 1.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 15.0 AND age = 1.6420833333333331 AND rrexp = 1909.0 AND rsawr = 0.3507225942897427 THEN defect = False,"[0.08198053568115377, 0.02172956578120802, 0.05419872487745628, 0.007999020373775957, 0.021297952883036153, 0.0029230242811806024, 0.008220366139099228]",IF la = 1.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 15.0 AND age = 1.6420833333333331 AND rrexp = 1909.0 AND rsawr = 0.3507225942897427 THEN defect = False,"[0.07827025816807631, 0.022727600375426194, 0.059845962097967116, 0.008558539129969676, 0.015580344690027285, 0.0034006198773084187, 0.012775380105884401]",False
openstack,IF la = 71.0 AND ent = 0.0 AND nrev = 3.0 AND ndev = 4.0 AND age = 1.106886574074074 AND asawr = 0.0023696682464454 AND rsawr = 0.9395734597156398 THEN defect = False,"[0.08148878009472058, 0.014433361993654244, 0.05428265626118401, 0.007009615871107441, 0.013840367665468053, 0.019687724190543047, 0.003248075931879696]",IF la = 71.0 AND ent = 0.0 AND nrev = 3.0 AND ndev = 4.0 AND age = 1.106886574074074 AND rrexp = 888.0 AND asawr = 0.0023696682464454 THEN defect = False,"[0.08693775847728287, 0.017986690725485567, 0.055963772401814, 0.004862274825732808, 0.017071324720497442, 0.009583387489269589, 0.014636458605883453]",False
openstack,IF la = 7.0 AND nrev = 3.0 AND ndev = 161.0 AND age = 0.6490856481481482 AND asawr = 0.3057953144266337 THEN defect = False,"[0.0855458491379008, 0.05322742913255116, 0.002024309531163707, 0.014039697844369913, 0.014723131803765218]",IF la = 7.0 AND nrev = 3.0 AND ndev = 161.0 AND age = 0.6490856481481482 AND asawr = 0.3057953144266337 THEN defect = False,"[0.0888793408858193, 0.05454887054075231, 0.005801757376157309, 0.018059442717731643, 0.01253815177293699]",False
openstack,IF la = 397.0 AND nrev = 12.0 AND ndev = 13.0 AND age = 0.1104166666666666 AND app = 1.0 AND asawr = 0.0023446658851113 AND rsawr = 0.835873388042204 THEN defect = False,"[0.08345523035616115, 0.04431623295382547, 0.007132709538507713, 0.017097048862721443, 0.0017470668463322413, 0.01965106810796128, 0.003951786793192735]",IF la = 397.0 AND nrev = 12.0 AND ndev = 13.0 AND age = 0.1104166666666666 AND rrexp = 784.0 AND asawr = 0.0023446658851113 AND rsawr = 0.835873388042204 THEN defect = False,"[0.07993642374596463, 0.04003917492393075, 0.008841166648762297, 0.01508317349672599, 0.013972612348697695, 0.020214536928511, 0.004199291131431682]",False
openstack,IF la = 6.0 AND nrev = 2.0 AND ndev = 11.0 AND age = 3.4672569444444448 AND asawr = 0.0149253731343283 AND rsawr = 0.8756218905472637 THEN defect = False,"[0.08619369358425864, 0.054424147182469115, 0.013859813153386729, 0.019118834946448372, 0.012519925741036957, 0.0012894545427402666]",IF la = 6.0 AND nrev = 2.0 AND ndev = 11.0 AND age = 3.4672569444444448 AND asawr = 0.0149253731343283 THEN defect = False,"[0.08566900460221231, 0.05572956608208536, 0.00966317084270981, 0.021419846001788628, 0.0203469080987354]",False
openstack,IF la = 9.0 AND nrev = 4.0 AND ndev = 10.0 AND age = 4.396817129629629 AND rrexp = 426.0 AND asawr = 0.01 THEN defect = False,"[0.08659131072644571, 0.05188914158511278, 0.007540523840308899, 0.016972169776921623, 0.010736142337803178, 0.015254169256580323]",IF la = 9.0 AND nrev = 4.0 AND self = 0.0 AND ndev = 10.0 AND age = 4.396817129629629 AND rrexp = 426.0 AND asawr = 0.01 THEN defect = False,"[0.08494158206956923, 0.05169370436937175, 0.006011558437970992, 0.00997895139950686, 0.01392491190107307, 0.010256736050656667, 0.015787611620412915]",False
openstack,IF nrev = 22.0 AND ndev = 192.0 AND age = 0.0496715856481481 AND rrexp = 1942.0 AND rsawr = 0.3626779124934106 THEN defect = False,"[0.02077707131560073, 9.508304917325715e-05, 0.021405258756032542, 0.006424854391530783, 0.01171915523129522]",IF nrev = 22.0 AND age = 0.0496715856481481 AND rrexp = 1942.0 AND rsawr = 0.3626779124934106 THEN defect = False,"[0.02616135698318142, 0.01818226487420532, 0.0013570320524151007, 0.007322920643589862]",False
openstack,IF la = 13.0 AND nrev = 7.0 AND ndev = 72.0 AND age = 0.030636574074074 AND app = 1.0 AND rsawr = 0.1501227639424763 THEN defect = False,"[0.08160023726655792, 0.04360098187853835, 0.008405028043537563, 0.019594040481487003, 0.0016256116753028279, 0.007349175917282835]",IF la = 13.0 AND nrev = 7.0 AND ndev = 72.0 AND age = 0.030636574074074 AND app = 1.0 AND asawr = 0.1501227639424763 AND rsawr = 0.1501227639424763 THEN defect = False,"[0.07724918443768378, 0.045171776463625316, 0.0019871117488028255, 0.02427873045410803, 0.00643420622167085, 0.019542435277545605, 0.005964195733527769]",False
openstack,IF la = 36.0 AND nrev = 9.0 AND ndev = 12.0 AND age = 1.6317592592592591 AND rrexp = 886.0 AND asawr = 0.1056910569105691 AND rsawr = 0.9419279907084784 THEN defect = False,"[0.08422753799459638, 0.04453750895448521, 0.008681098657274735, 0.016028969768012342, 0.013692989752144013, 0.0214913391426973, 0.005004517094790237]",IF la = 36.0 AND nrev = 9.0 AND ndev = 12.0 AND age = 1.6317592592592591 AND asawr = 0.1056910569105691 AND rsawr = 0.9419279907084784 THEN defect = False,"[0.0846418184900735, 0.05127438827214534, 0.0071082841756657505, 0.02044144490277724, 0.02149515781970461, 0.0023133808912680644]",False
openstack,IF la = 2.0 AND nrev = 3.0 AND age = 1.1424768518518518 AND app = 2.0 AND rrexp = 796.0 AND asawr = 0.0266512166859791 AND rsawr = 0.8435689455388181 THEN defect = False,"[0.0811170723520944, 0.05500003209330334, 0.01670495727312589, 0.0010752927942512059, 0.012226386252378891, 0.012961487503769941, 0.008274082123350063]",IF la = 2.0 AND nrev = 3.0 AND self = 0.0 AND age = 1.1424768518518518 AND rrexp = 796.0 AND asawr = 0.0266512166859791 AND rsawr = 0.8435689455388181 THEN defect = False,"[0.08030474039487356, 0.053278147983599214, 0.001224256357112149, 0.015847440446846047, 0.011446093887785247, 0.021644388478093347, 0.007181929696408804]",False
openstack,IF la = 117.0 AND nrev = 2.0 AND ndev = 56.0 AND rrexp = 1600.0 AND asawr = 0.619625137816979 AND rsawr = 0.249173098125689 THEN defect = False,"[0.0833513806408633, 0.053460485866941874, 0.007302568766135746, 0.007629941839846674, 0.010217428676525673, 0.008835384060216231]",IF la = 117.0 AND nrev = 2.0 AND ndev = 56.0 AND rrexp = 1600.0 AND asawr = 0.619625137816979 AND rsawr = 0.249173098125689 THEN defect = False,"[0.0862127440009591, 0.05116255529851818, 0.009213022487325783, 0.006730799560529416, 0.01392234659287282, 0.007379297725674362]",False
openstack,IF la = 0.0 AND ent = 0.0 AND nrev = 5.0 AND ndev = 11.0 AND age = 0.0031018518518518 AND rrexp = 2064.0 AND rsawr = 0.3866060500087427 THEN defect = False,"[0.08101341717328518, 0.020296981062588492, 0.05124313374932169, 0.01030581135495332, 0.021916101577045523, 0.006952219474848676, 0.006043541226916485]",IF la = 0.0 AND ent = 0.0 AND nrev = 5.0 AND ndev = 11.0 AND age = 0.0031018518518518 AND rrexp = 2064.0 AND rsawr = 0.3866060500087427 THEN defect = False,"[0.0797301099954647, 0.02409045049104597, 0.05217687390755666, 0.014058120192270946, 0.018046532597215753, 0.005733671697532356, 0.005028751817051494]",False
openstack,IF la = 4.0 AND ent = 0.0 AND nrev = 8.0 AND ndev = 62.0 AND rrexp = 2076.0 AND rsawr = 0.3878227494766225 THEN defect = False,"[0.08837990608958368, 0.024365894154349147, 0.05093679666724972, 0.011750383931166036, 0.009934822018943757, 0.00835308907518269]",IF la = 4.0 AND ent = 0.0 AND nrev = 8.0 AND ndev = 62.0 AND rsawr = 0.3878227494766225 THEN defect = False,"[0.08301714350748034, 0.01991491427506475, 0.04851284916128266, 0.004620240088750436, 0.005138414329472992]",False
openstack,IF la = 7.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 20.0 AND age = 0.0043171296296296 AND asawr = 0.0197802197802197 AND rsawr = 0.5494505494505495 THEN defect = False,"[0.0793549657323451, 0.019417445017333203, 0.05546200724567874, 0.009400941081178088, 0.01710024963093285, 0.015085717221580138, 0.00823879216226644]",IF la = 7.0 AND ent = 0.0 AND nrev = 1.0 AND age = 0.0043171296296296 AND asawr = 0.0197802197802197 AND rsawr = 0.5494505494505495 THEN defect = False,"[0.0842892983294129, 0.01827993432321357, 0.05622277200054846, 0.01655279204153858, 0.015852726987444762, 0.010653093850264084]",False
openstack,IF la = 3.0 AND ent = 0.0 AND nrev = 3.0 AND ndev = 17.0 AND rrexp = 2980.0 AND rsawr = 0.4250609968630184 THEN defect = False,"[0.08434671188880642, 0.014715118106011211, 0.05211830259568793, 0.008751426498687263, 0.00462674725159533, 0.0050773910850526105]",IF la = 3.0 AND ent = 0.0 AND nrev = 3.0 AND ndev = 17.0 AND rrexp = 2980.0 AND rsawr = 0.4250609968630184 THEN defect = False,"[0.07826132175611877, 0.022757701167529006, 0.05345481820279824, 0.005586533519911887, 0.002956278466653047, 0.005126444798693404]",False
openstack,IF la = 1.0 AND ent = 0.0 AND nrev = 8.0 AND ndev = 15.0 AND age = 0.0692361111111111 AND asawr = 0.1532567049808429 AND rsawr = 0.1532567049808429 THEN defect = False,"[0.0826081474076877, 0.024004638584656356, 0.04056063236022794, 0.01456414456113677, 0.018342107943104966, 0.012595742703811787, 0.008774288975917864]",IF la = 1.0 AND ent = 0.0 AND nrev = 8.0 AND ndev = 15.0 AND age = 0.0692361111111111 AND app = 1.0 AND rsawr = 0.1532567049808429 THEN defect = False,"[0.07752854634192698, 0.024702724015687065, 0.04349523081097917, 0.006168213498787974, 0.0191785560745973, 0.008565309237839394, 0.016802347410397052]",False
openstack,IF la = 2.0 AND ent = 0.0 AND nrev = 1.0 AND age = 26.835219907407406 AND rrexp = 2350.0 AND asawr = 0.0003477656059815 AND rsawr = 0.3404625282559554 THEN defect = False,"[0.08350831190422063, 0.01989704969301943, 0.057166555176991506, 0.018079693278532896, 0.009427252072978475, 0.017704841222209788, 0.011690027183919168]",IF la = 2.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 39.0 AND age = 26.835219907407406 AND rrexp = 2350.0 AND asawr = 0.0003477656059815 AND rsawr = 0.3404625282559554 THEN defect = False,"[0.08119291717279008, 0.019816850123755718, 0.057228034873291096, 0.010659172805818493, 0.010788153999052663, 0.0072049240849008656, 0.020444177275930713, 0.007156252241079697]",False
openstack,IF la = 2.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 3.0 AND rrexp = 670.0 AND asawr = 0.0938967136150234 AND rsawr = 0.8779342723004695 THEN defect = False,"[0.08346388471849153, 0.017689554712505377, 0.0541199079269048, 0.0062623118576968775, 0.012211252826282987, 0.02038046495281843, 0.005590360631140769]",IF la = 2.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 3.0 AND age = 13.215578703703704 AND asawr = 0.0938967136150234 AND rsawr = 0.8779342723004695 THEN defect = False,"[0.08113537667973876, 0.015484307956058242, 0.057514308295190886, 0.007694388710262072, 0.023577121719275142, 0.019235993909387235, 0.005493094655552288]",False
openstack,IF la = 14.0 AND nrev = 3.0 AND ndev = 4.0 AND age = 4.130775462962963 AND rrexp = 1604.0 AND asawr = 0.02803738317757 AND rsawr = 0.8644859813084113 THEN defect = False,"[0.08312182416312972, 0.05760831242291651, 0.0053660234534205955, 0.017068445163803674, 0.009001611209079354, 0.023296240465228442, 0.005730192857553237]",IF la = 14.0 AND nrev = 3.0 AND ndev = 4.0 AND age = 4.130775462962963 AND rrexp = 1604.0 AND asawr = 0.02803738317757 THEN defect = False,"[0.0855034436213856, 0.05795253476217158, 0.005166428984046966, 0.015378653753350924, 0.0033147707180015197, 0.02622765376249762]",False
openstack,IF la = 52.0 AND nrev = 16.0 AND ndev = 152.0 AND age = 0.4597371031746032 AND rrexp = 3088.0 THEN defect = False,"[0.0787996716784177, 0.03546849294543316, 0.0018456100948126334, 0.017024133059301262, 0.0051517940983164465]",IF la = 52.0 AND nrev = 16.0 AND ndev = 152.0 AND age = 0.4597371031746032 AND rsawr = 0.5541666666666667 THEN defect = False,"[0.0799452061497633, 0.03424656026732393, 0.011069290403036745, 0.01242211699966609, 0.006597102491799533]",False
openstack,IF la = 0.0 AND nrev = 2.0 AND ndev = 4.0 AND age = 21.355271990740743 AND asawr = 0.3394495412844037 AND rsawr = 0.8761467889908257 THEN defect = False,"[0.08467702614648766, 0.05667010360608487, 0.006289567417050015, 0.016354226844135206, 0.014268635675546029, 0.0025835187238876637]",IF la = 0.0 AND nrev = 2.0 AND ndev = 4.0 AND age = 21.355271990740743 AND rrexp = 681.0 AND asawr = 0.3394495412844037 AND rsawr = 0.8761467889908257 THEN defect = False,"[0.08500592400643583, 0.05447708357358246, 0.011175573724935292, 0.0160664641125199, 0.011193467745552329, 0.014767226893263359, 0.0044773121465346505]",False
openstack,IF la = 4.0 AND nrev = 1.0 AND ndev = 9.0 AND age = 1.710162037037037 AND rrexp = 403.0 AND asawr = 0.060879368658399 AND rsawr = 0.4295377677564825 THEN defect = False,"[0.08321161901667978, 0.06145987435668915, 0.014005996358522255, 0.01640342807441146, 0.013307397218680479, 0.016555744937928274, 0.01025445891656934]",IF la = 4.0 AND nrev = 1.0 AND ndev = 9.0 AND age = 1.710162037037037 AND rrexp = 403.0 AND asawr = 0.060879368658399 THEN defect = False,"[0.08569791720182598, 0.05805300953155468, 0.00900577823295363, 0.01852218086644334, 0.01480086547818468, 0.019195042108090282]",False
openstack,IF la = 197.0 AND nrev = 21.0 AND self = 0.0 AND ndev = 20.0 AND age = 35.885555555555555 AND rrexp = 475.0 AND asawr = 0.1936887921653971 THEN defect = True,"[0.08292067854638628, 0.02888111568822829, 0.0022103451769775392, 0.008010233634329537, 0.014963934209878975, 0.009742726592407798, 0.021360512869914347]",IF la = 197.0 AND nrev = 21.0 AND self = 0.0 AND ndev = 20.0 AND age = 35.885555555555555 AND rrexp = 475.0 AND asawr = 0.1936887921653971 THEN defect = True,"[0.07906601808598378, 0.03229318956590398, 0.003301660177797363, 0.008114463127794968, 0.01970503599945877, 0.011251108995871265, 0.019196711015075855]",False
openstack,IF la = 2.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 11.0 AND age = 22.06195601851852 AND rrexp = 357.0 AND asawr = 0.0198198198198198 THEN defect = False,"[0.07928322419401383, 0.024902967644392853, 0.053629479930652126, 0.007948191106910767, 0.017146594651707446, 0.007818081858124524, 0.01696232112496683]",IF la = 2.0 AND ent = 0.0 AND nrev = 1.0 AND ndev = 11.0 AND age = 22.06195601851852 AND rrexp = 357.0 AND asawr = 0.0198198198198198 THEN defect = False,"[0.081773015621718, 0.020915330245407558, 0.05463800577509443, 0.010196788599594872, 0.01999689948891426, 0.012308696904669092, 0.0149241007381185]",False
openstack,IF la = 1260.0 AND nrev = 12.0 AND ndev = 0.0 AND age = 0.0 AND asawr = 0.0180995475113122 AND rsawr = 0.8416289592760181 THEN defect = False,"[0.08265247545372499, 0.04104242140496145, 0.009538919549989866, 0.01667675761934888, 0.020511866958420645, 0.0031623456358300527]",IF la = 1260.0 AND nrev = 12.0 AND ndev = 0.0 AND age = 0.0 AND asawr = 0.0180995475113122 AND rsawr = 0.8416289592760181 THEN defect = False,"[0.08078861898321163, 0.03509820589954481, 0.009202273414001967, 0.014767918289898043, 0.015593638534721907, 0.005158672321765422]",False
openstack,IF la = 14.0 AND nrev = 3.0 AND age = 0.4303587962962963 AND rrexp = 288.0 AND asawr = 0.0043478260869565 AND rsawr = 0.2184782608695652 THEN defect = False,"[0.08609985161614012, 0.05553578978817797, 0.014175247463766204, 0.010127604368777448, 0.017535160702114014, 0.00727872228736296]",IF la = 14.0 AND nrev = 3.0 AND age = 0.4303587962962963 AND rrexp = 288.0 AND asawr = 0.0043478260869565 AND rsawr = 0.2184782608695652 THEN defect = False,"[0.08439201896615844, 0.05192833526530724, 0.017288666993140644, 0.014279861737376158, 0.023125829974551898, 0.009574768890799269]",False
