dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,"{'0': 0.08993206830378016, '4': 0.048533405756297804, '7': 0.006781794872096446, '8': 0.023492387013639697, '10': 0.0007527004360648249, '11': 0.01884154285857239, '12': 0.008342733105080304, '1': 0.012012783544960314, '2': 0.021633300578932015, '3': 0.013968526929380106, '5': 0.02066134905823224, '6': 0.004999193283422089, '9': 0.027959172652018974}","[0.08993206830378016, 0.048533405756297804, 0.006781794872096446, 0.023492387013639697, 0.0007527004360648249, 0.01884154285857239, 0.008342733105080304]","{'0': 0.08686181484307155, '4': 0.05235768137008065, '6': 0.0006748035320748442, '7': 0.002358798388991201, '8': 0.0160325212036311, '10': 0.0021264065912634713, '11': 0.016935966383158297, '12': 0.00974598939855372, '1': 0.00715462127800808, '2': 0.018914902239686705, '3': 0.003230269484095055, '5': 0.02444754365138413, '9': 0.029248435865981068}","[0.08686181484307155, 0.05235768137008065, 0.0006748035320748442, 0.002358798388991201, 0.0160325212036311, 0.0021264065912634713, 0.016935966383158297, 0.00974598939855372]",False
openstack,"{'0': 0.08624713539306178, '4': 0.059950636687452395, '7': 0.008440412211094952, '8': 0.01693677632808087, '10': 0.009954978360637747, '11': 0.01742310550144137, '12': 0.008309766729685005, '1': 0.0012191505300666987, '2': 0.021345207989864844, '3': 0.005802895596406398, '5': 0.01702532882131616, '6': 0.000490652884607171, '9': 0.011203631701890438}","[0.08624713539306178, 0.059950636687452395, 0.008440412211094952, 0.01693677632808087, 0.009954978360637747, 0.01742310550144137, 0.008309766729685005]","{'0': 0.08286603192758508, '1': 0.0008714702186663136, '4': 0.05812733957387759, '6': 0.0003318390388751472, '7': 0.007702648224278386, '8': 0.01710383993232112, '10': 0.010106891218045618, '11': 0.017647235528059163, '2': 0.023568081836831452, '3': 0.004754920225617313, '5': 0.014352037715818606, '9': 0.00534526840558187, '12': 1.609414919692369e-05}","[0.08286603192758508, 0.0008714702186663136, 0.05812733957387759, 0.0003318390388751472, 0.007702648224278386, 0.01710383993232112, 0.010106891218045618, 0.017647235528059163]",False
openstack,"{'0': 0.0831028393557902, '3': 0.0018513714854111643, '4': 0.05364964672405884, '7': 0.009355725835650188, '8': 0.02503606505832656, '9': 0.00340950343436622, '10': 0.011642732709418532, '11': 0.02332338517145332, '12': 0.006324358512275153, '1': 0.0029970083766506115, '2': 0.017685173877789326, '5': 0.01794764060255207, '6': 0.0014475733793105927}","[0.0831028393557902, 0.0018513714854111643, 0.05364964672405884, 0.009355725835650188, 0.02503606505832656, 0.00340950343436622, 0.011642732709418532, 0.02332338517145332, 0.006324358512275153]","{'0': 0.08086281432862338, '3': 0.003194202569060371, '4': 0.046852290579601656, '7': 0.00884305385262556, '8': 0.017746359968268552, '9': 0.002314562163499857, '10': 0.004841287822312497, '11': 0.021091914335523133, '12': 0.0007779309955029726, '1': 0.00039591118773946664, '2': 0.01653522929446408, '5': 0.011894994410411796, '6': 0.001700734306977674}","[0.08086281432862338, 0.003194202569060371, 0.046852290579601656, 0.00884305385262556, 0.017746359968268552, 0.002314562163499857, 0.004841287822312497, 0.021091914335523133, 0.0007779309955029726]",False
openstack,"{'0': 0.08895947308850093, '4': 0.053512956474769065, '6': 0.0002887956452401305, '7': 0.0033360609183075833, '8': 0.01922610381920664, '10': 0.0036745092450052785, '11': 0.022118473244411067, '12': 0.004179917968652961, '1': 0.008583716334293126, '2': 0.0185486387515519, '3': 0.005753937781310541, '5': 0.015532646845724564, '9': 0.016247410425850276}","[0.08895947308850093, 0.053512956474769065, 0.0002887956452401305, 0.0033360609183075833, 0.01922610381920664, 0.0036745092450052785, 0.022118473244411067, 0.004179917968652961]","{'0': 0.08217768912835421, '4': 0.048852135216299074, '7': 0.008501009093002103, '8': 0.020465569009682202, '10': 0.0031911839327339853, '11': 0.01764496002611467, '12': 0.002915491000845205, '1': 0.010405235476723385, '2': 0.013083453962411796, '3': 0.002601881785074526, '5': 0.015674605691833654, '6': 0.0014101252694806818, '9': 0.01979031459484079}","[0.08217768912835421, 0.048852135216299074, 0.008501009093002103, 0.020465569009682202, 0.0031911839327339853, 0.01764496002611467, 0.002915491000845205]",False
openstack,"{'0': 0.07928903397721117, '4': 0.04683986325117916, '7': 0.008703521625906742, '8': 0.025515444935118755, '10': 0.005755146190845338, '11': 0.017539399473421386, '12': 0.008772900921113307, '1': 0.004544022053159661, '2': 0.021188311798131635, '3': 0.0015156054104385967, '5': 0.013235841832160328, '6': 0.0026862009023773084, '9': 0.0019455182435159037}","[0.07928903397721117, 0.04683986325117916, 0.008703521625906742, 0.025515444935118755, 0.005755146190845338, 0.017539399473421386, 0.008772900921113307]","{'0': 0.07835791028104558, '4': 0.04340154510565346, '7': 0.009886567117494924, '8': 0.018108557396621684, '10': 0.007353117819088584, '11': 0.020483979501005594, '12': 0.005343732329856954, '1': 0.004177422364804096, '2': 0.013556192779917351, '3': 0.004813186025927021, '5': 0.010881302139654372, '6': 0.00016966582200767617, '9': 0.005933759609442568}","[0.07835791028104558, 0.04340154510565346, 0.009886567117494924, 0.018108557396621684, 0.007353117819088584, 0.020483979501005594, 0.005343732329856954]",False
openstack,"{'0': 0.08903485126026361, '1': 0.0011522598589398993, '3': 0.010571229941144341, '4': 0.05274218271367997, '6': 6.173708485032239e-06, '7': 0.012519201251009781, '8': 0.016049904789609222, '10': 0.012773279699644188, '11': 0.01752477947356172, '12': 0.0038528367265043156, '2': 0.020742348798784303, '5': 0.02042877639421625, '9': 0.0008032440741728787}","[0.08903485126026361, 0.0011522598589398993, 0.010571229941144341, 0.05274218271367997, 6.173708485032239e-06, 0.012519201251009781, 0.016049904789609222, 0.012773279699644188, 0.01752477947356172, 0.0038528367265043156]","{'0': 0.08501767804101626, '3': 0.009767880436181544, '4': 0.05265082825850525, '6': 0.002503109905520838, '7': 0.0077012973074983854, '8': 0.016709166940864533, '10': 0.008079568095353741, '11': 0.019337529853266297, '12': 0.006157084119306976, '1': 0.0028456453257303645, '2': 0.013389586805223055, '5': 0.017953373513913882, '9': 0.0008504565345133163}","[0.08501767804101626, 0.009767880436181544, 0.05265082825850525, 0.002503109905520838, 0.0077012973074983854, 0.016709166940864533, 0.008079568095353741, 0.019337529853266297, 0.006157084119306976]",False
openstack,"{'0': 0.09037698654334711, '4': 0.05733229861365626, '7': 0.011461013724763967, '8': 0.020381323178151178, '9': 0.00034094736037399136, '10': 0.006456044065692861, '11': 0.010883280728391802, '12': 0.008260042400619293, '1': 0.002035466000768267, '2': 0.019608131015531636, '3': 0.007217158238077047, '5': 0.010400091168498465, '6': 0.0004289636228968957}","[0.09037698654334711, 0.05733229861365626, 0.011461013724763967, 0.020381323178151178, 0.00034094736037399136, 0.006456044065692861, 0.010883280728391802, 0.008260042400619293]","{'0': 0.0877036785736958, '4': 0.06073448935056652, '7': 0.011571558928767253, '8': 0.018657318722946067, '10': 0.008061509252580338, '11': 0.006560534596548785, '1': 0.0049837828895595545, '2': 0.02090081805202876, '3': 0.005603124562857421, '5': 0.013396300182087071, '6': 0.001136173554373175, '9': 0.002271561637534941, '12': 0.00024887268759869486}","[0.0877036785736958, 0.06073448935056652, 0.011571558928767253, 0.018657318722946067, 0.008061509252580338, 0.006560534596548785]",False
openstack,"{'0': 0.08806015247533602, '1': 0.0006266958786416883, '4': 0.05505417389177373, '7': 0.00987259200466254, '8': 0.01826857543907659, '10': 0.006165652337862131, '11': 0.01972539991124713, '2': 0.019610179651097997, '3': 0.003601704597978426, '5': 0.011639046651338403, '6': 0.004121694028003452, '9': 0.0036203132229643466, '12': 0.002532961560563252}","[0.08806015247533602, 0.0006266958786416883, 0.05505417389177373, 0.00987259200466254, 0.01826857543907659, 0.006165652337862131, 0.01972539991124713]","{'0': 0.08746562383696761, '4': 0.053473545272470425, '6': 0.002285356455171618, '7': 0.007874559726032408, '8': 0.019635770239362305, '9': 0.001114966152558802, '10': 0.007019185174626344, '11': 0.020729651655550022, '12': 0.0005870317388398218, '1': 0.0054135925147832725, '2': 0.019005773963319532, '3': 0.0007701700961819868, '5': 0.018664901014201866}","[0.08746562383696761, 0.053473545272470425, 0.002285356455171618, 0.007874559726032408, 0.019635770239362305, 0.001114966152558802, 0.007019185174626344, 0.020729651655550022, 0.0005870317388398218]",False
openstack,"{'0': 0.08712199260321503, '3': 0.0077818232170718035, '4': 0.056801460126003206, '6': 0.00038253137794117524, '7': 0.008824344963337175, '8': 0.01666538307489134, '10': 0.0002904015092436544, '11': 0.018622585237697067, '1': 0.012147132149532633, '2': 0.017506916913095125, '5': 0.0202152721608361, '9': 0.015489398898716861, '12': 3.7910468818105174e-05}","[0.08712199260321503, 0.0077818232170718035, 0.056801460126003206, 0.00038253137794117524, 0.008824344963337175, 0.01666538307489134, 0.0002904015092436544, 0.018622585237697067]","{'0': 0.08144820019569567, '3': 0.007786241628635545, '4': 0.052446776475366295, '6': 0.0026780234189769637, '7': 0.011272962708025277, '8': 0.01551672747431505, '10': 0.0005832599661907506, '11': 0.018861144868517657, '12': 0.007651991569117558, '1': 0.009696762732932383, '2': 0.012044210736762831, '5': 0.02236861964802266, '9': 0.018771737608966926}","[0.08144820019569567, 0.007786241628635545, 0.052446776475366295, 0.0026780234189769637, 0.011272962708025277, 0.01551672747431505, 0.0005832599661907506, 0.018861144868517657, 0.007651991569117558]",False
openstack,"{'0': 0.08347271856603809, '3': 0.012421967619872116, '4': 0.052794350991797044, '6': 0.0015289573035479412, '7': 0.01144910035660924, '8': 0.017790237706509116, '10': 0.014754050221816204, '11': 0.013834224411390896, '12': 0.005688088455341059, '1': 0.001607846986037045, '2': 0.020157635418956266, '5': 0.016596440290956794, '9': 0.00868194149550144}","[0.08347271856603809, 0.012421967619872116, 0.052794350991797044, 0.0015289573035479412, 0.01144910035660924, 0.017790237706509116, 0.014754050221816204, 0.013834224411390896, 0.005688088455341059]","{'0': 0.0798551764120872, '3': 0.01936278986361834, '4': 0.0577608719297865, '6': 0.0008851971321703813, '7': 0.006209645236712946, '8': 0.015464380437817442, '10': 0.017658991751495018, '11': 0.0161463423362672, '12': 0.0024014992950203784, '1': 0.007003909983062665, '2': 0.01765442783979356, '5': 0.016266334251417044, '9': 0.007366959512331021}","[0.0798551764120872, 0.01936278986361834, 0.0577608719297865, 0.0008851971321703813, 0.006209645236712946, 0.015464380437817442, 0.017658991751495018, 0.0161463423362672, 0.0024014992950203784]",False
