dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,IF ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND self = 0.0 AND age = 0.3024074074074074 AND rrexp = 2810.0 AND asawr = 0.0053342816500711 AND rsawr = 0.3890469416785206 THEN defect = True,"[0.0180896231475855, 0.0669570972996774, 0.28045429724318316, 0.0009339256458811051, 0.1306868908383171, 0.7722277416905416, 0.0011670381364885997, 0.0013337517098950345]",IF ns = 1.0 AND ent = 0.9886994082884974 AND nrev = 6.0 AND self = 0.0 AND age = 0.3024074074074074 AND rrexp = 2810.0 AND asawr = 0.0053342816500711 AND rsawr = 0.3890469416785206 THEN defect = True,"[0.0180896231475855, 0.0669570972996774, 0.28045429724318316, 0.0009339256458811051, 0.1306868908383171, 0.7722277416905416, 0.0011670381364885997, 0.0013337517098950345]",True
openstack,IF nd = 2.0 AND nrev = 3.0 AND rtime = 105.23778935185186 AND age = 21.841915509259263 AND rrexp = 632.0 AND asawr = 0.2359550561797752 AND rsawr = 0.8202247191011236 THEN defect = False,"[0.00828485271794844, 0.06295912795255129, 0.2776762130172328, 0.15811694724836758, 0.14545078198211028, 0.001121411900967301, 0.0038856694659753503]",IF nd = 2.0 AND nrev = 3.0 AND rtime = 105.23778935185186 AND age = 21.841915509259263 AND rrexp = 632.0 AND asawr = 0.2359550561797752 AND rsawr = 0.8202247191011236 THEN defect = False,"[0.00828485271794844, 0.06295912795255129, 0.2776762130172328, 0.15811694724836758, 0.14545078198211028, 0.001121411900967301, 0.0038856694659753503]",True
openstack,IF la = 68.0 AND ns = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND self = 0.0 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 AND rsawr = 0.2477341389728096 THEN defect = True,"[0.010197199183355871, 0.0180896231475855, 0.024950341223178008, 0.39492543897509463, 0.0009339256458811051, 0.02725524553339513, 0.05145473009402651, 0.37885046529710437, 0.13979639915948078, 0.0007332547169608807, 0.0030443478340103987]",IF la = 68.0 AND ns = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND self = 0.0 AND ndev = 1.0 AND age = 6.211684027777778 AND app = 1.0 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 AND rsawr = 0.2477341389728096 THEN defect = True,"[0.010197199183355871, 0.0180896231475855, 0.024950341223178008, 0.39492543897509463, 0.0009339256458811051, 0.02725524553339513, 0.05145473009402651, 0.37885046529710437, 0.13979639915948078, 0.0007332547169608807, 0.0030443478340103987]",True
openstack,IF la = 97.0 AND ns = 1.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND self = 0.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND rrexp = 2777.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595 THEN defect = True,"[0.03735227506189767, 0.0180896231475855, 0.06831024837413598, 0.05151201377936018, 0.0009339256458811051, 0.012166385826678713, 0.08777670923041693, 0.7583235216348955, 0.0010965498124647748, 0.0011134095428446068]",IF la = 97.0 AND ns = 1.0 AND ent = 0.9999798059716656 AND nrev = 4.0 AND self = 0.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND rrexp = 2777.0 AND asawr = 0.0124378109452736 AND rsawr = 0.4072494669509595 THEN defect = True,"[0.03735227506189767, 0.0180896231475855, 0.06831024837413598, 0.05151201377936018, 0.0009339256458811051, 0.012166385826678713, 0.08777670923041693, 0.7583235216348955, 0.0010965498124647748, 0.0011134095428446068]",True
openstack,IF ns = 1.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND self = 0.0 AND age = 3.550410879629629 AND app = 2.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068 THEN defect = True,"[0.0180896231475855, 0.04662140094278497, 0.5093965807070061, 0.0009339256458811051, 0.08713734158858245, 0.1940453602741266, 0.0011970777566545421, 0.005065752717798541]",IF ns = 1.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND self = 0.0 AND age = 3.550410879629629 AND app = 2.0 AND asawr = 0.0023070097604259 AND rsawr = 0.0807453416149068 THEN defect = True,"[0.0180896231475855, 0.04662140094278497, 0.5093965807070061, 0.0009339256458811051, 0.08713734158858245, 0.1940453602741266, 0.0011970777566545421, 0.005065752717798541]",True
openstack,IF nd = 2.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND rrexp = 791.0 AND rsawr = 0.8367346938775511 THEN defect = False,"[0.00828485271794844, 0.021350727460579803, 0.2919014114163742, 0.0374225079025972, 0.07845772171399658, 0.004085523253608549]",IF nd = 2.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND rtime = 0.4416319444444445 AND rrexp = 791.0 AND rsawr = 0.8367346938775511 THEN defect = False,"[0.00828485271794844, 0.021350727460579803, 0.2919014114163742, 0.0374225079025972, 0.07845772171399658, 0.004085523253608549]",True
openstack,IF la = 6.0 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND rrexp = 424.0 AND asawr = 0.7671957671957672 THEN defect = False,"[0.04785848028111281, 0.2919014114163742, 0.03660797819767357, 0.23308950233285025, 0.006392913687837162]",IF la = 6.0 AND nrev = 1.0 AND rtime = 0.0863425925925926 AND rrexp = 424.0 AND asawr = 0.7671957671957672 THEN defect = False,"[0.04785848028111281, 0.2919014114163742, 0.03660797819767357, 0.23308950233285025, 0.006392913687837162]",True
openstack,IF nd = 2.0 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND rrexp = 812.0 AND rsawr = 0.8732057416267942 THEN defect = False,"[0.00828485271794844, 0.17743026968446277, 0.037229469377551776, 0.06960958167858533, 0.0045270064860387016]",IF nd = 2.0 AND nrev = 2.0 AND rtime = 0.3574305555555555 AND rrexp = 812.0 AND rsawr = 0.8732057416267942 THEN defect = False,"[0.00828485271794844, 0.17743026968446277, 0.037229469377551776, 0.06960958167858533, 0.0045270064860387016]",True
openstack,IF ns = 1.0 AND self = 0.0 AND ndev = 25.0 AND age = 1.7360532407407403 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 THEN defect = True,"[0.0180896231475855, 0.0009339256458811051, 0.008195633272279654, 0.11146442683562002, 0.9736282624965691, 0.0007293593504503897]",IF ns = 1.0 AND self = 0.0 AND ndev = 25.0 AND age = 1.7360532407407403 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 THEN defect = True,"[0.0180896231475855, 0.0009339256458811051, 0.008195633272279654, 0.11146442683562002, 0.9736282624965691, 0.0007293593504503897]",True
openstack,IF la = 1.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.2867592592592592 AND app = 4.0 AND rrexp = 328.0 AND asawr = 0.1968911917098445 AND rsawr = 0.5492227979274611 THEN defect = False,"[0.052540389915344154, 0.02391665029898324, 0.05164330174816878, 0.2919014114163742, 0.037067449689039425, 0.1755648497718289, 0.27353814249473024, 0.0007337811582829691, 0.0006051822977115109]",IF la = 1.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.2867592592592592 AND app = 4.0 AND rrexp = 328.0 AND asawr = 0.1968911917098445 AND rsawr = 0.5492227979274611 THEN defect = False,"[0.052540389915344154, 0.02391665029898324, 0.05164330174816878, 0.2919014114163742, 0.037067449689039425, 0.1755648497718289, 0.27353814249473024, 0.0007337811582829691, 0.0006051822977115109]",True
openstack,IF la = 53.0 AND rtime = 14.482893518518518 AND app = 5.0 THEN defect = False,"[0.0038485297193381653, 0.0696132408560996, 0.36036995479480666]",IF la = 53.0 AND rtime = 14.482893518518518 AND app = 5.0 THEN defect = False,"[0.0038485297193381653, 0.0696132408560996, 0.36036995479480666]",True
openstack,IF la = 0.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.7330555555555556 AND app = 4.0 AND rrexp = 836.0 AND rsawr = 0.901307966706302 THEN defect = False,"[0.05347677184219042, 0.02391665029898324, 0.05164330174816878, 0.2919014114163742, 0.03809062020804307, 0.1755648497718289, 0.05949742163811534, 0.004867184844825727]",IF la = 0.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.7330555555555556 AND app = 4.0 AND rrexp = 836.0 AND rsawr = 0.901307966706302 THEN defect = False,"[0.05347677184219042, 0.02391665029898324, 0.05164330174816878, 0.2919014114163742, 0.03809062020804307, 0.1755648497718289, 0.05949742163811534, 0.004867184844825727]",True
openstack,IF la = 2.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 6.817581018518518 AND age = 13.55564814814815 AND rrexp = 370.0 AND rsawr = 0.5508274231678487 THEN defect = False,"[0.05160400798849789, 0.02391665029898324, 0.05164330174816878, 0.06295912795255129, 0.052039889174634646, 0.04701386142183624, 0.2558418624239077, 0.0006246063390178109]",IF la = 2.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 6.817581018518518 AND age = 13.55564814814815 AND rrexp = 370.0 AND rsawr = 0.5508274231678487 THEN defect = False,"[0.05160400798849789, 0.02391665029898324, 0.05164330174816878, 0.06295912795255129, 0.052039889174634646, 0.04701386142183624, 0.2558418624239077, 0.0006246063390178109]",True
openstack,IF la = 1.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.856099537037037 AND app = 4.0 AND asawr = 0.1515685583362707 THEN defect = False,"[0.052540389915344154, 0.02391665029898324, 0.05164330174816878, 0.2919014114163742, 0.03837270853240841, 0.1755648497718289, 0.000284044649276509]",IF la = 1.0 AND nd = 1.0 AND ent = 0.0 AND nrev = 1.0 AND rtime = 0.856099537037037 AND app = 4.0 AND asawr = 0.1515685583362707 THEN defect = False,"[0.052540389915344154, 0.02391665029898324, 0.05164330174816878, 0.2919014114163742, 0.03837270853240841, 0.1755648497718289, 0.000284044649276509]",True
openstack,IF nd = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 7.930729166666667 AND rrexp = 888.0 AND rsawr = 0.9395734597156398 THEN defect = False,"[0.02391665029898324, 0.05164330174816878, 0.06295912795255129, 0.05459187174298771, 0.037587741550430355, 0.005330389896143356]",IF nd = 1.0 AND ent = 0.0 AND nrev = 3.0 AND rtime = 7.930729166666667 AND rrexp = 888.0 AND rsawr = 0.9395734597156398 THEN defect = False,"[0.02391665029898324, 0.05164330174816878, 0.06295912795255129, 0.05459187174298771, 0.037587741550430355, 0.005330389896143356]",True
openstack,IF la = 7.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 25.52989583333333 AND ndev = 161.0 AND app = 9.0 AND asawr = 0.3057953144266337 THEN defect = False,"[0.04692209835426654, 0.00828485271794844, 0.06295912795255129, 0.094939391186461, 0.09980883620737471, 1.0995903748867177, 0.0018144368113505048]",IF la = 7.0 AND nd = 2.0 AND nrev = 3.0 AND rtime = 25.52989583333333 AND ndev = 161.0 AND app = 9.0 AND asawr = 0.3057953144266337 THEN defect = False,"[0.04692209835426654, 0.00828485271794844, 0.06295912795255129, 0.094939391186461, 0.09980883620737471, 1.0995903748867177, 0.0018144368113505048]",True
openstack,IF la = 397.0 AND ns = 1.0 AND ent = 0.9987849008387586 AND nrev = 12.0 AND self = 0.0 AND ndev = 13.0 AND age = 0.1104166666666666 AND app = 1.0 AND asawr = 0.0023446658851113 THEN defect = True,"[0.31826685311577835, 0.0180896231475855, 0.06816691236685303, 0.9672811476346519, 0.0009339256458811051, 0.017725439402837394, 0.1332611215283051, 0.37885046529710437, 0.0011967040949143]",IF la = 397.0 AND ns = 1.0 AND ent = 0.9987849008387586 AND nrev = 12.0 AND self = 0.0 AND ndev = 13.0 AND age = 0.1104166666666666 AND app = 1.0 AND asawr = 0.0023446658851113 THEN defect = True,"[0.31826685311577835, 0.0180896231475855, 0.06816691236685303, 0.9672811476346519, 0.0009339256458811051, 0.017725439402837394, 0.1332611215283051, 0.37885046529710437, 0.0011967040949143]",True
openstack,IF la = 6.0 AND nd = 2.0 AND nrev = 2.0 AND rtime = 3.0977314814814814 AND rrexp = 820.0 AND rsawr = 0.8756218905472637 THEN defect = False,"[0.04785848028111281, 0.00828485271794844, 0.17743026968446277, 0.043511831888452715, 0.06623886166509534, 0.004556254048181021]",IF la = 6.0 AND nd = 2.0 AND nrev = 2.0 AND rtime = 3.0977314814814814 AND rrexp = 820.0 AND rsawr = 0.8756218905472637 THEN defect = False,"[0.04785848028111281, 0.00828485271794844, 0.17743026968446277, 0.043511831888452715, 0.06623886166509534, 0.004556254048181021]",True
openstack,IF la = 9.0 AND rtime = 5.921979166666667 AND rrexp = 426.0 THEN defect = False,"[0.045049334500574, 0.049986649165285536, 0.23224682232947774]",IF la = 9.0 AND rtime = 5.921979166666667 AND rrexp = 426.0 THEN defect = False,"[0.045049334500574, 0.049986649165285536, 0.23224682232947774]",True
openstack,IF la = 70.0 AND nd = 8.0 AND ns = 1.0 AND ent = 0.9477984884030572 AND nrev = 22.0 AND self = 0.0 AND age = 0.0496715856481481 AND app = 2.0 AND rrexp = 1942.0 AND rsawr = 0.3626779124934106 THEN defect = True,"[0.012069963037048409, 0.08550593276826036, 0.0180896231475855, 0.06205078767799536, 2.1119925649537667, 0.0009339256458811051, 0.1340755975349102, 0.1940453602741266, 0.4065046202268769, 0.0016529496753806571]",IF la = 70.0 AND nd = 8.0 AND ns = 1.0 AND ent = 0.9477984884030572 AND nrev = 22.0 AND self = 0.0 AND age = 0.0496715856481481 AND app = 2.0 AND rrexp = 1942.0 AND rsawr = 0.3626779124934106 THEN defect = True,"[0.012069963037048409, 0.08550593276826036, 0.0180896231475855, 0.06205078767799536, 2.1119925649537667, 0.0009339256458811051, 0.1340755975349102, 0.1940453602741266, 0.4065046202268769, 0.0016529496753806571]",True
