dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,IF ns = 1.0 AND nrev = 6.0 AND self = 0.0 AND ndev = 123.0 AND app = 7.0 AND rsawr = 0.3890469416785206 THEN defect = False,"[0.007391944356495515, 0.019979344148669042, 0.0002226070321557927, 0.019561618026264115, 0.019921936483078752, 0.0045986536004238585]",IF ns = 1.0 AND nrev = 6.0 AND self = 0.0 AND ndev = 123.0 AND app = 7.0 AND rsawr = 0.3890469416785206 THEN defect = False,"[0.007391944356495515, 0.019979344148669042, 0.0002226070321557927, 0.019561618026264115, 0.019921936483078752, 0.0045986536004238585]",True
openstack,IF la = 89.0 AND ns = 1.0 AND asawr = 0.2359550561797752 AND rsawr = 0.8202247191011236 THEN defect = False,"[0.08391308467198541, 0.006937699367335881, 0.00573569071334532, 0.014203296452587893]",IF la = 89.0 AND ns = 1.0 AND asawr = 0.2359550561797752 AND rsawr = 0.8202247191011236 THEN defect = False,"[0.08391308467198541, 0.006937699367335881, 0.00573569071334532, 0.014203296452587893]",True
openstack,IF la = 68.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND self = 0.0 AND age = 6.211684027777778 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 THEN defect = False,"[0.013968509212245407, 0.08134920402015268, 0.012875398163014324, 0.14061641053985113, 0.06571587056118006, 0.03366930401091849, 0.0008750000479631126, 0.003497607450663054, 0.026967054062306487, 0.01458054481156978]",IF la = 68.0 AND nd = 1.0 AND ns = 1.0 AND ent = 0.6385146263620961 AND nrev = 7.0 AND rtime = 55.61387731481482 AND self = 0.0 AND age = 6.211684027777778 AND rrexp = 1309.0 AND asawr = 0.0490492269415319 THEN defect = False,"[0.013968509212245407, 0.08134920402015268, 0.012875398163014324, 0.14061641053985113, 0.06571587056118006, 0.03366930401091849, 0.0008750000479631126, 0.003497607450663054, 0.026967054062306487, 0.01458054481156978]",True
openstack,IF la = 97.0 AND nd = 2.0 AND ns = 1.0 AND nrev = 4.0 AND rtime = 70.74902777777778 AND self = 0.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 AND rsawr = 0.4072494669509595 THEN defect = False,"[0.08635808109080244, 0.004860846959418268, 0.00796310814876051, 0.025502781133436656, 0.015741535653705795, 0.00017089949632463684, 0.011519830194465612, 0.016337964806716627, 0.035611643340816956, 0.04403294121670115, 0.01505041025513492]",IF la = 97.0 AND nd = 2.0 AND ns = 1.0 AND nrev = 4.0 AND rtime = 70.74902777777778 AND self = 0.0 AND ndev = 20.0 AND age = 3.5027256944444445 AND app = 4.0 AND rrexp = 2777.0 AND rsawr = 0.4072494669509595 THEN defect = False,"[0.08635808109080244, 0.004860846959418268, 0.00796310814876051, 0.025502781133436656, 0.015741535653705795, 0.00017089949632463684, 0.011519830194465612, 0.016337964806716627, 0.035611643340816956, 0.04403294121670115, 0.01505041025513492]",True
openstack,IF la = 37.0 AND ns = 1.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND rtime = 8.346678240740742 AND self = 0.0 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 THEN defect = False,"[0.009316694056324196, 0.01006071557829273, 0.07058707468504508, 0.08610122542755562, 0.02911338672438433, 0.0005082010895421263, 0.027450688206117776, 0.019675687695380476, 0.014586004110351497, 0.00623547421550029, 0.024037724183363026]",IF la = 37.0 AND ns = 1.0 AND ent = 0.8191730734986549 AND nrev = 8.0 AND rtime = 8.346678240740742 AND self = 0.0 AND ndev = 77.0 AND age = 3.550410879629629 AND app = 2.0 AND rrexp = 456.0 AND asawr = 0.0023070097604259 THEN defect = False,"[0.009316694056324196, 0.01006071557829273, 0.07058707468504508, 0.08610122542755562, 0.02911338672438433, 0.0005082010895421263, 0.027450688206117776, 0.019675687695380476, 0.014586004110351497, 0.00623547421550029, 0.024037724183363026]",True
openstack,IF la = 70.0 AND ns = 1.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND self = 0.0 AND age = 0.2543287037037037 AND app = 2.0 AND rrexp = 791.0 AND rsawr = 0.8367346938775511 THEN defect = False,"[0.041248803183225394, 0.008632276095304404, 0.11146376233438787, 0.0030921825368568534, 0.0005375661775178742, 0.034330810995816134, 0.018544037685715012, 0.0311161287764844, 0.05539721650802676]",IF la = 70.0 AND ns = 1.0 AND ent = 0.2525307715161392 AND nrev = 1.0 AND self = 0.0 AND age = 0.2543287037037037 AND app = 2.0 AND rrexp = 791.0 AND rsawr = 0.8367346938775511 THEN defect = False,"[0.041248803183225394, 0.008632276095304404, 0.11146376233438787, 0.0030921825368568534, 0.0005375661775178742, 0.034330810995816134, 0.018544037685715012, 0.0311161287764844, 0.05539721650802676]",True
openstack,IF ns = 1.0 AND ent = 0.9602297178607612 AND self = 0.0 AND age = 3.8489930555555554 AND app = 2.0 AND rrexp = 424.0 AND asawr = 0.7671957671957672 THEN defect = False,"[0.005285582290525781, 0.021584395098761887, 0.0003419312252663076, 0.006651058574316266, 0.006848943363729631, 0.0034294974178919802, 0.02244484457471117]",IF ns = 1.0 AND ent = 0.9602297178607612 AND self = 0.0 AND age = 3.8489930555555554 AND app = 2.0 AND rrexp = 424.0 AND asawr = 0.7671957671957672 THEN defect = False,"[0.005285582290525781, 0.021584395098761887, 0.0003419312252663076, 0.006651058574316266, 0.006848943363729631, 0.0034294974178919802, 0.02244484457471117]",True
openstack,IF la = 121.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND self = 0.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942 THEN defect = True,"[0.22246866056288128, 0.0071585863230575345, 0.013060848002060083, 0.11395105813215195, 0.02863623292591001, 0.00012089949203073047, 0.017767053261923137, 0.006909248180309077, 0.028662027612772364, 0.04356493966690323, 0.09944668993581217]",IF la = 121.0 AND nd = 2.0 AND ns = 1.0 AND ent = 0.7585227812799078 AND nrev = 2.0 AND self = 0.0 AND age = 4.983553240740741 AND app = 2.0 AND rrexp = 812.0 AND asawr = 0.0574162679425837 AND rsawr = 0.8732057416267942 THEN defect = True,"[0.22246866056288128, 0.0071585863230575345, 0.013060848002060083, 0.11395105813215195, 0.02863623292591001, 0.00012089949203073047, 0.017767053261923137, 0.006909248180309077, 0.028662027612772364, 0.04356493966690323, 0.09944668993581217]",True
openstack,IF la = 51.0 AND ns = 1.0 AND ent = 0.3966277727783788 AND rtime = 21.98613425925926 AND self = 0.0 AND ndev = 25.0 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 AND rsawr = 0.5031011873117136 THEN defect = False,"[0.044786441261458095, 0.014248017369609442, 0.11117996799126559, 0.01722585606848952, 0.0006656445959379198, 0.004790127897940692, 0.0800188398254977, 0.04037294966175978, 0.03643511646712796, 0.007524255181997432]",IF la = 51.0 AND ns = 1.0 AND ent = 0.3966277727783788 AND rtime = 21.98613425925926 AND self = 0.0 AND ndev = 25.0 AND app = 6.0 AND rrexp = 3288.0 AND asawr = 0.0494417862838915 AND rsawr = 0.5031011873117136 THEN defect = False,"[0.044786441261458095, 0.014248017369609442, 0.11117996799126559, 0.01722585606848952, 0.0006656445959379198, 0.004790127897940692, 0.0800188398254977, 0.04037294966175978, 0.03643511646712796, 0.007524255181997432]",True
openstack,IF nd = 1.0 AND ns = 1.0 AND self = 0.0 AND ndev = 4.0 AND app = 4.0 AND asawr = 0.1968911917098445 THEN defect = False,"[0.04193543101611794, 0.0041805560017382955, 0.0001632275030715391, 0.0038155847060261294, 0.00623291352423621, 0.014906062334284797]",IF nd = 1.0 AND ns = 1.0 AND self = 0.0 AND ndev = 4.0 AND app = 4.0 AND asawr = 0.1968911917098445 THEN defect = False,"[0.04193543101611794, 0.0041805560017382955, 0.0001632275030715391, 0.0038155847060261294, 0.00623291352423621, 0.014906062334284797]",True
