dataset,predrule0,predimprt0,predrule1,predimprt1,same
openstack,"{'2': 0.007391944356495515, '4': 0.019979344148669042, '6': 0.0002226070321557927, '7': 0.019561618026264115, '9': 0.019921936483078752, '12': 0.0045986536004238585, '0': 0.020288779641959992, '1': 0.01115199706610838, '3': 0.005184546334239712, '5': 0.014582432507359045, '8': 0.009409548088697192, '10': 0.004212866212728841, '11': 0.019512592699775268}","[0.007391944356495515, 0.019979344148669042, 0.0002226070321557927, 0.019561618026264115, 0.019921936483078752, 0.0045986536004238585]","{'2': 0.007391944356495515, '4': 0.019979344148669042, '6': 0.0002226070321557927, '7': 0.019561618026264115, '9': 0.019921936483078752, '12': 0.0045986536004238585, '0': 0.020288779641959992, '1': 0.01115199706610838, '3': 0.005184546334239712, '5': 0.014582432507359045, '8': 0.009409548088697192, '10': 0.004212866212728841, '11': 0.019512592699775268}","[0.007391944356495515, 0.019979344148669042, 0.0002226070321557927, 0.019561618026264115, 0.019921936483078752, 0.0045986536004238585]",True
openstack,"{'0': 0.08391308467198541, '2': 0.006937699367335881, '11': 0.00573569071334532, '12': 0.014203296452587893, '1': 0.006929257026567939, '3': 0.04941801578712329, '4': 0.02584896772459615, '5': 0.02328203688492067, '6': 1.0990866576321423e-05, '7': 0.010743808157512831, '8': 0.021605978701336424, '9': 0.015009814955847104, '10': 0.003940897762959139}","[0.08391308467198541, 0.006937699367335881, 0.00573569071334532, 0.014203296452587893]","{'0': 0.08391308467198541, '2': 0.006937699367335881, '11': 0.00573569071334532, '12': 0.014203296452587893, '1': 0.006929257026567939, '3': 0.04941801578712329, '4': 0.02584896772459615, '5': 0.02328203688492067, '6': 1.0990866576321423e-05, '7': 0.010743808157512831, '8': 0.021605978701336424, '9': 0.015009814955847104, '10': 0.003940897762959139}","[0.08391308467198541, 0.006937699367335881, 0.00573569071334532, 0.014203296452587893]",True
openstack,"{'0': 0.013968509212245407, '1': 0.08134920402015268, '2': 0.012875398163014324, '3': 0.14061641053985113, '4': 0.06571587056118006, '5': 0.03366930401091849, '6': 0.0008750000479631126, '8': 0.003497607450663054, '10': 0.026967054062306487, '11': 0.01458054481156978, '7': 0.03279379833904386, '9': 0.05069498866449067, '12': 0.02329273938339611}","[0.013968509212245407, 0.08134920402015268, 0.012875398163014324, 0.14061641053985113, 0.06571587056118006, 0.03366930401091849, 0.0008750000479631126, 0.003497607450663054, 0.026967054062306487, 0.01458054481156978]","{'0': 0.013968509212245407, '1': 0.08134920402015268, '2': 0.012875398163014324, '3': 0.14061641053985113, '4': 0.06571587056118006, '5': 0.03366930401091849, '6': 0.0008750000479631126, '8': 0.003497607450663054, '10': 0.026967054062306487, '11': 0.01458054481156978, '7': 0.03279379833904386, '9': 0.05069498866449067, '12': 0.02329273938339611}","[0.013968509212245407, 0.08134920402015268, 0.012875398163014324, 0.14061641053985113, 0.06571587056118006, 0.03366930401091849, 0.0008750000479631126, 0.003497607450663054, 0.026967054062306487, 0.01458054481156978]",True
openstack,"{'0': 0.08635808109080244, '1': 0.004860846959418268, '2': 0.00796310814876051, '4': 0.025502781133436656, '5': 0.015741535653705795, '6': 0.00017089949632463684, '7': 0.011519830194465612, '8': 0.016337964806716627, '9': 0.035611643340816956, '10': 0.04403294121670115, '12': 0.01505041025513492, '3': 0.005577114652005548, '11': 0.003572896372043033}","[0.08635808109080244, 0.004860846959418268, 0.00796310814876051, 0.025502781133436656, 0.015741535653705795, 0.00017089949632463684, 0.011519830194465612, 0.016337964806716627, 0.035611643340816956, 0.04403294121670115, 0.01505041025513492]","{'0': 0.08635808109080244, '1': 0.004860846959418268, '2': 0.00796310814876051, '4': 0.025502781133436656, '5': 0.015741535653705795, '6': 0.00017089949632463684, '7': 0.011519830194465612, '8': 0.016337964806716627, '9': 0.035611643340816956, '10': 0.04403294121670115, '12': 0.01505041025513492, '3': 0.005577114652005548, '11': 0.003572896372043033}","[0.08635808109080244, 0.004860846959418268, 0.00796310814876051, 0.025502781133436656, 0.015741535653705795, 0.00017089949632463684, 0.011519830194465612, 0.016337964806716627, 0.035611643340816956, 0.04403294121670115, 0.01505041025513492]",True
openstack,"{'0': 0.009316694056324196, '2': 0.01006071557829273, '3': 0.07058707468504508, '4': 0.08610122542755562, '5': 0.02911338672438433, '6': 0.0005082010895421263, '7': 0.027450688206117776, '8': 0.019675687695380476, '9': 0.014586004110351497, '10': 0.00623547421550029, '11': 0.024037724183363026, '1': 0.016762146950313764, '12': 0.026910692157180165}","[0.009316694056324196, 0.01006071557829273, 0.07058707468504508, 0.08610122542755562, 0.02911338672438433, 0.0005082010895421263, 0.027450688206117776, 0.019675687695380476, 0.014586004110351497, 0.00623547421550029, 0.024037724183363026]","{'0': 0.009316694056324196, '2': 0.01006071557829273, '3': 0.07058707468504508, '4': 0.08610122542755562, '5': 0.02911338672438433, '6': 0.0005082010895421263, '7': 0.027450688206117776, '8': 0.019675687695380476, '9': 0.014586004110351497, '10': 0.00623547421550029, '11': 0.024037724183363026, '1': 0.016762146950313764, '12': 0.026910692157180165}","[0.009316694056324196, 0.01006071557829273, 0.07058707468504508, 0.08610122542755562, 0.02911338672438433, 0.0005082010895421263, 0.027450688206117776, 0.019675687695380476, 0.014586004110351497, 0.00623547421550029, 0.024037724183363026]",True
openstack,"{'0': 0.041248803183225394, '2': 0.008632276095304404, '3': 0.11146376233438787, '4': 0.0030921825368568534, '6': 0.0005375661775178742, '8': 0.034330810995816134, '9': 0.018544037685715012, '10': 0.0311161287764844, '12': 0.05539721650802676, '1': 0.02831879857196327, '5': 0.030578191298809544, '7': 0.005571308581020276, '11': 0.01922779226471903}","[0.041248803183225394, 0.008632276095304404, 0.11146376233438787, 0.0030921825368568534, 0.0005375661775178742, 0.034330810995816134, 0.018544037685715012, 0.0311161287764844, 0.05539721650802676]","{'0': 0.041248803183225394, '2': 0.008632276095304404, '3': 0.11146376233438787, '4': 0.0030921825368568534, '6': 0.0005375661775178742, '8': 0.034330810995816134, '9': 0.018544037685715012, '10': 0.0311161287764844, '12': 0.05539721650802676, '1': 0.02831879857196327, '5': 0.030578191298809544, '7': 0.005571308581020276, '11': 0.01922779226471903}","[0.041248803183225394, 0.008632276095304404, 0.11146376233438787, 0.0030921825368568534, 0.0005375661775178742, 0.034330810995816134, 0.018544037685715012, 0.0311161287764844, 0.05539721650802676]",True
openstack,"{'2': 0.005285582290525781, '3': 0.021584395098761887, '6': 0.0003419312252663076, '8': 0.006651058574316266, '9': 0.006848943363729631, '10': 0.0034294974178919802, '11': 0.02244484457471117, '0': 0.05009537812708004, '1': 0.019663760182156695, '4': 0.04023625206078577, '5': 0.038557545339681386, '7': 0.018964023494881986, '12': 0.011735980591874978}","[0.005285582290525781, 0.021584395098761887, 0.0003419312252663076, 0.006651058574316266, 0.006848943363729631, 0.0034294974178919802, 0.02244484457471117]","{'2': 0.005285582290525781, '3': 0.021584395098761887, '6': 0.0003419312252663076, '8': 0.006651058574316266, '9': 0.006848943363729631, '10': 0.0034294974178919802, '11': 0.02244484457471117, '0': 0.05009537812708004, '1': 0.019663760182156695, '4': 0.04023625206078577, '5': 0.038557545339681386, '7': 0.018964023494881986, '12': 0.011735980591874978}","[0.005285582290525781, 0.021584395098761887, 0.0003419312252663076, 0.006651058574316266, 0.006848943363729631, 0.0034294974178919802, 0.02244484457471117]",True
openstack,"{'0': 0.22246866056288128, '1': 0.0071585863230575345, '2': 0.013060848002060083, '3': 0.11395105813215195, '4': 0.02863623292591001, '6': 0.00012089949203073047, '8': 0.017767053261923137, '9': 0.006909248180309077, '10': 0.028662027612772364, '11': 0.04356493966690323, '12': 0.09944668993581217, '5': 0.05407581206858594, '7': 0.007003716273611644}","[0.22246866056288128, 0.0071585863230575345, 0.013060848002060083, 0.11395105813215195, 0.02863623292591001, 0.00012089949203073047, 0.017767053261923137, 0.006909248180309077, 0.028662027612772364, 0.04356493966690323, 0.09944668993581217]","{'0': 0.22246866056288128, '1': 0.0071585863230575345, '2': 0.013060848002060083, '3': 0.11395105813215195, '4': 0.02863623292591001, '6': 0.00012089949203073047, '8': 0.017767053261923137, '9': 0.006909248180309077, '10': 0.028662027612772364, '11': 0.04356493966690323, '12': 0.09944668993581217, '5': 0.05407581206858594, '7': 0.007003716273611644}","[0.22246866056288128, 0.0071585863230575345, 0.013060848002060083, 0.11395105813215195, 0.02863623292591001, 0.00012089949203073047, 0.017767053261923137, 0.006909248180309077, 0.028662027612772364, 0.04356493966690323, 0.09944668993581217]",True
openstack,"{'0': 0.044786441261458095, '2': 0.014248017369609442, '3': 0.11117996799126559, '5': 0.01722585606848952, '6': 0.0006656445959379198, '7': 0.004790127897940692, '9': 0.0800188398254977, '10': 0.04037294966175978, '11': 0.03643511646712796, '12': 0.007524255181997432, '1': 0.06381436435385694, '4': 0.006047557779893396, '8': 5.192342843656661e-05}","[0.044786441261458095, 0.014248017369609442, 0.11117996799126559, 0.01722585606848952, 0.0006656445959379198, 0.004790127897940692, 0.0800188398254977, 0.04037294966175978, 0.03643511646712796, 0.007524255181997432]","{'0': 0.044786441261458095, '2': 0.014248017369609442, '3': 0.11117996799126559, '5': 0.01722585606848952, '6': 0.0006656445959379198, '7': 0.004790127897940692, '9': 0.0800188398254977, '10': 0.04037294966175978, '11': 0.03643511646712796, '12': 0.007524255181997432, '1': 0.06381436435385694, '4': 0.006047557779893396, '8': 5.192342843656661e-05}","[0.044786441261458095, 0.014248017369609442, 0.11117996799126559, 0.01722585606848952, 0.0006656445959379198, 0.004790127897940692, 0.0800188398254977, 0.04037294966175978, 0.03643511646712796, 0.007524255181997432]",True
openstack,"{'1': 0.04193543101611794, '2': 0.0041805560017382955, '6': 0.0001632275030715391, '7': 0.0038155847060261294, '9': 0.00623291352423621, '11': 0.014906062334284797, '0': 0.0776041330615044, '3': 0.06810612074456003, '4': 0.04220453001522401, '5': 0.016266826640348883, '8': 0.008933089231104531, '10': 0.0021438082784698055, '12': 0.0019752888629955122}","[0.04193543101611794, 0.0041805560017382955, 0.0001632275030715391, 0.0038155847060261294, 0.00623291352423621, 0.014906062334284797]","{'1': 0.04193543101611794, '2': 0.0041805560017382955, '6': 0.0001632275030715391, '7': 0.0038155847060261294, '9': 0.00623291352423621, '11': 0.014906062334284797, '0': 0.0776041330615044, '3': 0.06810612074456003, '4': 0.04220453001522401, '5': 0.016266826640348883, '8': 0.008933089231104531, '10': 0.0021438082784698055, '12': 0.0019752888629955122}","[0.04193543101611794, 0.0041805560017382955, 0.0001632275030715391, 0.0038155847060261294, 0.00623291352423621, 0.014906062334284797]",True
