dataset,rtimeinst,rtime
openstack,0.314321,0.314321
openstack,0.391988,0.391988
openstack,0.254467,0.254467
openstack,0.328204,0.328204
openstack,0.260359,0.260359
openstack,0.179064,0.179064
openstack,0.231274,0.231274
openstack,0.302075,0.302075
openstack,0.400436,0.400436
openstack,0.215453,0.215453
openstack,0.21363,0.21363
openstack,0.195643,0.195643
openstack,0.372065,0.372065
openstack,0.211973,0.211973
openstack,0.289263,0.289263
openstack,0.235472,0.235472
openstack,0.322512,0.322512
openstack,0.275596,0.275596
openstack,0.357095,0.357095
openstack,0.268665,0.268665
openstack,0.373574,0.373574
openstack,0.273426,0.273426
openstack,0.343937,0.343937
openstack,0.224135,0.224135
openstack,0.361642,0.361642
openstack,0.347607,0.347607
openstack,0.178515,0.178515
openstack,1.466844,1.466844
openstack,0.353695,0.353695
openstack,0.244208,0.244208
openstack,0.238943,0.238943
openstack,0.294434,0.294434
openstack,0.376999,0.376999
openstack,0.271734,0.271734
openstack,0.24012,0.24012
openstack,0.332585,0.332585
openstack,0.280374,0.280374
openstack,0.292851,0.292851
openstack,0.344914,0.344914
openstack,0.379927,0.379927
openstack,0.351166,0.351166
openstack,0.305494,0.305494
openstack,0.420824,0.420824
openstack,0.272037,0.272037
openstack,0.202879,0.202879
openstack,0.252775,0.252775
openstack,0.307387,0.307387
openstack,0.304947,0.304947
openstack,0.250856,0.250856
openstack,0.241795,0.241795
openstack,0.223379,0.223379
openstack,0.254587,0.254587
openstack,0.320415,0.320415
openstack,0.174174,0.174174
openstack,0.224619,0.224619
openstack,1.823788,1.823788
openstack,0.266289,0.266289
openstack,0.20612,0.20612
openstack,0.43303,0.43303
openstack,0.324298,0.324298
openstack,0.252463,0.252463
openstack,0.382602,0.382602
openstack,0.195891,0.195891
openstack,1.741487,1.741487
openstack,0.241886,0.241886
openstack,0.338613,0.338613
openstack,0.208094,0.208094
openstack,0.357183,0.357183
openstack,0.169578,0.169578
openstack,0.332688,0.332688
openstack,0.275825,0.275825
openstack,0.340792,0.340792
openstack,0.332012,0.332012
openstack,0.189201,0.189201
openstack,0.236303,0.236303
openstack,0.356173,0.356173
openstack,0.360195,0.360195
openstack,0.35285,0.35285
openstack,0.18756,0.18756
openstack,0.188511,0.188511
openstack,0.284278,0.284278
openstack,0.361535,0.361535
openstack,0.188333,0.188333
openstack,0.328902,0.328902
openstack,0.579725,0.579725
openstack,0.295768,0.295768
openstack,0.352473,0.352473
openstack,0.331385,0.331385
openstack,0.25892,0.25892
openstack,0.277241,0.277241
openstack,0.272346,0.272346
openstack,0.348961,0.348961
openstack,0.234226,0.234226
openstack,0.342042,0.342042
openstack,0.229799,0.229799
openstack,0.266634,0.266634
openstack,0.321767,0.321767
openstack,0.253091,0.253091
openstack,0.290233,0.290233
openstack,0.289391,0.289391
openstack,0.335466,0.335466
openstack,0.242943,0.242943
openstack,0.220615,0.220615
openstack,0.357444,0.357444
openstack,0.352078,0.352078
openstack,1.062337,1.062337
openstack,0.243866,0.243866
openstack,0.258014,0.258014
openstack,0.237756,0.237756
openstack,1.372727,1.372727
openstack,0.267031,0.267031
openstack,0.377171,0.377171
openstack,0.305119,0.305119
openstack,0.423161,0.423161
openstack,0.252145,0.252145
openstack,0.49052,0.49052
openstack,0.250593,0.250593
openstack,0.205199,0.205199
openstack,0.223418,0.223418
openstack,0.238054,0.238054
openstack,0.275364,0.275364
openstack,0.2822,0.2822
openstack,0.196019,0.196019
openstack,0.292321,0.292321
openstack,0.229061,0.229061
openstack,0.342555,0.342555
openstack,0.378188,0.378188
openstack,0.283224,0.283224
openstack,0.233805,0.233805
openstack,0.273946,0.273946
openstack,0.376207,0.376207
openstack,0.472787,0.472787
openstack,0.258496,0.258496
openstack,0.231009,0.231009
openstack,0.215407,0.215407
openstack,0.371331,0.371331
openstack,0.309416,0.309416
openstack,0.404805,0.404805
openstack,0.37063,0.37063
openstack,0.278437,0.278437
openstack,0.237946,0.237946
openstack,0.277197,0.277197
openstack,0.243525,0.243525
openstack,0.191795,0.191795
openstack,0.275156,0.275156
openstack,0.353354,0.353354
openstack,0.227732,0.227732
openstack,0.364176,0.364176
openstack,0.366729,0.366729
openstack,0.303207,0.303207
openstack,0.296669,0.296669
openstack,0.226072,0.226072
openstack,0.406693,0.406693
openstack,0.297057,0.297057
openstack,0.22263,0.22263
openstack,0.302037,0.302037
openstack,0.303841,0.303841
openstack,0.249896,0.249896
openstack,0.316488,0.316488
openstack,0.977133,0.977133
openstack,0.300614,0.300614
openstack,0.277549,0.277549
openstack,0.261685,0.261685
openstack,0.269898,0.269898
openstack,0.241188,0.241188
openstack,0.254759,0.254759
openstack,0.236429,0.236429
openstack,0.243847,0.243847
openstack,0.235159,0.235159
openstack,0.286768,0.286768
openstack,0.245163,0.245163
openstack,0.29439,0.29439
openstack,0.360433,0.360433
openstack,0.252123,0.252123
openstack,0.326373,0.326373
openstack,0.293557,0.293557
openstack,0.4787,0.4787
openstack,0.243106,0.243106
openstack,0.561453,0.561453
openstack,0.290427,0.290427
openstack,0.441804,0.441804
openstack,0.217557,0.217557
openstack,0.261739,0.261739
openstack,0.337455,0.337455
openstack,0.318323,0.318323
openstack,0.195672,0.195672
openstack,0.378054,0.378054
openstack,0.185978,0.185978
openstack,0.270311,0.270311
openstack,0.289148,0.289148
openstack,0.269952,0.269952
openstack,0.305996,0.305996
openstack,0.329144,0.329144
openstack,0.166541,0.166541
openstack,0.30737,0.30737
openstack,0.302393,0.302393
openstack,0.212607,0.212607
openstack,0.211097,0.211097
openstack,0.275714,0.275714
openstack,0.401575,0.401575
openstack,0.310813,0.310813
openstack,0.255257,0.255257
openstack,0.27095,0.27095
openstack,0.349162,0.349162
openstack,0.232261,0.232261
openstack,1.029431,1.029431
openstack,0.282607,0.282607
openstack,0.338962,0.338962
openstack,0.303277,0.303277
openstack,0.243977,0.243977
openstack,0.228535,0.228535
openstack,0.204297,0.204297
openstack,0.236758,0.236758
openstack,0.369668,0.369668
openstack,1.300004,1.300004
openstack,0.341801,0.341801
openstack,0.234261,0.234261
openstack,0.332886,0.332886
openstack,0.32319,0.32319
openstack,0.194723,0.194723
openstack,0.238477,0.238477
openstack,0.219232,0.219232
openstack,0.210931,0.210931
openstack,0.455188,0.455188
openstack,0.387487,0.387487
openstack,0.235731,0.235731
openstack,0.316129,0.316129
openstack,0.191153,0.191153
openstack,0.346397,0.346397
openstack,0.365067,0.365067
openstack,0.311338,0.311338
openstack,0.249562,0.249562
openstack,0.246483,0.246483
openstack,0.265598,0.265598
openstack,0.261855,0.261855
