dataset,axprtimeinst,axprtime,cxprtimeinst,cxprtime
openstack,0.00641,0.002137,0.010937,0.000781
openstack,0.004328,0.002164,0.004255,0.000709
openstack,0.013187,0.001884,0.008882,0.000888
openstack,0.008242,0.002061,0.010651,0.000819
openstack,0.016822,0.002403,0.012078,0.000929
openstack,0.002274,0.002274,0.003954,0.000659
openstack,0.004315,0.002158,0.004173,0.000696
openstack,0.006152,0.002051,0.005841,0.00073
openstack,0.002254,0.002254,0.004487,0.000641
openstack,0.002235,0.002235,0.003265,0.000653
openstack,0.00229,0.00229,0.005121,0.00064
openstack,0.002319,0.002319,0.003934,0.000656
openstack,0.006199,0.002066,0.00666,0.000833
openstack,0.002316,0.002316,0.003954,0.000659
openstack,0.002434,0.002434,0.003985,0.000664
openstack,0.002267,0.002267,0.003861,0.000643
openstack,0.018843,0.001884,0.018723,0.000936
openstack,0.002291,0.002291,0.003899,0.00065
openstack,0.002247,0.002247,0.003906,0.000651
openstack,0.025217,0.001681,0.018584,0.001239
openstack,0.004247,0.002124,0.004063,0.000677
openstack,0.01287,0.001839,0.009668,0.000879
openstack,0.006067,0.002022,0.006201,0.000775
openstack,0.004244,0.002122,0.005003,0.000715
openstack,0.006018,0.002006,0.004863,0.000695
openstack,0.002222,0.002222,0.003875,0.000646
openstack,0.004202,0.002101,0.00576,0.00072
openstack,0.002274,0.002274,0.004398,0.000628
openstack,0.004183,0.002092,0.004064,0.000677
openstack,0.002285,0.002285,0.004576,0.000654
openstack,0.006185,0.002062,0.004564,0.000761
openstack,0.002303,0.002303,0.003932,0.000655
openstack,0.014538,0.001817,0.00767,0.001096
openstack,0.004162,0.002081,0.004288,0.000715
openstack,0.002233,0.002233,0.003343,0.000669
openstack,0.022221,0.001709,0.019532,0.001149
openstack,0.00226,0.00226,0.003375,0.000675
openstack,0.014921,0.001865,0.017883,0.000941
openstack,0.00228,0.00228,0.003844,0.000641
openstack,0.002344,0.002344,0.004074,0.000679
openstack,0.035507,0.001614,0.025411,0.001059
openstack,0.002236,0.002236,0.003818,0.000636
openstack,0.007892,0.001973,0.009543,0.000954
openstack,0.005928,0.001976,0.004445,0.000741
openstack,0.002291,0.002291,0.003836,0.000639
openstack,0.007723,0.001931,0.004412,0.000735
openstack,0.002283,0.002283,0.004452,0.000636
openstack,0.002263,0.002263,0.003812,0.000635
openstack,0.002228,0.002228,0.00325,0.00065
openstack,0.002236,0.002236,0.003895,0.000649
openstack,0.002277,0.002277,0.003903,0.000651
