dataset,axprtimeinst,axprtime,cxprtimeinst,cxprtime
openstack,0.976366,0.033668,10.879251,0.241761
openstack,1.904282,0.038086,20.518483,0.250225
openstack,0.172399,0.0431,0.772578,0.077258
openstack,0.439593,0.043959,4.382425,0.168555
openstack,0.345192,0.043149,2.570741,0.160671
openstack,0.27717,0.039596,2.353965,0.117698
openstack,6.338621,0.171314,24.60399,0.410066
openstack,0.072154,0.036077,0.403886,0.036717
openstack,0.258157,0.051631,1.284608,0.098816
openstack,4.357357,0.060519,35.23691,0.496295
openstack,0.818638,0.062972,6.939336,0.204098
openstack,8.422042,0.123854,49.596714,0.500977
openstack,1.27131,0.066911,7.862447,0.302402
openstack,7.18364,0.140856,45.299815,0.854713
openstack,0.698606,0.043663,11.468395,0.424755
openstack,1.157621,0.096468,8.040211,0.349574
openstack,0.342924,0.026379,3.914693,0.12628
openstack,4.593557,0.183742,32.064261,0.890674
openstack,0.60763,0.043402,6.51733,0.210236
openstack,0.633303,0.037253,7.026495,0.226661
openstack,1.708032,0.044948,12.244261,0.255089
openstack,0.36297,0.036297,3.365259,0.197956
openstack,2.438753,0.090324,15.744282,0.524809
openstack,0.333808,0.030346,3.749317,0.163014
openstack,2.242608,0.044852,19.48193,0.347892
openstack,1.315585,0.046985,12.598999,0.286341
openstack,5.608248,0.080118,36.28922,0.511116
openstack,0.778585,0.051906,8.673241,0.309759
openstack,3.349141,0.042394,30.382006,0.330239
openstack,2.901202,0.061728,26.33052,0.365702
openstack,9.021,0.173481,51.752165,0.690029
openstack,1.030465,0.114496,5.067085,0.361935
openstack,0.160495,0.053498,0.510143,0.046377
openstack,0.975681,0.033644,10.025357,0.323399
openstack,3.84509,0.098592,15.904962,0.311862
openstack,0.076025,0.038013,0.442571,0.040234
openstack,3.601947,0.078303,36.667159,0.621477
openstack,0.024504,0.024504,0.433302,0.036108
openstack,1.833396,0.070515,13.929966,0.273137
openstack,0.258855,0.043142,1.457534,0.097169
openstack,0.097946,0.024486,0.685716,0.045714
openstack,0.435694,0.145231,0.99484,0.110538
openstack,0.594278,0.037142,8.541298,0.213532
openstack,7.400811,0.125437,46.399808,0.653518
openstack,0.884045,0.07367,4.895698,0.181322
openstack,3.997486,0.063452,33.08832,0.376004
openstack,2.528377,0.068335,17.480183,0.388449
openstack,4.905157,0.083138,41.857606,0.536636
openstack,10.026956,0.141225,73.465563,0.864301
openstack,0.470944,0.033639,5.173056,0.272266
openstack,3.427123,0.076158,36.089143,0.555218
openstack,2.430338,0.065685,24.405593,0.581086
openstack,0.17807,0.044518,0.794916,0.061147
openstack,1.671455,0.059695,14.333266,0.292516
openstack,0.306076,0.102025,1.579622,0.121509
openstack,3.9941,0.071323,33.948278,0.446688
openstack,3.365661,0.056094,32.145224,0.34197
openstack,0.533835,0.026692,6.63566,0.161845
openstack,0.16047,0.040117,0.580895,0.05809
openstack,0.284621,0.031625,2.664128,0.102466
openstack,1.766742,0.051963,13.356161,0.284174
openstack,0.173119,0.04328,0.654324,0.059484
openstack,1.677579,0.050836,15.545686,0.2253
openstack,0.108484,0.036161,0.519745,0.043312
openstack,0.012082,0.012082,0.283439,0.021803
openstack,0.257649,0.023423,2.764415,0.115184
openstack,1.747545,0.048543,23.061155,0.349411
openstack,0.265876,0.033234,1.216453,0.093573
openstack,0.54519,0.036346,7.289034,0.202473
openstack,1.210335,0.075646,7.61721,0.29297
openstack,6.244456,0.312223,12.951669,0.46256
openstack,0.139001,0.046334,0.360323,0.036032
openstack,0.412339,0.041234,6.681878,0.167047
openstack,0.50937,0.050937,5.988342,0.260363
openstack,4.528627,0.085446,36.456802,0.528359
openstack,3.651369,0.065203,29.977695,0.348578
openstack,1.870214,0.05195,14.861417,0.228637
openstack,2.701643,0.065894,20.113957,0.372481
openstack,0.392962,0.030228,5.086094,0.211921
openstack,10.595574,0.294321,36.284448,0.755926
openstack,6.88932,0.140598,30.709266,0.458347
openstack,0.647678,0.026987,6.056008,0.173029
openstack,11.111819,0.336722,28.222051,0.613523
openstack,3.255891,0.217059,11.798942,0.436998
openstack,0.731362,0.073136,3.921836,0.261456
openstack,1.293601,0.08085,7.449814,0.25689
openstack,4.173547,0.149055,14.493951,0.517641
openstack,0.171017,0.042754,0.684698,0.06847
openstack,3.699012,0.092475,20.498682,0.347435
openstack,1.360558,0.043889,11.813607,0.210957
openstack,10.365691,0.178719,57.982101,0.920351
openstack,0.920372,0.028762,12.584603,0.251692
