dataset,rtimeinst,rtime
openstack,0.00971,0.00971
openstack,0.011105,0.011105
openstack,0.010963,0.010963
openstack,0.011106,0.011106
openstack,0.010831,0.010831
openstack,0.010844,0.010844
openstack,0.010703,0.010703
openstack,0.01083,0.01083
openstack,0.010695,0.010695
openstack,0.01076,0.01076
openstack,0.010856,0.010856
openstack,0.010775,0.010775
openstack,0.010768,0.010768
openstack,0.010666,0.010666
openstack,0.010682,0.010682
openstack,0.010724,0.010724
openstack,0.010724,0.010724
openstack,0.010922,0.010922
openstack,0.010839,0.010839
openstack,0.010847,0.010847
openstack,0.010716,0.010716
openstack,0.010657,0.010657
openstack,0.010799,0.010799
openstack,0.010787,0.010787
openstack,0.010764,0.010764
openstack,0.010793,0.010793
openstack,0.010733,0.010733
openstack,0.010761,0.010761
openstack,0.010849,0.010849
openstack,0.010727,0.010727
openstack,0.010927,0.010927
openstack,0.010814,0.010814
openstack,0.010695,0.010695
openstack,0.010724,0.010724
openstack,0.010804,0.010804
openstack,0.010884,0.010884
openstack,0.010838,0.010838
openstack,0.010867,0.010867
openstack,0.010633,0.010633
openstack,0.010758,0.010758
openstack,0.011019,0.011019
openstack,0.010979,0.010979
openstack,0.010883,0.010883
openstack,0.010695,0.010695
openstack,0.010806,0.010806
openstack,0.010796,0.010796
openstack,0.010708,0.010708
openstack,0.010887,0.010887
openstack,0.010621,0.010621
openstack,0.010801,0.010801
openstack,0.01066,0.01066
openstack,0.010712,0.010712
openstack,0.010779,0.010779
openstack,0.01084,0.01084
openstack,0.010775,0.010775
openstack,0.010663,0.010663
openstack,0.010814,0.010814
openstack,0.010725,0.010725
openstack,0.010681,0.010681
openstack,0.010771,0.010771
openstack,0.010596,0.010596
openstack,0.010693,0.010693
openstack,0.010636,0.010636
openstack,0.010615,0.010615
openstack,0.010788,0.010788
openstack,0.010749,0.010749
openstack,0.010869,0.010869
openstack,0.010764,0.010764
openstack,0.010774,0.010774
openstack,0.0109,0.0109
openstack,0.010773,0.010773
openstack,0.0109,0.0109
openstack,0.010696,0.010696
openstack,0.010674,0.010674
openstack,0.010616,0.010616
openstack,0.010601,0.010601
openstack,0.010468,0.010468
openstack,0.01051,0.01051
openstack,0.01052,0.01052
openstack,0.01036,0.01036
openstack,0.01046,0.01046
openstack,0.010473,0.010473
openstack,0.010536,0.010536
openstack,0.01049,0.01049
openstack,0.010863,0.010863
openstack,0.010373,0.010373
openstack,0.010335,0.010335
openstack,0.010401,0.010401
openstack,0.010437,0.010437
openstack,0.010375,0.010375
openstack,0.010383,0.010383
openstack,0.010586,0.010586
openstack,0.01047,0.01047
openstack,0.010487,0.010487
openstack,0.010401,0.010401
openstack,0.0105,0.0105
openstack,0.010457,0.010457
openstack,0.010455,0.010455
openstack,0.010509,0.010509
openstack,0.010353,0.010353
openstack,0.010423,0.010423
openstack,0.010428,0.010428
openstack,0.010392,0.010392
openstack,0.010466,0.010466
openstack,0.010393,0.010393
openstack,0.010498,0.010498
openstack,0.010398,0.010398
openstack,0.010627,0.010627
openstack,0.010404,0.010404
openstack,0.010419,0.010419
openstack,0.010635,0.010635
openstack,0.01041,0.01041
openstack,0.010412,0.010412
openstack,0.010504,0.010504
openstack,0.010553,0.010553
openstack,0.010461,0.010461
openstack,0.01053,0.01053
openstack,0.010567,0.010567
openstack,0.010442,0.010442
openstack,0.010441,0.010441
openstack,0.010438,0.010438
openstack,0.010482,0.010482
openstack,0.010447,0.010447
openstack,0.010596,0.010596
openstack,0.010371,0.010371
openstack,0.010447,0.010447
openstack,0.010444,0.010444
openstack,0.01053,0.01053
openstack,0.010517,0.010517
openstack,0.010366,0.010366
openstack,0.010582,0.010582
openstack,0.010447,0.010447
openstack,0.010399,0.010399
openstack,0.010472,0.010472
openstack,0.010459,0.010459
openstack,0.010609,0.010609
openstack,0.010356,0.010356
openstack,0.010644,0.010644
openstack,0.010585,0.010585
openstack,0.010455,0.010455
openstack,0.010524,0.010524
openstack,0.01047,0.01047
openstack,0.01043,0.01043
openstack,0.010464,0.010464
openstack,0.010575,0.010575
openstack,0.010382,0.010382
openstack,0.010365,0.010365
openstack,0.010512,0.010512
openstack,0.010327,0.010327
openstack,0.010427,0.010427
openstack,0.010394,0.010394
openstack,0.010493,0.010493
openstack,0.010477,0.010477
openstack,0.010321,0.010321
