dataset,rtimeinst,rtime
openstack,0.038042,0.038042
openstack,0.0369,0.0369
openstack,0.037089,0.037089
openstack,0.03735,0.03735
openstack,0.036863,0.036863
openstack,0.036965,0.036965
openstack,0.037,0.037
openstack,0.036936,0.036936
openstack,0.037063,0.037063
openstack,0.036587,0.036587
openstack,0.036898,0.036898
openstack,0.036776,0.036776
openstack,0.036587,0.036587
openstack,0.036998,0.036998
openstack,0.037217,0.037217
openstack,0.037192,0.037192
openstack,0.037013,0.037013
openstack,0.036954,0.036954
openstack,0.037196,0.037196
openstack,0.036961,0.036961
openstack,0.037024,0.037024
openstack,0.036874,0.036874
openstack,0.036383,0.036383
openstack,0.036374,0.036374
openstack,0.036233,0.036233
openstack,0.036374,0.036374
openstack,0.036269,0.036269
openstack,0.036007,0.036007
openstack,0.036274,0.036274
openstack,0.036233,0.036233
openstack,0.036234,0.036234
openstack,0.036655,0.036655
openstack,0.037624,0.037624
openstack,0.036106,0.036106
openstack,0.036035,0.036035
openstack,0.036158,0.036158
openstack,0.035815,0.035815
openstack,0.03588,0.03588
openstack,0.036061,0.036061
openstack,0.036282,0.036282
openstack,0.036169,0.036169
openstack,0.03621,0.03621
openstack,0.036082,0.036082
openstack,0.036019,0.036019
openstack,0.03627,0.03627
openstack,0.035995,0.035995
openstack,0.03583,0.03583
openstack,0.036004,0.036004
openstack,0.036361,0.036361
openstack,0.03623,0.03623
openstack,0.036296,0.036296
openstack,0.036085,0.036085
openstack,0.036135,0.036135
openstack,0.036224,0.036224
openstack,0.03631,0.03631
openstack,0.036344,0.036344
openstack,0.036237,0.036237
openstack,0.036265,0.036265
openstack,0.036264,0.036264
openstack,0.036359,0.036359
openstack,0.036115,0.036115
openstack,0.036195,0.036195
openstack,0.0363,0.0363
openstack,0.035977,0.035977
openstack,0.036348,0.036348
openstack,0.03696,0.03696
openstack,0.036264,0.036264
openstack,0.036149,0.036149
openstack,0.034902,0.034902
openstack,0.036372,0.036372
openstack,0.036112,0.036112
openstack,0.037205,0.037205
openstack,0.036067,0.036067
openstack,0.034311,0.034311
openstack,0.03636,0.03636
openstack,0.036146,0.036146
openstack,0.03614,0.03614
openstack,0.036264,0.036264
openstack,0.036242,0.036242
openstack,0.036227,0.036227
openstack,0.034473,0.034473
openstack,0.036301,0.036301
openstack,0.034864,0.034864
openstack,0.036459,0.036459
openstack,0.036296,0.036296
openstack,0.036216,0.036216
openstack,0.03625,0.03625
openstack,0.036324,0.036324
openstack,0.036249,0.036249
openstack,0.036237,0.036237
openstack,0.034495,0.034495
openstack,0.036251,0.036251
openstack,0.036182,0.036182
openstack,0.036292,0.036292
openstack,0.036214,0.036214
openstack,0.036299,0.036299
openstack,0.037168,0.037168
openstack,0.036143,0.036143
openstack,0.036106,0.036106
openstack,0.035976,0.035976
openstack,0.035819,0.035819
openstack,0.035629,0.035629
openstack,0.03657,0.03657
openstack,0.035697,0.035697
openstack,0.035745,0.035745
openstack,0.035817,0.035817
openstack,0.035842,0.035842
openstack,0.035765,0.035765
openstack,0.035678,0.035678
openstack,0.034477,0.034477
openstack,0.035888,0.035888
openstack,0.035789,0.035789
openstack,0.035766,0.035766
openstack,0.033932,0.033932
openstack,0.035886,0.035886
openstack,0.035916,0.035916
openstack,0.036051,0.036051
openstack,0.035662,0.035662
openstack,0.035632,0.035632
openstack,0.035757,0.035757
openstack,0.035867,0.035867
openstack,0.035759,0.035759
openstack,0.035802,0.035802
openstack,0.035843,0.035843
openstack,0.035502,0.035502
openstack,0.036697,0.036697
openstack,0.035827,0.035827
openstack,0.035842,0.035842
openstack,0.035881,0.035881
openstack,0.035795,0.035795
openstack,0.035798,0.035798
openstack,0.035677,0.035677
openstack,0.035921,0.035921
openstack,0.035738,0.035738
openstack,0.035681,0.035681
openstack,0.035916,0.035916
openstack,0.035959,0.035959
openstack,0.036422,0.036422
openstack,0.036061,0.036061
openstack,0.036121,0.036121
openstack,0.036363,0.036363
openstack,0.036236,0.036236
openstack,0.03639,0.03639
openstack,0.036109,0.036109
openstack,0.036195,0.036195
openstack,0.036093,0.036093
openstack,0.03619,0.03619
openstack,0.036134,0.036134
openstack,0.036438,0.036438
openstack,0.036303,0.036303
openstack,0.036068,0.036068
openstack,0.036214,0.036214
openstack,0.036041,0.036041
openstack,0.036164,0.036164
openstack,0.036034,0.036034
openstack,0.036746,0.036746
openstack,0.037448,0.037448
openstack,0.036279,0.036279
openstack,0.037412,0.037412
openstack,0.038981,0.038981
