dataset,rtimeinst,rtime3,rtime2000
openstack,34.133869,11.377956,0.017158
openstack,46.454857,15.484952,0.023569
openstack,42.765938,14.255313,0.021698
openstack,46.989735,15.663245,0.023751
openstack,40.443364,13.481121,0.020807
openstack,41.37126,13.79042,0.021006
openstack,46.289886,15.429962,0.023514
openstack,41.546932,13.848978,0.021216
openstack,33.85629,11.28543,0.017068
openstack,42.921316,14.307105,0.02186
openstack,37.78589,12.595297,0.019028
openstack,37.526514,12.508838,0.019175
openstack,38.614084,12.871361,0.019927
openstack,43.121597,14.373866,0.021899
openstack,40.400602,13.466867,0.020634
openstack,38.257738,12.752579,0.019191
openstack,40.567878,13.522626,0.020681
openstack,48.394651,16.13155,0.0246
openstack,39.149966,13.049989,0.019905
openstack,9.14155,3.047183,0.004685
openstack,40.966657,13.655552,0.020732
openstack,45.905953,15.301984,0.023307
openstack,36.739576,12.246525,0.018789
openstack,44.947856,14.982619,0.022816
openstack,43.323234,14.441078,0.022244
openstack,41.502855,13.834285,0.021181
openstack,37.142326,12.380775,0.019054
openstack,35.631019,11.877006,0.01801
openstack,10.139779,3.379926,0.005177
openstack,47.482739,15.82758,0.024023
openstack,42.340493,14.113498,0.021494
openstack,49.017419,16.33914,0.024638
openstack,37.615052,12.538351,0.019232
openstack,43.898792,14.632931,0.022244
openstack,39.219886,13.073295,0.019979
openstack,33.444915,11.148305,0.017039
openstack,34.730426,11.576809,0.01781
openstack,33.647381,11.215794,0.016959
openstack,39.233726,13.077909,0.019987
openstack,38.308277,12.769426,0.019484
openstack,39.109162,13.036387,0.019873
openstack,46.39468,15.464893,0.023492
openstack,37.85799,12.61933,0.019126
openstack,43.200774,14.400258,0.021951
openstack,34.194426,11.398142,0.017192
openstack,9.904832,3.301611,0.004985
openstack,38.140204,12.713401,0.019132
openstack,39.506632,13.168877,0.019921
openstack,37.990983,12.663661,0.0194
openstack,38.892673,12.964224,0.019599
openstack,43.195859,14.39862,0.022096
openstack,46.997152,15.665717,0.023948
openstack,32.834034,10.944678,0.016675
openstack,39.931394,13.310465,0.020366
openstack,35.370951,11.790317,0.017832
openstack,35.131063,11.710354,0.017783
openstack,41.129656,13.709885,0.020783
openstack,35.322277,11.774092,0.018026
openstack,35.340719,11.78024,0.017933
openstack,9.505318,3.168439,0.004879
openstack,35.31868,11.772893,0.017952
openstack,35.710436,11.903479,0.018048
openstack,35.622271,11.87409,0.018268
openstack,36.611095,12.203698,0.018416
openstack,41.384073,13.794691,0.021142
openstack,35.775178,11.925059,0.017983
openstack,36.804223,12.268074,0.018787
openstack,50.038591,16.67953,0.025475
openstack,36.54797,12.182657,0.018524
openstack,38.156762,12.718921,0.019285
openstack,40.77313,13.591043,0.020677
openstack,46.741642,15.580547,0.023743
openstack,38.5788,12.8596,0.019699
openstack,38.116497,12.705499,0.019323
openstack,42.553157,14.184386,0.021655
openstack,36.97652,12.325507,0.018923
openstack,37.621206,12.540402,0.019186
openstack,45.634267,15.211422,0.023106
openstack,47.11689,15.70563,0.023874
openstack,36.22127,12.073757,0.018721
openstack,40.268783,13.422928,0.020438
openstack,46.732576,15.577525,0.023679
openstack,42.41655,14.13885,0.021401
openstack,43.222149,14.407383,0.022047
openstack,46.826553,15.608851,0.023878
openstack,41.624649,13.874883,0.021176
openstack,38.779306,12.926435,0.019665
openstack,37.756098,12.585366,0.019181
openstack,37.176964,12.392321,0.018972
openstack,41.379876,13.793292,0.020937
openstack,37.984094,12.661365,0.019449
openstack,33.290655,11.096885,0.017074
openstack,42.727787,14.242596,0.021727
openstack,40.517502,13.505834,0.020416
openstack,38.744336,12.914779,0.019509
openstack,44.052324,14.684108,0.022328
openstack,42.262925,14.087642,0.021414
openstack,39.799212,13.266404,0.020227
openstack,39.653762,13.217921,0.020134
openstack,37.794251,12.598084,0.019002
openstack,38.71766,12.905887,0.019688
openstack,36.1216,12.040533,0.018253
openstack,41.87884,13.959613,0.021279
openstack,32.143887,10.714629,0.016351
openstack,41.398917,13.799639,0.020894
openstack,40.707293,13.569098,0.020722
openstack,45.558071,15.186024,0.023134
openstack,31.954739,10.65158,0.016273
openstack,44.987894,14.995965,0.022946
openstack,35.039468,11.679823,0.017678
openstack,40.143832,13.381277,0.020425
openstack,40.541513,13.513838,0.020618
openstack,40.668257,13.556086,0.020729
openstack,38.480076,12.826692,0.019708
openstack,42.33412,14.111373,0.0213
openstack,42.10466,14.034887,0.021413
openstack,41.281646,13.760549,0.020776
openstack,42.528079,14.176026,0.021521
openstack,9.915671,3.305224,0.005035
openstack,36.355266,12.118422,0.018684
openstack,35.795857,11.931952,0.018384
openstack,42.275789,14.09193,0.021524
openstack,36.323558,12.107853,0.018215
openstack,42.255185,14.085062,0.021646
openstack,42.289934,14.096645,0.021577
openstack,36.476225,12.158742,0.018667
openstack,36.117382,12.039127,0.018546
openstack,38.395285,12.798428,0.019648
openstack,41.446344,13.815448,0.021152
openstack,41.529241,13.84308,0.020991
openstack,45.705208,15.235069,0.023154
openstack,29.843824,9.947941,0.014963
openstack,47.79118,15.930393,0.024142
openstack,42.101276,14.033759,0.021196
openstack,35.307329,11.76911,0.018131
openstack,42.964982,14.321661,0.021828
openstack,35.996863,11.998954,0.018488
openstack,43.469542,14.489847,0.022086
openstack,45.708938,15.236313,0.023203
openstack,43.977071,14.659024,0.02248
openstack,37.931902,12.643967,0.019166
openstack,9.401944,3.133981,0.004729
openstack,41.49229,13.830763,0.020966
openstack,9.053467,3.017822,0.004571
openstack,47.546376,15.848792,0.024067
openstack,39.077622,13.025874,0.019682
openstack,42.694127,14.231376,0.021584
openstack,37.237364,12.412455,0.018759
openstack,44.254334,14.751445,0.022694
openstack,32.671743,10.890581,0.01669
openstack,36.314373,12.104791,0.018391
openstack,40.031346,13.343782,0.020331
openstack,35.757915,11.919305,0.018304
openstack,41.456971,13.81899,0.020845
openstack,35.040431,11.680144,0.01763
openstack,43.52291,14.507637,0.022013
openstack,39.393377,13.131126,0.019806
openstack,34.800414,11.600138,0.017738
openstack,32.261132,10.753711,0.016146
openstack,42.874029,14.291343,0.021678
openstack,37.417203,12.472401,0.019128
openstack,37.06627,12.355423,0.019031
openstack,36.724286,12.241429,0.018903
openstack,33.5233,11.174433,0.016952
openstack,46.502952,15.500984,0.023575
openstack,50.50304,16.834347,0.025673
openstack,33.47977,11.159923,0.017196
openstack,34.38416,11.461387,0.017418
openstack,41.668765,13.889588,0.021131
openstack,41.372974,13.790991,0.02081
openstack,9.794443,3.264814,0.00495
openstack,35.822798,11.940933,0.018304
openstack,43.194636,14.398212,0.022003
openstack,47.028101,15.676034,0.023824
openstack,48.289197,16.096399,0.024583
openstack,39.533951,13.177984,0.020093
openstack,37.000506,12.333502,0.01866
openstack,34.999471,11.66649,0.01805
openstack,35.45782,11.819273,0.017895
openstack,46.569391,15.52313,0.023437
openstack,46.655704,15.551901,0.023699
openstack,38.640114,12.880038,0.01952
openstack,46.017237,15.339079,0.023163
openstack,32.231606,10.743869,0.016396
openstack,44.974238,14.991413,0.022651
openstack,39.387508,13.129169,0.020082
openstack,40.577605,13.525868,0.020712
openstack,42.781226,14.260409,0.021546
openstack,45.020578,15.006859,0.023082
openstack,34.667375,11.555792,0.017514
openstack,56.400038,18.800013,0.028559
openstack,46.132748,15.377583,0.023716
openstack,41.951638,13.983879,0.021344
openstack,39.165768,13.055256,0.019953
openstack,37.225469,12.40849,0.018909
openstack,41.491935,13.830645,0.020979
openstack,44.969661,14.989887,0.022709
openstack,41.856571,13.95219,0.021176
openstack,41.655857,13.885286,0.02121
openstack,44.936978,14.978993,0.022699
openstack,36.957991,12.31933,0.018699
openstack,24.47929,8.159763,0.012254
openstack,43.472722,14.490907,0.021953
openstack,47.286472,15.762157,0.024098
openstack,38.809877,12.936626,0.019706
openstack,35.740971,11.913657,0.018076
openstack,38.496572,12.832191,0.019417
openstack,41.68199,13.893997,0.021052
openstack,35.146133,11.715378,0.017688
openstack,35.51896,11.839653,0.017822
openstack,34.926225,11.642075,0.017821
