dataset,rtimeinst,rtime3,rtime2000
openstack,118.344374,39.448125,0.062172
openstack,106.635608,35.545203,0.059165
openstack,136.164123,45.388041,0.074128
openstack,119.945577,39.981859,0.065356
openstack,121.298617,40.432872,0.06584
openstack,96.222158,32.074053,0.054826
openstack,134.895216,44.965072,0.075154
openstack,97.672001,32.557334,0.054539
openstack,105.89743,35.299143,0.058241
openstack,96.920055,32.306685,0.053024
openstack,95.042889,31.680963,0.050593
openstack,78.007364,26.002455,0.043523
openstack,63.919199,21.3064,0.034544
openstack,68.671962,22.890654,0.037537
openstack,92.600608,30.866869,0.052463
openstack,138.389836,46.129945,0.073865
openstack,142.451642,47.483881,0.075522
openstack,116.856213,38.952071,0.064866
openstack,110.255993,36.751998,0.059892
openstack,124.505444,41.501815,0.06466
openstack,9.17625,3.05875,0.004886
openstack,117.777468,39.259156,0.063771
openstack,122.144148,40.714716,0.06797
openstack,103.10449,34.368163,0.056773
openstack,89.391315,29.797105,0.049929
openstack,71.317829,23.77261,0.039345
openstack,81.918462,27.306154,0.044339
openstack,94.743496,31.581165,0.053181
openstack,43.603598,14.534533,0.024021
openstack,80.400181,26.80006,0.044701
openstack,74.4928,24.830933,0.041172
openstack,104.587015,34.862338,0.056975
openstack,132.771741,44.257247,0.068879
openstack,99.326339,33.10878,0.055058
openstack,109.038585,36.346195,0.061319
openstack,128.449855,42.816618,0.067224
openstack,72.795285,24.265095,0.041132
openstack,127.603521,42.534507,0.066825
openstack,92.77103,30.923677,0.051095
openstack,92.853049,30.951017,0.050958
openstack,129.01439,43.004797,0.068158
openstack,102.148513,34.049504,0.054871
openstack,106.058302,35.352767,0.056391
openstack,98.262051,32.754017,0.055258
openstack,130.850112,43.616704,0.06908
openstack,8.435795,2.811932,0.004649
openstack,88.219768,29.406589,0.048823
openstack,81.899482,27.299827,0.046502
openstack,63.554339,21.18478,0.035112
openstack,101.229918,33.743306,0.054639
openstack,77.593435,25.864478,0.042855
openstack,75.353386,25.117795,0.042424
openstack,122.044432,40.681477,0.065147
openstack,59.122685,19.707562,0.034027
openstack,105.586924,35.195641,0.057148
openstack,89.9832,29.9944,0.05093
openstack,77.972199,25.990733,0.041477
openstack,112.405443,37.468481,0.062522
openstack,108.70661,36.235537,0.058209
openstack,7.907899,2.635966,0.00419
openstack,80.685614,26.895205,0.044487
openstack,122.350079,40.78336,0.0672
openstack,122.709548,40.903183,0.067922
openstack,97.235979,32.411993,0.054085
openstack,91.869441,30.623147,0.051689
openstack,77.613889,25.871296,0.040197
openstack,82.612699,27.537566,0.046961
openstack,97.907206,32.635735,0.055836
openstack,88.856408,29.618803,0.050422
openstack,108.837221,36.279074,0.060012
openstack,72.573797,24.191266,0.040395
openstack,109.998555,36.666185,0.06246
openstack,108.208511,36.069504,0.056296
openstack,105.573119,35.19104,0.058596
openstack,87.046012,29.015337,0.049138
openstack,82.699675,27.566558,0.046635
openstack,79.084231,26.36141,0.04362
openstack,81.484329,27.161443,0.045132
openstack,104.226248,34.742083,0.058145
openstack,74.13824,24.712747,0.041033
openstack,75.268637,25.089546,0.041942
openstack,95.648139,31.882713,0.053451
openstack,117.742411,39.24747,0.064764
openstack,111.273838,37.091279,0.061551
openstack,104.512074,34.837358,0.057661
openstack,90.00442,30.001473,0.049961
openstack,100.247037,33.415679,0.05578
openstack,111.277695,37.092565,0.059346
openstack,102.102206,34.034069,0.05549
openstack,101.614649,33.87155,0.056463
openstack,67.662427,22.554142,0.037566
openstack,85.604312,28.534771,0.048265
openstack,105.759167,35.253056,0.059566
openstack,66.168309,22.056103,0.034434
openstack,91.015802,30.338601,0.048097
openstack,69.19512,23.06504,0.038581
openstack,129.831057,43.277019,0.071444
openstack,79.699491,26.566497,0.043389
openstack,90.264772,30.088257,0.050296
openstack,104.52787,34.842623,0.056996
openstack,123.570698,41.190233,0.065084
openstack,88.220294,29.406765,0.048569
openstack,80.997704,26.999235,0.045346
openstack,120.009763,40.003254,0.064176
openstack,122.950109,40.98337,0.067041
openstack,114.277707,38.092569,0.064097
openstack,97.783029,32.594343,0.054995
openstack,89.92974,29.97658,0.047112
openstack,70.147101,23.382367,0.038971
openstack,101.920359,33.973453,0.057693
openstack,83.445672,27.815224,0.046876
openstack,120.194712,40.064904,0.066013
openstack,72.954492,24.318164,0.040621
openstack,104.017668,34.672556,0.057626
openstack,83.406207,27.802069,0.047383
openstack,106.761067,35.587022,0.058253
openstack,76.589379,25.529793,0.043175
openstack,97.470967,32.490322,0.054496
openstack,30.496426,10.165475,0.016856
openstack,113.857233,37.952411,0.062534
openstack,78.658229,26.21941,0.042846
openstack,95.688899,31.8963,0.054582
openstack,101.898942,33.966314,0.054936
openstack,127.05372,42.35124,0.069788
openstack,95.350207,31.783402,0.052884
openstack,95.472644,31.824215,0.051574
openstack,72.58728,24.19576,0.040286
openstack,77.693941,25.89798,0.04281
openstack,96.59396,32.197987,0.053961
openstack,115.891405,38.630468,0.062247
openstack,125.381889,41.793963,0.067073
openstack,112.544055,37.514685,0.061531
openstack,84.814381,28.27146,0.046187
openstack,67.84264,22.614213,0.037913
openstack,118.688477,39.562826,0.065062
openstack,99.805803,33.268601,0.05488
openstack,69.900669,23.300223,0.038434
openstack,117.505615,39.168538,0.064615
openstack,109.430425,36.476808,0.059578
openstack,108.414884,36.138295,0.057982
openstack,81.876747,27.292249,0.046144
openstack,54.915133,18.305044,0.030154
openstack,81.12791,27.042637,0.045236
openstack,51.70537,17.235123,0.029011
openstack,102.714309,34.238103,0.056835
openstack,128.465946,42.821982,0.06898
openstack,95.810921,31.936974,0.053501
openstack,117.669636,39.223212,0.062777
openstack,108.21761,36.072537,0.05969
openstack,101.010702,33.670234,0.056495
openstack,120.122017,40.040672,0.063047
openstack,91.951934,30.650645,0.050497
openstack,69.58024,23.193413,0.038681
openstack,85.046662,28.348887,0.046868
openstack,126.932431,42.31081,0.068006
openstack,76.350578,25.450193,0.043285
openstack,91.239749,30.41325,0.047885
openstack,80.618552,26.872851,0.044479
openstack,121.225886,40.408629,0.064269
openstack,59.195883,19.731961,0.03299
openstack,76.13637,25.37879,0.04254
openstack,129.072377,43.024126,0.069335
openstack,78.332036,26.110679,0.043929
openstack,102.981643,34.327214,0.056622
openstack,82.878362,27.626121,0.045676
