dataset,rtimeinst,rtime
openstack,0.000193,0.000193
openstack,0.000179,0.000179
openstack,0.000192,0.000192
openstack,0.000198,0.000198
openstack,0.000182,0.000182
openstack,0.000173,0.000173
openstack,0.000169,0.000169
openstack,0.000162,0.000162
openstack,0.000169,0.000169
openstack,0.000198,0.000198
openstack,0.000162,0.000162
openstack,0.000169,0.000169
openstack,0.00016,0.00016
openstack,0.000158,0.000158
openstack,0.000161,0.000161
openstack,0.000157,0.000157
openstack,0.000183,0.000183
openstack,0.000158,0.000158
openstack,0.00019,0.00019
openstack,0.000164,0.000164
openstack,0.000158,0.000158
openstack,0.000161,0.000161
openstack,0.000159,0.000159
openstack,0.000178,0.000178
openstack,0.000171,0.000171
openstack,0.000165,0.000165
openstack,0.000178,0.000178
openstack,0.000159,0.000159
openstack,0.000192,0.000192
openstack,0.000159,0.000159
openstack,0.000157,0.000157
openstack,0.000161,0.000161
openstack,0.000161,0.000161
openstack,0.000161,0.000161
openstack,0.000159,0.000159
openstack,0.00016,0.00016
openstack,0.000158,0.000158
openstack,0.000189,0.000189
openstack,0.000157,0.000157
openstack,0.000157,0.000157
openstack,0.000172,0.000172
openstack,0.000163,0.000163
openstack,0.000161,0.000161
openstack,0.000164,0.000164
openstack,0.000161,0.000161
openstack,0.000177,0.000177
openstack,0.000157,0.000157
openstack,0.000187,0.000187
openstack,0.000166,0.000166
openstack,0.000159,0.000159
openstack,0.000175,0.000175
openstack,0.000161,0.000161
openstack,0.000161,0.000161
openstack,0.000181,0.000181
openstack,0.000159,0.000159
openstack,0.000177,0.000177
openstack,0.000205,0.000205
openstack,0.000158,0.000158
openstack,0.000177,0.000177
openstack,0.00016,0.00016
openstack,0.000161,0.000161
openstack,0.000189,0.000189
openstack,0.00016,0.00016
openstack,0.000158,0.000158
openstack,0.000169,0.000169
openstack,0.000156,0.000156
openstack,0.000205,0.000205
openstack,0.000162,0.000162
openstack,0.00016,0.00016
openstack,0.000171,0.000171
openstack,0.00016,0.00016
openstack,0.000159,0.000159
openstack,0.00016,0.00016
openstack,0.000157,0.000157
openstack,0.000158,0.000158
openstack,0.000188,0.000188
openstack,0.000158,0.000158
openstack,0.000195,0.000195
openstack,0.000194,0.000194
openstack,0.000159,0.000159
openstack,0.000162,0.000162
openstack,0.00016,0.00016
openstack,0.000174,0.000174
openstack,0.000158,0.000158
openstack,0.00016,0.00016
openstack,0.000219,0.000219
openstack,0.000171,0.000171
openstack,0.000158,0.000158
openstack,0.000163,0.000163
openstack,0.00016,0.00016
openstack,0.000159,0.000159
openstack,0.00016,0.00016
openstack,0.000158,0.000158
openstack,0.000177,0.000177
openstack,0.000197,0.000197
openstack,0.000157,0.000157
openstack,0.000161,0.000161
openstack,0.000158,0.000158
openstack,0.000156,0.000156
openstack,0.000158,0.000158
openstack,0.000166,0.000166
openstack,0.000187,0.000187
openstack,0.00016,0.00016
openstack,0.000177,0.000177
openstack,0.000189,0.000189
openstack,0.000161,0.000161
openstack,0.000158,0.000158
openstack,0.000158,0.000158
openstack,0.000168,0.000168
openstack,0.000161,0.000161
openstack,0.00016,0.00016
openstack,0.000161,0.000161
openstack,0.000164,0.000164
openstack,0.00019,0.00019
openstack,0.000158,0.000158
openstack,0.000159,0.000159
openstack,0.000159,0.000159
openstack,0.00016,0.00016
openstack,0.000161,0.000161
openstack,0.000159,0.000159
openstack,0.000183,0.000183
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000211,0.000211
openstack,0.000168,0.000168
openstack,0.000174,0.000174
openstack,0.000163,0.000163
openstack,0.000166,0.000166
openstack,0.000182,0.000182
openstack,0.000164,0.000164
openstack,0.000162,0.000162
openstack,0.000171,0.000171
openstack,0.000162,0.000162
openstack,0.00019,0.00019
openstack,0.000159,0.000159
openstack,0.000159,0.000159
openstack,0.000159,0.000159
openstack,0.000159,0.000159
openstack,0.000158,0.000158
openstack,0.000161,0.000161
openstack,0.00016,0.00016
openstack,0.000175,0.000175
openstack,0.000191,0.000191
openstack,0.000161,0.000161
openstack,0.000159,0.000159
openstack,0.000157,0.000157
openstack,0.000158,0.000158
openstack,0.000178,0.000178
openstack,0.000157,0.000157
openstack,0.000157,0.000157
openstack,0.000239,0.000239
openstack,0.000163,0.000163
openstack,0.000182,0.000182
openstack,0.000155,0.000155
openstack,0.000157,0.000157
openstack,0.000171,0.000171
openstack,0.000161,0.000161
openstack,0.000162,0.000162
openstack,0.000171,0.000171
openstack,0.000159,0.000159
openstack,0.000161,0.000161
openstack,0.00016,0.00016
openstack,0.000164,0.000164
openstack,0.000162,0.000162
openstack,0.000168,0.000168
openstack,0.000164,0.000164
openstack,0.000183,0.000183
openstack,0.00017,0.00017
openstack,0.000161,0.000161
openstack,0.000175,0.000175
openstack,0.000176,0.000176
openstack,0.000217,0.000217
openstack,0.000161,0.000161
openstack,0.000156,0.000156
openstack,0.000178,0.000178
openstack,0.00016,0.00016
openstack,0.000158,0.000158
openstack,0.00016,0.00016
openstack,0.000157,0.000157
openstack,0.000171,0.000171
openstack,0.000158,0.000158
openstack,0.000188,0.000188
openstack,0.000155,0.000155
openstack,0.000158,0.000158
openstack,0.00016,0.00016
openstack,0.00016,0.00016
openstack,0.000158,0.000158
openstack,0.000165,0.000165
openstack,0.000161,0.000161
openstack,0.000176,0.000176
openstack,0.000206,0.000206
openstack,0.000159,0.000159
openstack,0.000159,0.000159
openstack,0.000159,0.000159
openstack,0.000159,0.000159
openstack,0.000155,0.000155
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000157,0.000157
openstack,0.000182,0.000182
openstack,0.000173,0.000173
openstack,0.000159,0.000159
openstack,0.000159,0.000159
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000156,0.000156
openstack,0.000156,0.000156
openstack,0.000166,0.000166
openstack,0.000167,0.000167
openstack,0.0002,0.0002
openstack,0.000161,0.000161
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000157,0.000157
openstack,0.000155,0.000155
openstack,0.000157,0.000157
openstack,0.000156,0.000156
openstack,0.000173,0.000173
openstack,0.00016,0.00016
openstack,0.000178,0.000178
openstack,0.000172,0.000172
openstack,0.00016,0.00016
openstack,0.000156,0.000156
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000162,0.000162
openstack,0.000185,0.000185
openstack,0.000161,0.000161
openstack,0.000159,0.000159
openstack,0.000158,0.000158
openstack,0.000161,0.000161
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000158,0.000158
openstack,0.000179,0.000179
openstack,0.000161,0.000161
openstack,0.000188,0.000188
openstack,0.000165,0.000165
openstack,0.000178,0.000178
openstack,0.000158,0.000158
openstack,0.000155,0.000155
openstack,0.000165,0.000165
openstack,0.000157,0.000157
openstack,0.000157,0.000157
openstack,0.000194,0.000194
openstack,0.000157,0.000157
openstack,0.000184,0.000184
openstack,0.000155,0.000155
openstack,0.000157,0.000157
openstack,0.000174,0.000174
openstack,0.000156,0.000156
openstack,0.000157,0.000157
openstack,0.000155,0.000155
openstack,0.000187,0.000187
openstack,0.000165,0.000165
openstack,0.000187,0.000187
openstack,0.000171,0.000171
openstack,0.000158,0.000158
openstack,0.000158,0.000158
openstack,0.00016,0.00016
openstack,0.000158,0.000158
openstack,0.000159,0.000159
openstack,0.000158,0.000158
openstack,0.000247,0.000247
openstack,0.000247,0.000247
openstack,0.000196,0.000196
openstack,0.000161,0.000161
openstack,0.000174,0.000174
openstack,0.000159,0.000159
openstack,0.000217,0.000217
openstack,0.000159,0.000159
openstack,0.00016,0.00016
openstack,0.00016,0.00016
openstack,0.000235,0.000235
openstack,0.000204,0.000204
openstack,0.00016,0.00016
openstack,0.000157,0.000157
openstack,0.000174,0.000174
openstack,0.000158,0.000158
openstack,0.000159,0.000159
openstack,0.000165,0.000165
openstack,0.000158,0.000158
openstack,0.000161,0.000161
openstack,0.000161,0.000161
openstack,0.000188,0.000188
openstack,0.000158,0.000158
openstack,0.00016,0.00016
openstack,0.000185,0.000185
openstack,0.000165,0.000165
openstack,0.00016,0.00016
openstack,0.000169,0.000169
openstack,0.00017,0.00017
openstack,0.000159,0.000159
openstack,0.0002,0.0002
openstack,0.000157,0.000157
openstack,0.000158,0.000158
openstack,0.000155,0.000155
openstack,0.000158,0.000158
openstack,0.000162,0.000162
openstack,0.000159,0.000159
openstack,0.000168,0.000168
openstack,0.000191,0.000191
openstack,0.00016,0.00016
openstack,0.000189,0.000189
openstack,0.000159,0.000159
openstack,0.000169,0.000169
openstack,0.00016,0.00016
openstack,0.000163,0.000163
openstack,0.00016,0.00016
openstack,0.000161,0.000161
openstack,0.000158,0.000158
openstack,0.000158,0.000158
openstack,0.000204,0.000204
openstack,0.000161,0.000161
openstack,0.000158,0.000158
openstack,0.000167,0.000167
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000157,0.000157
openstack,0.00016,0.00016
openstack,0.000159,0.000159
openstack,0.000161,0.000161
openstack,0.000201,0.000201
openstack,0.000165,0.000165
openstack,0.000157,0.000157
openstack,0.000157,0.000157
openstack,0.000161,0.000161
openstack,0.000157,0.000157
openstack,0.000158,0.000158
openstack,0.000158,0.000158
openstack,0.00016,0.00016
openstack,0.000174,0.000174
openstack,0.000189,0.000189
openstack,0.00016,0.00016
openstack,0.000163,0.000163
openstack,0.000158,0.000158
openstack,0.000157,0.000157
openstack,0.000156,0.000156
openstack,0.000156,0.000156
openstack,0.000183,0.000183
openstack,0.000165,0.000165
openstack,0.000188,0.000188
openstack,0.000171,0.000171
openstack,0.000155,0.000155
openstack,0.000156,0.000156
openstack,0.00016,0.00016
openstack,0.000155,0.000155
