dataset,rtimeinst,rtime
openstack,0.027511,0.027511
openstack,0.027808,0.027808
openstack,0.029437,0.029437
openstack,0.028058,0.028058
openstack,0.033753,0.033753
openstack,0.026785,0.026785
openstack,0.026215,0.026215
openstack,0.030093,0.030093
openstack,0.029804,0.029804
openstack,0.024312,0.024312
openstack,0.029557,0.029557
openstack,0.02466,0.02466
openstack,0.022294,0.022294
openstack,0.024318,0.024318
openstack,0.025305,0.025305
openstack,0.027159,0.027159
openstack,0.033037,0.033037
openstack,0.024836,0.024836
openstack,0.026552,0.026552
openstack,0.034336,0.034336
openstack,0.033318,0.033318
openstack,0.028873,0.028873
openstack,0.023482,0.023482
openstack,0.03075,0.03075
openstack,0.023397,0.023397
openstack,0.023124,0.023124
openstack,0.024409,0.024409
openstack,0.023043,0.023043
openstack,0.024913,0.024913
openstack,0.025228,0.025228
openstack,0.025525,0.025525
openstack,0.027199,0.027199
openstack,0.03215,0.03215
openstack,0.024787,0.024787
openstack,0.023455,0.023455
openstack,0.034975,0.034975
openstack,0.023882,0.023882
openstack,0.03637,0.03637
openstack,0.029415,0.029415
openstack,0.032087,0.032087
openstack,0.034023,0.034023
openstack,0.029382,0.029382
openstack,0.030637,0.030637
openstack,0.025561,0.025561
openstack,0.029268,0.029268
openstack,0.02588,0.02588
openstack,0.023763,0.023763
openstack,0.024377,0.024377
openstack,0.023006,0.023006
openstack,0.024567,0.024567
openstack,0.02506,0.02506
openstack,0.024863,0.024863
openstack,0.029007,0.029007
openstack,0.026606,0.026606
openstack,0.027526,0.027526
openstack,0.024341,0.024341
openstack,0.032142,0.032142
openstack,0.027076,0.027076
openstack,0.028634,0.028634
openstack,0.038272,0.038272
openstack,0.024151,0.024151
openstack,0.030352,0.030352
openstack,0.029583,0.029583
openstack,0.02621,0.02621
openstack,0.026843,0.026843
openstack,0.036776,0.036776
openstack,0.024369,0.024369
openstack,0.031907,0.031907
openstack,0.028074,0.028074
openstack,0.029299,0.029299
openstack,0.024051,0.024051
openstack,0.030516,0.030516
openstack,0.032024,0.032024
openstack,0.026446,0.026446
openstack,0.02446,0.02446
openstack,0.022955,0.022955
openstack,0.023629,0.023629
openstack,0.025581,0.025581
openstack,0.028824,0.028824
openstack,0.023059,0.023059
openstack,0.024564,0.024564
openstack,0.030793,0.030793
openstack,0.025244,0.025244
openstack,0.027815,0.027815
openstack,0.02938,0.02938
openstack,0.029106,0.029106
openstack,0.028827,0.028827
openstack,0.032383,0.032383
openstack,0.024585,0.024585
openstack,0.024841,0.024841
openstack,0.022719,0.022719
openstack,0.022992,0.022992
openstack,0.024914,0.024914
openstack,0.035926,0.035926
openstack,0.02252,0.02252
openstack,0.027327,0.027327
openstack,0.029502,0.029502
openstack,0.023159,0.023159
openstack,0.030344,0.030344
openstack,0.032108,0.032108
openstack,0.034406,0.034406
openstack,0.029513,0.029513
openstack,0.022952,0.022952
openstack,0.028084,0.028084
openstack,0.025666,0.025666
openstack,0.028837,0.028837
openstack,0.028617,0.028617
openstack,0.034521,0.034521
openstack,0.023579,0.023579
openstack,0.026094,0.026094
openstack,0.025247,0.025247
openstack,0.034191,0.034191
openstack,0.023334,0.023334
openstack,0.028299,0.028299
openstack,0.025245,0.025245
openstack,0.02866,0.02866
openstack,0.026423,0.026423
openstack,0.02743,0.02743
openstack,0.024118,0.024118
openstack,0.02941,0.02941
openstack,0.028979,0.028979
openstack,0.026712,0.026712
openstack,0.027797,0.027797
openstack,0.034529,0.034529
openstack,0.025329,0.025329
openstack,0.029871,0.029871
openstack,0.022273,0.022273
openstack,0.024483,0.024483
openstack,0.030265,0.030265
openstack,0.028055,0.028055
openstack,0.034997,0.034997
openstack,0.028107,0.028107
openstack,0.025837,0.025837
openstack,0.02447,0.02447
openstack,0.027755,0.027755
openstack,0.03158,0.03158
openstack,0.022348,0.022348
openstack,0.032876,0.032876
openstack,0.030115,0.030115
openstack,0.02769,0.02769
openstack,0.027988,0.027988
openstack,0.023812,0.023812
openstack,0.026625,0.026625
openstack,0.024191,0.024191
openstack,0.028254,0.028254
openstack,0.035321,0.035321
openstack,0.022991,0.022991
openstack,0.03252,0.03252
openstack,0.027962,0.027962
openstack,0.025082,0.025082
openstack,0.033715,0.033715
openstack,0.023186,0.023186
openstack,0.024006,0.024006
openstack,0.02513,0.02513
openstack,0.035044,0.035044
openstack,0.024638,0.024638
openstack,0.026318,0.026318
openstack,0.023278,0.023278
openstack,0.032011,0.032011
openstack,0.022507,0.022507
openstack,0.024551,0.024551
openstack,0.03566,0.03566
openstack,0.02416,0.02416
openstack,0.026949,0.026949
openstack,0.025704,0.025704
openstack,0.026284,0.026284
openstack,0.025135,0.025135
openstack,0.029451,0.029451
openstack,0.026774,0.026774
openstack,0.025244,0.025244
openstack,0.023744,0.023744
openstack,0.024432,0.024432
openstack,0.026861,0.026861
openstack,0.02431,0.02431
openstack,0.0261,0.0261
openstack,0.031249,0.031249
openstack,0.024204,0.024204
openstack,0.039028,0.039028
openstack,0.031341,0.031341
openstack,0.024423,0.024423
openstack,0.025838,0.025838
openstack,0.031397,0.031397
openstack,0.02456,0.02456
openstack,0.029444,0.029444
openstack,0.023995,0.023995
openstack,0.023808,0.023808
openstack,0.033609,0.033609
openstack,0.023582,0.023582
openstack,0.034617,0.034617
openstack,0.032344,0.032344
openstack,0.026063,0.026063
openstack,0.031519,0.031519
openstack,0.025781,0.025781
openstack,0.025409,0.025409
openstack,0.033591,0.033591
openstack,0.026626,0.026626
openstack,0.02513,0.02513
openstack,0.027834,0.027834
openstack,0.033291,0.033291
openstack,0.027652,0.027652
openstack,0.039987,0.039987
openstack,0.023174,0.023174
openstack,0.029137,0.029137
openstack,0.030378,0.030378
openstack,0.024573,0.024573
openstack,0.035552,0.035552
openstack,0.03205,0.03205
openstack,0.032285,0.032285
openstack,0.02465,0.02465
openstack,0.028141,0.028141
openstack,0.029385,0.029385
openstack,0.027578,0.027578
openstack,0.022403,0.022403
openstack,0.039518,0.039518
openstack,0.023628,0.023628
openstack,0.032035,0.032035
openstack,0.028516,0.028516
openstack,0.030715,0.030715
openstack,0.031868,0.031868
openstack,0.024758,0.024758
openstack,0.030065,0.030065
openstack,0.028258,0.028258
openstack,0.022941,0.022941
openstack,0.036879,0.036879
openstack,0.029736,0.029736
openstack,0.022867,0.022867
openstack,0.029505,0.029505
openstack,0.023263,0.023263
openstack,0.025928,0.025928
openstack,0.032683,0.032683
openstack,0.029579,0.029579
openstack,0.024147,0.024147
openstack,0.023064,0.023064
openstack,0.022514,0.022514
openstack,0.026943,0.026943
openstack,0.031911,0.031911
openstack,0.033724,0.033724
openstack,0.038216,0.038216
openstack,0.032096,0.032096
openstack,0.028807,0.028807
openstack,0.024466,0.024466
openstack,0.032884,0.032884
openstack,0.024344,0.024344
openstack,0.033908,0.033908
openstack,0.034197,0.034197
openstack,0.023156,0.023156
openstack,0.034353,0.034353
openstack,0.024432,0.024432
openstack,0.034556,0.034556
openstack,0.03113,0.03113
openstack,0.030356,0.030356
openstack,0.026326,0.026326
openstack,0.025033,0.025033
openstack,0.035544,0.035544
openstack,0.02546,0.02546
openstack,0.032966,0.032966
openstack,0.023448,0.023448
openstack,0.032977,0.032977
openstack,0.028938,0.028938
openstack,0.025977,0.025977
openstack,0.032163,0.032163
openstack,0.023822,0.023822
openstack,0.029057,0.029057
openstack,0.025002,0.025002
